,,,,DIVIDEND ANNOUNCEMENTS 2021 (JANUARY TO DECEMBER),,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2020-10-05 00:00:00, LITE-N-0000, LAXAPANA,1, First And Final Dividend Financial Year31st March, 21-DEC-20, 13-JAN-21,16.3,15.2
2020-12-04 00:00:00,CARG-N-0000,CARGILLS (CEYLON) PLC,1.9,First interim Financial year: 2020/2021,2020-12-15 00:00:00,2021-01-06 00:00:00,202.8,197.8
2020-12-07 00:00:00,CTHR-N-0000,C T HOLDINGS PLC,1.45,First interim Financial year: 2020/21,2020-12-16 00:00:00,2021-01-07 00:00:00,169.1,164.1
2020-12-07 00:00:00, EBCR-N-0000, E B CREASY,18, First And Final Dividend Financial Year 2019/2020, 31-DEC-20, 22-JAN-21,3100.2,3115.1
2020-12-10 00:00:00,CARS-N-0000,CARSON CUMBERBATCH PLC,0.75,First interim Financial year: 2020/2021,2020-12-21 00:00:00,2021-01-12 00:00:00,269.1,270.4
2020-12-11 00:00:00, RIL-N-0000, R I L PROPERTY ,0.1, First Interim Financial Year2020/21, 22-DEC-20, 13-JAN-21, , 
2020-12-15 00:00:00, AUTO-N-0000, AUTODROME,0.3, Final Dividend Financial Year31st March 2020, 24-DEC-20, 19-JAN-21,86.3,86.3
2020-12-21 00:00:00, VLL-N-0000, VIDULLANKA,0.1, First Interim Financial Year Year Ending 2020/2021, 04-JAN-21, 25-JAN-21,6,5.9
2020-12-22 00:00:00, UML-N-0000, UNITED MOTORS,1.5, First Interim Financial Year 2020/21, 05-JAN-21, 22-JAN-21,80.9,78.6
2020-12-24 00:00:00, BUKI-N-0000, BUKIT DARAH,0.6, First Interim Financial Year2020/2021, 07-JAN-21, 29-JAN-21,349.5,343.3
2020-12-28 00:00:00,LPRT-N-0000,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,2.25,Final dividend Financial year: 2019/2020,2021-01-19 00:00:00,2021-01-29 00:00:00,168.25,168.25
2020-12-31 00:00:00, CTC-N-0000, CEYLON TOBACCO,18.5, Fourth Interim Financial Year31st December 2020, 12-JAN-21, 22-JAN-21,1134.25,1118.75
2021-01-06 00:00:00,DIMO-N-0000,DIESEL & MOTOR ENGINEERING PLC,2.5,First and Final dividend-Financial YearFinancial Year ended 31st March 2020,2021-01-18 00:00:00,2021-01-29 00:00:00,610.75,598
2021-01-21 00:00:00,LFIN-N-0000,L B FINANCE PLC,12,First interim-Financial Year31st March 2021,2021-02-02 00:00:00,2021-02-23 00:00:00,300,258
2021-01-27 00:00:00,HPL-N-0000,HATTON PLANTATIONS PLC,0.5,First interim-Financial Year2020-21,2021-02-09 00:00:00,2021-03-02 00:00:00,10.4,10
2021-01-27 00:00:00,JKH-N-0000,JOHN KEELLS HOLDINGS PLC,0.5,Third interim-Financial Year2020/21,2021-02-09 00:00:00,2021-03-02 00:00:00,154.75,154
2021-01-29 00:00:00,BPPL-N-0000,B P P L HOLDINGS PLC,0.24,First interim-Financial Year31st March 2021,2021-02-10 00:00:00,2021-02-18 00:00:00,14.9,14.1
2021-02-01 00:00:00,CERA-N-0000,LANKA CERAMIC PLC,1.3,First interim-Financial Year2020/2021,2021-02-11 00:00:00,2021-03-04 00:00:00,145.75,148.25
2021-02-02 00:00:00,KFP-N-0000,KEELLS FOOD PRODUCTS PLC,7,First interim-Financial Year2020/21,2021-02-12 00:00:00,2021-03-05 00:00:00,155.75,149.5
2021-02-03 00:00:00,CCS-N-0000,CEYLON COLD STORES PLC,8.5,Second Interim Dividend-Financial Year2020/21,2021-02-15 00:00:00,2021-03-08 00:00:00,660.25,664.5
2021-02-05 00:00:00,VPEL-N-0000,VALLIBEL POWER ERATHNA PLC,0.3,Third interim-Financial Year31st March 2021,2021-02-16 00:00:00,2021-02-25 00:00:00,7.8,7.6
2021-02-05 00:00:00,PAP-N-0000,PANASIAN POWER PLC,0.12,INTERIM DIVIDEND-Financial Year2020/2021,2021-02-16 00:00:00,2021-03-09 00:00:00,3.6,3.4
2021-02-05 00:00:00,GRAN-N-0000,CEYLON GRAIN ELEVATORS PLC,9,Second interim-Financial Year31st December 2020,2021-02-16 00:00:00,2021-02-25 00:00:00,154.25,136
2021-02-05 00:00:00,TAFL-N-0000,THREE ACRE FARMS PLC,11,Second interim-Financial Year31st December 2020,2021-02-16 00:00:00,2021-02-25 00:00:00,247,229.25
2021-02-05 00:00:00,SUN-N-0000,SUNSHINE HOLDINGS PLC,1,First interim-Financial Year2020/21,2021-02-16 00:00:00,2021-03-09 00:00:00,85.5,80.2
2021-02-08 00:00:00,CARE-N-0000,PRINTCARE PLC,1,First interim-Financial Year2020-2021,2021-02-17 00:00:00,2021-03-10 00:00:00,29.3,29.5
2021-02-12 00:00:00,TILE-N-0000,LANKA TILES PLC,12.3,Second interim-Financial Year31st March 2021,2021-02-23 00:00:00,2021-03-17 00:00:00,226.5,200
2021-02-12 00:00:00,PARQ-N-0000,SWISSTEK (CEYLON) PLC,4.1,Second interim-Financial Year31st March 2021,2021-02-23 00:00:00,2021-03-17 00:00:00,118.75,108
2021-02-12 00:00:00,LWL-N-0000,LANKA WALLTILES PLC,10,Second interim-Financial Year31st March 2021,2021-02-23 00:00:00,2021-03-17 00:00:00,224,194.5
2021-02-12 00:00:00,RCL-N-0000,ROYAL CERAMICS LANKA PLC,11,Second interim-Financial Year31st March 2021,2021-02-23 00:00:00,2021-03-17 00:00:00,313.75,280.75
2021-02-12 00:00:00,TJL-N-0000,TEEJAY LANKA PLC,1.65,First interim-Financial Year2020/2021,2021-02-23 00:00:00,2021-03-17 00:00:00,42.5,40
2021-02-16 00:00:00, CTC-N-0000, CEYLON TOBACCO,11.35, Final Dividend Financial Year 31st December 2020, 28-MAY-21, 17-JUN-21,997.5,960
2021-02-16 00:00:00,SAMP-N-0000,SAMPATH BANK PLC,2.75,First and Final dividend-Financial Year2020,2021-03-31 00:00:00,2021-04-23 00:00:00,56.6,53.8
2021-02-18 00:00:00, NDB-N-0000, NAT. DEV. BANK,1.5, First Interim Financial Year 31.12.2020, 02-MAR-21, 23-MAR-21,83,81.9
2021-02-18 00:00:00, NEST-N-0000, NESTLE,35, First Interim Financial Year 31 December 2020, 02-MAR-21, 23-MAR-21,1199.25,1173.25
2021-02-19 00:00:00, HNB-X-0000, HNB,4.5, Final Dividend Financial Year 31st December 2020, 31-MAR-21, 12-APR-21,102.75,97.2
2021-02-19 00:00:00, HNB-N-0000, HNB,4.5, Final Dividend Financial Year 2020, 31-MAR-21, 12-APR-21,130.5,126
2021-02-19 00:00:00, HASU-N-0000, HNB ASSURANCE,2.8, First And Final Dividend Financial Year 2020, 01-APR-21, 27-APR-21,59.3,58.7
2021-02-19 00:00:00, NEST-N-0000, NESTLE,20, Final Dividend Financial Year 31 December 2020, 11-JUN-21, 02-JUL-21,1098.25,1100.25
2021-02-19 00:00:00,DIAL-N-0000,DIALOG AXIATA PLC,0.74,Final dividend-Financial Year2020,2021-06-25 00:00:00,2021-07-15 00:00:00,13.3,12.6
2021-02-22 00:00:00, VONE-N-0000, VALLIBEL ONE,0.5, First Interim Financial Year Ending 31st March 2021, 04-MAR-21, 22-MAR-21,51.3,46.6
2021-02-24 00:00:00, CSD-N-0000, SEYLAN DEVTS,1.2, First and Final dividend Financial year 31st December 2020, 31-MAR-21, 23-APR-21,16.3,15.3
2021-02-24 00:00:00, COMD-N-0000, COMMERCIAL DEV.,3.5, Final dividend Financial year 2020, 01-APR-21, 27-APR-21,106,101.5
2021-02-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,4.5, First and Final dividend Financial year DECEMBER 31, 31-MAR-21, 23-APR-21,90.2,85.5
2021-02-25 00:00:00, COMB-X-0000, COMMERCIAL BANK,4.5, First and Final dividend Financial year DECEMBER 31, 31-MAR-21, 23-APR-21,83.9,78.6
2021-02-25 00:00:00,NTB-N-0000,NATIONS TRUST BANK PLC,2,First and Final dividend-Financial YearYear ended 31st December 2020,2021-03-09 00:00:00,2021-03-30 00:00:00,57.5,57.2
2021-02-25 00:00:00,NTB-X-0000,NATIONS TRUST BANK PLC,2,First and Final dividend-Financial YearYear ended 31st December 2020,2021-03-09 00:00:00,2021-03-30 00:00:00,65,65
2021-02-25 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,2,Fourth interim-Financial Year2020,2021-03-09 00:00:00,2021-03-19 00:00:00,98,94.8
2021-03-05 00:00:00, HAYC-N-0000, HAYCARB,1.4, Fourth interim Financial year 2020/21, 17-MAR-21, 24-MAR-21,97,94.5
2021-03-05 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.25, Third interim Financial year 2020/2021, 17-MAR-21, 24-MAR-21,14.4,14.2
2021-03-05 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1, Fourth interim Financial year 2020/2021, 17-MAR-21, 25-MAR-21,48.3,46.2
