New Listings 2015,,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2014-11-28 00:00:00,Arpico Insurance PLC,6630400,6630400,66230407,12,79564800,2015-01-16 00:00:00,,,
2,2015-02-18 00:00:00,Singhe Hospitals Limited ,100000000,100000000,398225895,2.5,250000000,2015-04-21 00:00:00,,,
,,,,,,,329564800,,,,
,,Units,,,,,,,,,
No.,Date of Announcement,Name ,No. of units offered,No. of units alloted,No. of units listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2015-10-12 00:00:00,Candor opporties Fund,75000000,50495900,50495900,10,504959000,2015-12-01 00:00:00,,,
,,,,,,,504959000,,,,
,,New Listings by Sector,,,,,,,,,
,,Equity,,,,,,,,,
,,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,,
,,Bank Finance and Insurance,1,66230407,79564800,,,,,,
,,Healthcare,1,398225895,250000000,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.),Co. status 
1,2014-12-05 00:00:00,Orient Finance PLC,10000000,10000000,Fixed 9.05,100,2015-01-06 00:00:00,1000000000,1000000000,1000000000,Existing
2,2014-12-03 00:00:00,Singer Sri Lanka PLC,15000000,15000000,Fixed 8.25,100,2015-01-06 00:00:00,1500000000,1500000000,1500000000,Existing
3,2014-12-08 00:00:00,Abans PLC,20000000,7603500,Fixed 9.00,100,2015-01-07 00:00:00,2000000000,760350000,2000000000,Existing
,,,,1750200,Fixed 8.50,100,2015-01-07 00:00:00,,175020000,,
,,,,10646300,Fixed 8.25,100,2015-01-07 00:00:00,,1064630000,,
4,2014-12-09 00:00:00,Alliance Finance Company PLC,10000000,8000000,Fixed 9.35,100,2015-01-08 00:00:00,1000000000,800000000,1000000000,Existing
,,,,2000000,Fixed 9.00,100,2015-01-08 00:00:00,,200000000,,
5,2015-01-02 00:00:00,Lanka Orix Finance PLC,50000000,2500600,Fixed 9.00,100,2015-02-02 00:00:00,5000000000,250060000,5000000000,Existing
,,,,10300,Fixed 9.10,100,2015-02-02 00:00:00,,1030000,,
,,,,47489100,Fixed 9.25,100,2015-02-02 00:00:00,,4748910000,,
6,2015-01-02 00:00:00,First Capital Treasuries Limited,5000000,5000000,Fixed 9.5,100,2015-03-03 00:00:00,500000000,500000000,500000000,New
7,2015-01-02 00:00:00,Pradeshiya Sanwardana Bank,25000000,3610200,Fixed 8.81,100,2015-02-25 00:00:00,2500000000,361020000,2500000000,New
,,,,21288500,Fixed 9.00,100,2015-02-25 00:00:00,,2128850000,,
,,,,101300,Fixed 8.71,100,2015-02-25 00:00:00,,10130000,,
8,2015-02-18 00:00:00,Hayleys PLC,20000000,15021300,Fixed 7.85,100,2015-03-13 00:00:00,2000000000,1502130000,2000000000,Existing
,,,,4978700,Fixed 7.6,100,2015-03-13 00:00:00,,497870000,,
9,2015-03-16 00:00:00,Vallibel Finance PLC,10000000,10000000,Fixed 10.25,100,2015-04-10 00:00:00,1000000000,1000000000,1000000000,Existing
10,2015-05-11 00:00:00,Commercial Credit and Finance PLC (COCR),10000000,10000000,Fixed (10.5),100,2015-06-08 00:00:00,1000000000,1000000000,1000000000,Existing
11,2015-05-18 00:00:00,Central Finance Company PLC,30000000,2500000,Fixed (8.35),100,2015-06-09 00:00:00,3000000000,250000000,2500000000,Existing
,,,,5000000,Fixed (9),100,2015-06-09 00:00:00,,500000000,,
,,,,17500000,Fixed (9.52),100,2015-06-09 00:00:00,,1750000000,,
12,2015-05-18 00:00:00,Singer Sri Lanka PLC,30000000,700200,Floating,100,2015-06-16 00:00:00,3000000000,70020000,3000000000,Existing
,,,,29299800,Fixed (8.6%),100,2015-06-16 00:00:00,,2929980000,,
13,2015-05-20 00:00:00,DFCC Vardhana Bank PLC,50000000,20000000,Fixed (9.4),100,2015-06-18 00:00:00,5000000000,2000000000,5000000000,Existing
,,,,30000000,Fixed (9.1),100,2015-06-18 00:00:00,,3000000000,,
14,2015-05-28 00:00:00,Singer Finance (Lanka) PLC (SFIN),15000000,15000000,Fixed (9.95),100,2015-06-25 00:00:00,1500000000,1500000000,1500000000,Existing
15,2015-06-08 00:00:00,National Development Bank PLC,100000000,70000000,Fixed (9.4),100,2015-07-02 00:00:00,,7000000000,8914408000,Existing
,,,,30000000,Zero ,63.8136,2015-07-02 00:00:00,10000000000,1914408000,,
16,2015-07-02 00:00:00,Commercial Leasing & Finance PLC (CLC),50000000,50000000,Fixed (9.75),100,2015-07-29 00:00:00,5000000000,5000000000,5000000000,Existing
17,2015-09-17 00:00:00,MTD Walkers PLC,30000000,21132800,Fixed (9.75),100,2015-10-07 00:00:00,3000000000,2113280000,,Existing
,,,,8867200,Fixed (10.25),100,2015-10-07 00:00:00,,886720000,3000000000,
18,2015-09-07 00:00:00,Pan Asia Banking Corporatopn PLC,40000000,8351812,Floating,100,2015-10-06 00:00:00,4000000000,835181200,,Existing
,,,,9495223,Fixed (9.5),100,2015-10-06 00:00:00,,949522300,,
,,,,18556741,Fixed (10),100,2015-10-06 00:00:00,,1855674100,,
,,,,3596224,Floating,100,2015-10-06 00:00:00,,359622400,4000000000,
19,2015-09-16 00:00:00,Bank of Ceylon (BOC),80000000,2885900,Fixed (8.25),100,2015-10-21 00:00:00,8000000000,288590000,8000000000,Existing
,,,,122200,Fixed (8),100,2015-10-21 00:00:00,,12220000,,
,,,,44783860,Floating,100,2015-10-21 00:00:00,,4478386000,,
,,,,11802560,Fixed (9.5),100,2015-10-21 00:00:00,,1180256000,,
,,,,20405480,Floating,100,2015-10-21 00:00:00,,2040548000,,
20,2015-10-20 00:00:00,People’s Leasing & Finance PLC,60000000,21757800,Fixed (9.6%),100,2015-11-20 00:00:00,6000000000,2175780000,,Existing
,,,,38242200,Fixed (9.95%),100,2015-11-20 00:00:00,,3824220000,6000000000,
21,2015-11-04 00:00:00,Sampath Bank PLC,70000000,67412700,Fixed(9.9%),100,2015-11-23 00:00:00,7000000000,6741270000,,Existing
,,,,2587300,Floating,100,2015-11-23 00:00:00,,258730000,7000000000,
22,2015-11-12 00:00:00,Access Engineering PLC,50000000,10300,Fixed(10.45%),100,2015-11-23 00:00:00,5000000000,1030000,,Existing
,,,,5400,Fixed(10.95%),100,2015-11-23 00:00:00,,540000,,
,,,,200,Fixed(10.72%),100,2015-11-23 00:00:00,,20000,,
,,,,49984100,Fixed(10.25%),100,2015-11-23 00:00:00,,4998410000,5000000000,
23,2015-11-06 00:00:00,Housing Development Finance Corporation Bank (HDFC),40000000,5782400,Floating,100,2015-11-30 00:00:00,4000000000,578240000,4000000000,Existing
,,,,20129900,Fixed(10.5%),100,2015-11-30 00:00:00,,2012990000,,
,,,,14087700,Fixed(12%),100,2015-11-30 00:00:00,,1408770000,,
24,2015-11-09 00:00:00,Dunamis Capital PLC,10000000,9989500,Fixed (10.5),100,2015-12-10 00:00:00,1000000000,998950000,1000000000,Existing
,,,,10500,Floating ,100,2015-12-10 00:00:00,,1050000,,
25,23-Non-15,Commericial Credit & Finance PLC (COCR),20000000,17499900,Fixed (10.4),100,2015-12-18 00:00:00,2000000000,1749990000,2000000000,Existing
,,,,2500100,Floating ,100,2015-12-18 00:00:00,,250010000,,
,,,,,,,,,83414408000,,
,,De- Listing,,,,,,,,,
,No. ,Name ,Date De-listed ,,,,,,,,
,1,N D B Capital Holding PLC,2015-01-26 00:00:00,,,,,,,,
,2,Orient Finance PLC,2015-07-30 00:00:00,,,,,,,,
,3,DFCC Vardhana Bank PLC,2015-10-01 00:00:00,,,,,,,,
