Capitalisation of Reserves 2022 (January to December),,,,,,
No. ,Company,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,Exterminators PLC,2022-09-20 00:00:00,17.5287357329,1,2852459,2022-09-30 00:00:00
2,Bairaha Farms PLC,2022-12-13 00:00:00,10,1,1600000,2022-12-23 00:00:00
