SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2011,,,,,,,
No. ,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2011-01-28 00:00:00,Commercial Bank of Ceylon -    voting,2011-03-30 00:00:00,1,155.6,2277195,2011-04-12 00:00:00
,,                                                  - Non Voting,,1,94.6,255735,
2,20-May-2011 ,Diesel & Motor Engineering PLC,2011-03-30 00:00:00,1,50,174048,2011-06-13 00:00:00
3,2011-01-27 00:00:00,Sampath Bank,2011-03-31 00:00:00,1,50.5,3521294,2011-04-01 00:00:00
4,2011-09-09 00:00:00,Renuka Holdings PLC -                  Voting,2011-09-28 00:00:00," 1.75438 shares (rounded, 100/57)",100,767313,2011-10-10 00:00:00
,,                                           -         Non-voting,2011-09-28 00:00:00,"2.85714 shares (rounded, 100/35)",100,178415,
