Sector Trading Statistics 2012,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
BANKS FINANCE & INSURANCE,497624,2559238590,51912697792,61,59
"BEVERAGE, FOOD & TOBACCO",115502,286519535,13359745397,20,20
CONSTRUCTION & ENGINEERING,37257,96006428,2093513255,4,4
CHEMICALS & PHARMACEUTICALS,29477,182636546,3379149762,10,10
FOOTWEAR & TEXTILES,26883,112674247,2729506684,4,4
HOTELS & TRAVELS,165784,635932702,10345645502,36,36
INVESTMENT TRUSTS,145806,970705079,12449607048,9,9
LAND & PROPERTY,111091,247462269,4776342787,18,18
MANUFACTURING,241860,1056569101,13902092199,36,35
MOTORS,13558,11235341,2230252520,6,6
OIL PALMS,3760,723011,595494591,5,5
STORES & SUPPLIES,7402,473677,252584934,4,4
SERVICES,12228,32240586,294145468,8,8
TRADING,37656,166575968,1289417344,8,8
PLANTATIONS,56936,110298977,1815318799,18,18
DIVERSIFIED HOLDINGS,170415,1779239415,78436330630,18,18
POWER & ENERGY,82540,463159902,2999636488,8,8
HEALTH CARE,33666,405714396,6799700945,6,6
INFORMATION TECHNOLOGY,51269,315293193,2172000350,2,2
TELECOMMUNICATION,16670,258537671,1994016117,2,2
