Sector Trading Statistics Monthly 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",6812,10751843,501985642,32,32,9500,49030206,1297035182,32,32,12892,48418514,1211261514,32,32,8057,17713055,755274944,32,32,9370,33798205,1616940411,32,32,6684,20601523,493746279,32,32,9135,43591943,1666779209,33,33,8393,28221731,535332714,33,33,7646,22236608,372084916,33,33,8507,27418863,595667332,33,33,7249,17358215,627552382,33,32,4809,10843654,414664476,33,30
"Beverage, Food & Tobacco",6207,8529120,509164575,18,18,7078,12077082,619811282,18,18,6829,11120661,588813094,18,18,6293,13868496,599541222,18,18,5195,5499195,299934587,18,18,2634,5137033,275081854,18,18,3225,6517397,509715907,18,18,4137,10571358,523386704,18,18,2535,4868419,239893747,18,18,3125,5858454,238790604,18,18,2519,20928251,1104897020,18,18,907,3584115,141039397,18,18
Construction & Engineering,1405,1601516,67430737,3,3,2676,3308928,167121544,3,3,736,782955,36174416,3,3,531,1137661,65486407,3,3,666,1192871,67448108,3,3,468,566913,31115700,3,3,488,1072685,59237032,3,3,1225,1930767,66069334,3,3,756,601679,34817802,3,3,1067,1098995,53909853,3,3,620,503864,22592315,3,3,260,308354,13643712,3,2
Chemicals & Pharmaceuticals,3245,3735178,93334716,9,9,3909,5143214,144927610,9,9,2635,3444982,131600701,9,9,2780,3833773,157076074,9,9,3858,5673167,165611023,9,9,2594,4901493,91786250,9,9,2143,3346264,90192161,9,8,6918,13515838,525060180,9,9,2411,4137308,141237355,9,9,2347,2924172,76178704,9,9,1820,2502995,69376202,9,8,791,1215515,36785287,9,8
Footwear & Textiles,891,506591,29216121,4,4,1367,910092,54087119,4,4,2302,1558470,91861276,4,4,718,505214,27276813,4,4,680,732707,40933236,4,4,629,1113361,61487593,4,4,643,576082,28537380,4,4,874,612278,27732519,4,4,580,352634,16306356,4,4,451,276221,13741321,4,4,469,195674,7421040,4,4,277,115456,3839107,4,4
Hotels & Travels,4831,7262567,98892773,33,33,9039,13371544,268284863,33,33,4357,10314003,117698695,33,33,3907,22064226,2267432061,33,33,5154,13510734,197853104,33,33,4908,6526017,118975531,32,33,5533,11880131,270446987,32,32,8578,21273624,258587670,32,32,8849,14623505,202518939,32,32,4834,6434317,88799030,32,32,4033,6189816,103779544,32,32,1981,2078050,27962022,32,32
Investment Trusts,1104,868040,28284675,5,4,927,563581,40223668,5,5,875,503287,36216787,6,6,936,864424,69324770,6,6,748,927146,44613756,6,6,687,702111,53090049,6,6,378,503644,24102071,6,6,2833,2850816,127167549,6,6,1326,821751,37715573,7,7,924,809547,36896188,7,7,636,553332,22889988,7,6,257,745763,24996744,7,6
Land & Property,5612,6839161,138933450,21,18,8352,15192004,221885071,21,18,13992,20595837,398679710,21,19,7609,17644650,282656174,21,19,5938,10102899,167643491,21,19,5541,11618956,189841412,21,19,3223,4242555,63365985,21,19,8681,11410952,234018401,21,19,4211,10728353,181666023,20,18,4564,4565957,67577630,20,18,3980,4763000,81947909,20,18,2197,3252566,25068192,20,18
Manufacturing,10424,26545156,405899325,31,30,15259,48164567,972243680,31,31,15699,43931066,695304951,31,30,11539,61934272,775566312,31,30,11623,25239801,519475980,31,29,10661,28059642,382969092,31,31,9339,27006273,886394230,31,31,10729,42430127,553461639,31,30,7882,33132227,315591847,32,32,7288,38428891,507803453,32,31,7326,22750329,253599230,32,31,2657,11024548,131913082,32,31
