Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2009-02-24 00:00:00,REG-N-0000,REGNIS (LANKA) PLC,FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-04-01 00:00:00,2009-04-06 00:00:00,41.75,49.75
2009-02-24 00:00:00,SINI-N-0000,SINGER INDUSTRIES (CEYLON) PLC,FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-04-01 00:00:00,2009-04-06 00:00:00,58.25,42
2009-02-25 00:00:00,JFIN-N-0000,FINLAYS COLOMBO PLC,FINAL DIVIDEND OF RS.1.50 PER SHARE,2009-03-31 00:00:00,2009-04-06 00:00:00,146,145
2009-02-25 00:00:00,TILE-N-0000,LANKA TILES PLC,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2009-03-17 00:00:00,2009-03-27 00:00:00,32,31
2009-02-25 00:00:00,TPL-N-0000,TALAWAKELLE TEA ESTATES PLC,FIRST & FINAL DIVIDEND OF RS.1.25 PER SHARE,2009-03-31 00:00:00,2009-04-06 00:00:00,15.5,14
2009-02-26 00:00:00,MBSL-N-0000,MERCHANT BANK OF SRI LANKA PLC,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-03-31 00:00:00,2009-04-06 00:00:00,10,9
2009-03-04 00:00:00,TSML-N-0000,TEA SMALLHOLDER FACTORIES PLC,INTERIM DIVIDEND OF RS.3.00 PER SHARE,2009-03-23 00:00:00,2009-04-02 00:00:00,76.5,83
2009-03-06 00:00:00,AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-04-01 00:00:00,2009-04-07 00:00:00,16,13.5
2009-03-31 00:00:00,AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2009-04-08 00:00:00,2009-04-24 00:00:00,27.5,27
2009-03-31 00:00:00,COMD-N-0000,COMMERCIAL DEVELOPMENT COMPANY PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-05-07 00:00:00,2009-05-14 00:00:00,36,37.25
