Market Capitalisation as at 31st December 2004,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,2004-12-31 00:00:00,331133200,110,36424652000
SLTL,SLT,2004-12-31 00:00:00,1804860000,15.5,27975330000
LIOC,LANKA IOC,2004-12-31 00:00:00,532529905,43.25,23031918391.25
CARS,CARSONS,2004-12-31 00:00:00,1018710,15000,15280650000
DFCC,DFCC,2004-12-31 00:00:00,57374599,206,11819167394
COMB,COMMERCIAL BANK,2004-12-31 00:00:00,65029769,159.75,10388505597.75
SPEN,AITKEN SPENCE,2004-12-31 00:00:00,27034403,346.75,9374179240.25
NDB,NAT. DEV. BANK,2004-12-30 00:00:00,53750000,160,8600000000
DIST,DISTILLERIES ,2004-12-31 00:00:00,300000000,28.5,8550000000
CTC,CEYLON TOBACCO,2004-12-31 00:00:00,187323751,43,8054921293
JFIN,JAMES FINLAY,2004-12-17 00:00:00,35000000,219,7665000000
HHL,HEMAS HOLDINGS,2004-12-31 00:00:00,78994400,96.5,7622959600
BUKI,BUKIT DARAH,2004-12-31 00:00:00,10000000,716.75,7167500000
RICH,RICHARD PIERIS,2004-12-31 00:00:00,59192780,120,7103133600
HAYL,HAYLEYS,2004-12-31 00:00:00,55000000,126.25,6943750000
AHPL,AHOT PROPERTIES,2004-12-31 00:00:00,221387650,29.5,6530935675
KHL,KEELLS HOTELS,2004-12-31 00:00:00,59481470,87.25,5189758257.5
NEST,NESTLE,2004-12-31 00:00:00,53725463,88.5,4754703475.5
HDEV,HOTEL DEVELOPERS,2004-12-31 00:00:00,45226100,102,4613062200
HNB,HNB,2004-12-31 00:00:00,77000000,57,4389000000
SAMP,SAMPATH,2004-12-31 00:00:00,68887628,62.75,4322698657
LLUB,CALTEX,2004-12-31 00:00:00,60000000,63.75,3825000000
LOLC,LOLC,2004-12-31 00:00:00,47520000,80,3801600000
TRAN,TRANS ASIA,2004-12-30 00:00:00,50000000,74.5,3725000000
AHUN,A.SPEN.HOT.HOLD.,2004-12-31 00:00:00,38433144,91.75,3526240962
SHAL,SHALIMAR,2003-08-20 00:00:00,4626720,760,3516307200
DIPD,DIPPED PRODUCTS,2004-12-23 00:00:00,29930756,111,3322313916
CFIN,CENTRAL FINANCE,2004-12-31 00:00:00,12180000,270,3288600000
LION,LION  BREWERY,2004-12-30 00:00:00,50000000,61,3050000000
GHLL,GALADARI,2004-12-31 00:00:00,182434060,16,2918944960
SINS,SINGER SRI LANKA,2004-12-31 00:00:00,40067075,70.5,2824728787.5
TAJ,TAJ LANKA,2004-12-31 00:00:00,139637494,19.5,2722931133
CCS,COLD STORES ,2004-12-20 00:00:00,21600000,125,2700000000
SERV,HOTEL SERVICES,2004-12-30 00:00:00,17600000,145,2552000000
CTEA,TEA SERVICES,2004-12-23 00:00:00,10000000,245,2450000000
MILL,MILLERS ,2004-12-02 00:00:00,3894750,600,2336850000
LHL,LIGHTHOUSE HOTEL,2004-12-31 00:00:00,46000000,50,2300000000
