Dividend Record 1993,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
ASIR,Nt0000,ASIRI,1992-12-10 00:00:00,1993-01-05 00:00:00,5,FINAL,18,20
CFLB,Nt0000,FORT LAND 3/-,1992-12-04 00:00:00,1993-01-05 00:00:00,8,FIRST & FINAL,19,16.5
SIDL,Nt0000,SIEDLES,1992-12-03 00:00:00,1993-01-05 00:00:00,10,FIRST & FINAL,22.25,14
MPAC,Nt0000,METAL PACKAGING,1992-12-29 00:00:00,1993-01-06 00:00:00,15,FIRST AND FINAL,45,40
SINS,Nt0000,SINGER SRI LANKA,1992-12-17 00:00:00,1993-01-11 00:00:00,12.5,INTERIM,64,60
CTC,Nt0000,CEYLON TOBACCO,1992-12-21 00:00:00,1993-01-18 00:00:00,3,2ND INTERIM,30,29
DIST,Nt0000,DISTILLERIES 1/-,1992-12-04 00:00:00,1993-01-19 00:00:00,20,FINAL,10,10
HNB,Nt0000,HNB,1993-01-13 00:00:00,1993-02-07 00:00:00,15,FOR S/HOLDERS AS AT 31/1/93,375,375
ITH,Nt0000,INT. TOURISTS,1993-01-19 00:00:00,1993-02-10 00:00:00,6,1ST INTERIM,19.5,19.5
WALK,Nt0000,WALKERS TOURS,1993-01-19 00:00:00,1993-02-11 00:00:00,10,1ST INTERIM,54,53.5
JKH,Nt0000,JKH,1993-01-19 00:00:00,1993-02-12 00:00:00,10,1ST INTERIM,214.75,210
KINN,Nt0000,KANDY WALK INN,1993-01-20 00:00:00,1993-02-15 00:00:00,10,1ST INTERIM,47,50
HINN,Nt0000,HABARANA WALKINN,1993-01-21 00:00:00,1993-02-16 00:00:00,10,1ST INTERIM,44,44
CIC,Nt0000,CIC,1993-02-09 00:00:00,1993-03-05 00:00:00,15,INTERIM,78,78
CHMX,Nt0000,CHEMANEX,1993-02-16 00:00:00,1993-03-12 00:00:00,7.5,INTERIM,37,37
HAYL,Nt0000,HAYLEYS,1993-02-23 00:00:00,1993-03-19 00:00:00,30,FIRST & FINAL (TAX FREE),251,255
SPEN,Nt0000,AITKEN SPENCE,1993-03-01 00:00:00,1993-03-23 00:00:00,25,INTERIM (TAX FREE),225,230
COMD,Nt0000,COMMERCIAL DEV.,1993-02-24 00:00:00,1993-03-23 00:00:00,9,FOR SHAREHOLDERS AT 12TH MARCH 1993,15,16
COMB,Nt0000,COMMERCIAL BANK,1993-03-04 00:00:00,1993-03-29 00:00:00,18,2ND & FINAL (1.476% TAX FREE),200,200
AHUN,Nt0000,A.SPEN.HOT.HOLD.,1993-03-08 00:00:00,1993-03-30 00:00:00,15,INTERIM (T.F.),70,74
RICH,Nt0000,RICHARD PIERIS,1993-03-05 00:00:00,1993-03-30 00:00:00,8,INTERIM (TAX FREE),84.5,84
CTCE,Nt0000,EAGLE INSURANCE,1993-03-05 00:00:00,1993-03-31 00:00:00,15,FINAL,36,37
LOLC,Nt0000,LOLC,1993-03-05 00:00:00,1993-03-31 00:00:00,15,INTERIM,125,121
SOY,Nt0000,SOY FOODS,1993-03-10 00:00:00,1993-03-31 00:00:00,45,FOR S/HOLDERS AS AT 29TH MARCH 1993,36,38
CTC,Nt0000,CEYLON TOBACCO,1993-03-08 00:00:00,1993-04-02 00:00:00,4.5,3RD & FINAL,28.5,28
HNB,Nt0000,HNB,1993-02-25 00:00:00,1993-04-02 00:00:00,25,FINAL,380,400
TRAN,Nt0000,TRANS ASIA,1993-03-10 00:00:00,1993-04-08 00:00:00,10,INTERIM,30,33
LPRT,Nt0000,LAKE HOUSE PRIN.,1993-03-22 00:00:00,1993-04-16 00:00:00,5,INTERIM,26,27.25
ACL,Nt0000,ACL,1993-03-19 00:00:00,1993-04-19 00:00:00,10,INTERIM,71,71.25
PDL,Nt0000,PDL,1993-03-22 00:00:00,1993-04-19 00:00:00,9,INTERIM,17.25,17.25
JFIN,Nt0000,JAMES FINLAY,1993-03-22 00:00:00,1993-04-22 00:00:00,8.4,2ND & FINAL (TAX FREE),65,50
BATA,Nt0000,BATA,1993-03-26 00:00:00,1993-04-27 00:00:00,15,FINAL,34,34
UML,Nt0000,UNITED MOTORS,1993-03-29 00:00:00,1993-04-27 00:00:00,7.5,INTERIM,35.25,35.25
GRAN,Nt0000,GRAIN ELEVATORS,1993-04-01 00:00:00,1993-04-28 00:00:00,18,SECOND &FINAL (TAX FREE),95,92
CFIN,Nt0000,CENTRAL FINANCE,1993-04-02 00:00:00,1993-04-29 00:00:00,10,FIRST  INTERIM (TAX FREE),180,180
HARI,Nt0000,HARISCHANDRA,1993-04-05 00:00:00,1993-04-30 00:00:00,5,INTERIM,110,110
REG,Nt0000,REGNIS,1993-03-30 00:00:00,1993-05-03 00:00:00,15,FIRST & FINAL,32.25,32
SINI,Nt0000,SINGER IND.,1993-03-30 00:00:00,1993-05-03 00:00:00,20,FIRST & FINAL,30,29.25
APDL,Nt0000,ASSOCIATED PROP.,1993-04-05 00:00:00,1993-05-04 00:00:00,15,INTERIM (TAX FREE),14,14
PALM,Nt0000,PALM GARDEN,1993-04-07 00:00:00,1993-05-07 00:00:00,40,INTERIM,24.5,21
BHR,Nt0000,RIVERINA HOTELS,1993-04-07 00:00:00,1993-05-07 00:00:00,25,INTERIM,46,43.5
SLND,Nt0000,SEREND LND 100/-,1993-04-26 00:00:00,1993-05-17 00:00:00,7.5,INTERIM,130,100
HSIG,Nt0000,HOTEL SIGIRIYA,1993-04-02 00:00:00,1993-05-18 00:00:00,10,1ST INTERIM,21.5,21
SINS,Nt0000,SINGER SRI LANKA,1993-03-30 00:00:00,1993-05-24 00:00:00,15,FINAL,67,67
RECK,Nt0000,RECKITTS,1993-04-19 00:00:00,1993-05-25 00:00:00,30,FINAL,88,88
INDO,Nt0000,INDO MALAY,1993-05-13 00:00:00,1993-05-27 00:00:00,26.87,INTERIM (23.13%) T.F.,525,525
SHAL,Nt0000,SHALIMAR,1993-05-13 00:00:00,1993-05-27 00:00:00,85.09,INTERIM (67.24)T.F.,575,575.5
GOOD,Nt0000,GOOD HOPE,1993-05-13 00:00:00,1993-05-28 00:00:00,58.1,FIRST INTERIM  (47.5) T.F.,400,320
SELI,Nt0000,SELINSING,1993-05-13 00:00:00,1993-05-28 00:00:00,27.07,FIRST INTERIM (21.72)T.F.,549.75,450.5
NEST,Nt0000,NESTLE,1993-04-28 00:00:00,1993-05-31 00:00:00,16,1ST & FINAL,17.75,16.5
CNF,Nt0000,NUTRITIONAL(D/L),1993-04-29 00:00:00,1993-05-31 00:00:00,40,1ST & FINAL,73.5,73.5
KREA,Nt0000,KOREA CEYLON,1993-05-10 00:00:00,1993-06-03 00:00:00,5,2ND AND FINAL (TAX FREE),50,50
ASIR,Nt0000,ASIRI,1993-05-12 00:00:00,1993-06-09 00:00:00,7.5,INTERIM,16,17
BUKI,Nt0000,BUKIT DARAH,1993-05-20 00:00:00,1993-06-11 00:00:00,7,1ST INTERIM (T.F.),462.5,400
REEF,Nt0000,REEFCOMBER,1993-05-25 00:00:00,1993-06-18 00:00:00,10,S/HOLDERS AS AT 15/6/93,31,28
UML,Nt0000,UNITED MOTORS,1993-05-28 00:00:00,1993-06-28 00:00:00,12.5,FINAL,34.75,33
ALLI,Nt0000,ALLIANCE,1993-06-03 00:00:00,1993-06-29 00:00:00,35,FINAL,41.5,42
COXY,Nt0000,CEYLON OXYGEN,1993-06-02 00:00:00,1993-06-29 00:00:00,30,FINAL,93.25,92.25
COML,Nt0000,COMM. LEASING,1993-06-02 00:00:00,1993-06-29 00:00:00,12.5,FINAL,40.5,44.75
SIL,Nt0000,SAMSON INTERNAT.,1993-06-02 00:00:00,1993-06-29 00:00:00,15,INTERIM,30,30
DIMO,Nt0000,DIMO,1993-06-07 00:00:00,1993-07-01 00:00:00,20,FIRST & FINAL,64.75,70
HEXP,Nt0000,HAYLEYS EXPORTS,1993-06-14 00:00:00,1993-07-01 00:00:00,20,FIRST & FINAL (T.F.),36,36.25
NEH,Nt0000,NUWARA ELIYA,1993-06-14 00:00:00,1993-07-02 00:00:00,40,INTERIM,1350.25,1400
HPP,Nt0000,HAYL. PHOTOPRINT,1993-06-16 00:00:00,1993-07-05 00:00:00,20,FIRST & FINAL,36,32.5
UAL,Nt0000,UNION ASSURANCE,1993-06-10 00:00:00,1993-07-05 00:00:00,10,FINAL,33,34.75
CINS,Nt0000,CEYLINCO INS.,1993-06-12 00:00:00,1993-07-06 00:00:00,7.5,FIRST & FINAL,26,26
DFCC,Nt0000,DFCC,1993-06-02 00:00:00,1993-07-07 00:00:00,32.5,FIRST & FINAL,1850.25,1850
TANG,Nt0000,TANGERINE,1993-06-24 00:00:00,1993-07-09 00:00:00,30,INTERIM TAX FREE,100,100
SAMP,Nt0000,SAMPATH,1993-06-10 00:00:00,1993-07-12 00:00:00,10,FIRST & FINAL,22.75,23
HAYC,Nt0000,HAYCARB,1993-06-25 00:00:00,1993-07-13 00:00:00,25,FIRST &FINAL,60.5,60
DIPD,Nt0000,DIPPED PRODUCTS,1993-06-25 00:00:00,1993-07-14 00:00:00,26,FIRST & FINAL,72,72
MBSL,Nt0000,MERCHANT BANK,1993-03-12 00:00:00,1993-07-14 00:00:00,20,FIRST & FINAL,39.75,37
HTEC,Nt0000,HAYTECH MARKET.,1993-06-28 00:00:00,1993-07-15 00:00:00,10,FIRST & FINAL,35.25,32
CFIN,Nt0000,CENTRAL FINANCE,1993-07-01 00:00:00,1993-07-19 00:00:00,7.5,2ND INTERIM (TAX FREE),215.25,215.25
SEYB,Nt0000,SEYLAN BANK,1993-06-25 00:00:00,1993-07-20 00:00:00,5,FIRST & FINAL,42.25,44
