Sector Trading Statistics Monthly 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",12493,31896382,666209627,34,32,5027,31533111,1802666942,34,33,9032,45505790,1672533928,34,33,10425,23719091,709689846,34,33,25432,109143706,4883999407,34,33,35641,140134959,4465679383,33,33,19383,68083945,2704181695,33,32,16063,40763835,2049882316,33,32,51865,227606359,5885787725,33,32,55588,243275081,7736773924,33,32,21346,92827244,6089722818,33,32,20322,73714833,6562036585,33,32
"Beverage, Food & Tobacco",4096,5639678,177364212,18,17,2781,7630039,623099062,18,17,1798,2409450,86250541,18,16,2686,3203648,129631242,18,17,5652,10714720,575313091,18,17,10982,30561468,1188479538,18,17,3624,5625660,313684440,18,17,3565,6083074,408677355,18,17,8560,14379169,663350455,18,17,12251,22034310,976851669,18,17,3491,6201840,317431696,18,17,8533,14583236,994173445,18,17
Construction & Engineering,757,750539,26959531,3,3,388,287324,14000873,3,3,631,714290,42189252,3,3,542,542105,27447387,3,3,1661,1578696,88242869,3,3,1841,1870287,148110052,3,3,1133,1454187,149068410,3,3,1620,2412154,281918275,3,3,2932,3326213,330190166,3,3,1206,1013038,155261426,3,3,901,2574390,442879959,3,3,1157,1079453,161785076,3,3
Chemicals & Pharmaceuticals,3197,4857139,79753999,9,8,2101,3460747,63297811,9,7,1233,1519933,33265765,9,8,1511,1995580,41787192,9,7,4183,10887467,395388671,9,7,7331,15542130,633282018,9,7,3512,5031851,226802347,9,8,2313,3864418,182062691,9,7,8256,24318631,795606125,9,8,7236,41196487,639677949,9,8,2611,18852643,288145524,9,9,3689,27102259,372995241,9,8
Footwear & Textiles,457,205156,8853372,3,3,141,68536,3091583,3,3,189,880867,24306506,3,3,240,119482,4206503,3,3,334,1251765,65983634,3,3,700,350051,14231850,3,3,261,7050808,214825516,3,3,1750,1513349,87650914,3,3,727,715157,34753021,3,3,1930,7983446,287440345,3,3,559,4157750,218650958,3,3,748,1294475,50395714,3,3
Hotels & Travels,8633,15790738,219562127,32,32,2743,5428207,52611609,32,32,2799,8972469,355369558,32,32,5788,14789793,224279493,32,31,18752,74435465,1121618037,32,32,25719,74648036,1652506935,32,32,17869,33826797,823151905,32,32,27076,67207488,1460556742,32,32,28990,84477891,1759195163,32,32,12720,30236490,823008657,32,32,6940,11783280,290072361,32,32,10851,27113002,1461899245,32,32
Investment Trusts,952,664549,17829259,8,8,442,251650,11617396,8,8,434,279529,8260286,8,8,674,458586,16196357,8,7,1189,913356,39973863,8,8,2251,1489217,96035001,8,8,2547,1338512,159462032,8,8,1325,703050,80532124,8,7,2149,2252065,382383316,8,8,1500,1067851,105367243,8,8,1657,716810,73886573,8,8,2303,1378777,200365624,8,8
Land & Property,9885,17071267,172549391,20,18,5386,12658247,126147891,20,18,3039,14264960,265322918,20,17,5064,9590513,103962290,20,17,8631,16130920,226319966,20,16,15448,35406264,493062864,20,18,8390,18613647,300196706,20,17,5479,9890973,204557953,20,18,18713,48794893,909255745,19,18,16414,53623852,593685788,19,17,4036,9044843,102167241,19,16,6705,13038754,209962853,19,17
Manufacturing,13636,32412739,306735588,33,31,5657,27102298,369168260,33,31,6196,18932015,176056823,33,33,10115,29298286,411896466,33,32,16658,63188048,934186619,34,33,20938,85544584,1158274732,33,34,20537,78567859,1114396511,33,33,12408,36327304,649763968,33,33,23395,151567304,1623902950,33,33,29274,193341320,1924521617,33,32,11325,54289497,789283789,33,32,18914,51613106,1235293630,33,32
