Sector Domestic & Foreign Analysis - 2011,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",1028559,28937,7669422820,366539458,109885000241,17637497443
"BEVERAGE, FOOD & TOBACCO",284696,8397,701011713,71758267,33223389121,5085942131
CONSTRUCTION & ENGINEERING,57895,931,111554618,2720585,4237835969,315604309
CHEMICALS & PHARMACEUTICALS,71549,1756,488574288,7392188,9489666836,510011499
FOOTWEAR & TEXTILES,64026,1613,114414112,4974400,4026878689,214586265
HOTELS & TRAVELS,290605,5548,689025610,54275631,29510538341,2165160359
INVESTMENT TRUSTS,270848,5836,355033569,19978859,25310758435,1712057484
LAND & PROPERTY,395381,8324,1166094680,74420524,35811126780,1884441027
MANUFACTURING,647386,12883,3878414560,112248624,64369847050,3529316793
MOTORS,36136,1232,24610741,1218916,10714645575,791074869
OIL PALMS,11323,882,6413621,1542807,7501495706,1814209262
STORES & SUPPLIES,15305,269,2088580,228030,2896563843,249309297
SERVICES,22933,175,74923705,725765,1013719041,10531520
TRADING,130462,2303,816398312,21827441,15449821249,421303904
PLANTATIONS,139288,5213,191650845,24347544,9968818931,1193548478
DIVERSIFIED HOLDINGS,378627,16867,2284978338,187722685,64203930188,15676783327
POWER & ENERGY,345845,7393,2762443323,192517595,35696511387,1764912042
HEALTH CARE,81815,1309,672053554,45835412,9709505570,2165721227
INFORMATION TECHNOLOGY,170702,4130,974948753,46475450,11800995748,719266945
TELECOMMUNICATION,20028,1945,167528513,155366355,2138375428,1435140189
