Sector Market Capitalisation - Monthly 2022,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
Automobiles & Components,5182519680,6882240000,4655160000,3674280000,4100400000,3650160000,3819000000,5459160000,5459160000,5402880000,4824000000,4663200000
Banks,284978603991.92,345043724985.1,286500015806.51,239378479600.56,228647826630.24,211800705941.74,218742207014.74,249719609687.9,249719609687.9,224028206716.6,225696024634.6,219847840003
Capital Goods,354324340789.29,851318602782.1,606561150738.8,505706004585.7,525198375766.2,497860632398.3,509836070887.35,720413000932.55,720413000932.55,619130387020.15,607780015686.2,578526967599.5
Commercial & Professional Services,2075350974.93,5470005576.7,3784768991.95,3656370907.65,4013474487.6,4207879816.6,3894242111.1,9355042712.85,9355042712.85,7645658840.95,7223306133.5,6310217498.8
Consumer Durables & Apparel,32512174686.39,102866055454,84581738017.5,81276001326.8,83821544991.4,77416254847,88598740072.9,97209022369.6,97209022369.6,81856744210.8,77138038034.9,74113512306.4
Consumer Services,36996523967.16,156285196766.8,125756026954.8,108941057058.6,111390159427.6,102542740414.8,115068130223.4,186562328454.7,186562328454.7,168507635790.9,168177084635.5,162842101370.7
Diversified Financials,186180070001.57,1286428012043.35,836360787633.05,593465054889.85,744409909671,588185859064.5,593800835134.4,814282231200.65,814282231200.65,724970794355.5,749423872924.35,758407444965.45
Energy,13147220115.41,38210026396.8,23012345262,19679937228,37696841651.9,46156272277.5,55858261886.7,161027274021.55,161027274021.55,104912174944.95,107298052593.9,113708623030.35
Food & Staples Retailing,27064838346.17,84953884454,78060059276.3,70064770624.4,74078338064.95,70847591774.05,71272685138.15,93477293964.35,93477293964.35,87542683551.8,89853355470.1,96334645517.95
"Food, Beverage & Tobacco",242884052846.51,937940539177.7,715210345090.1,661655196336.75,749787568155.45,675065695102.2,714619738688.45,857309113460,857309113460,764738281214.15,763278711460.45,753626261590.2
Health Care Equipment & Services,24155148196.43,99705955035.6,76478958107.1,70344695712,71929261392.6,66981112712.3,68812389945.6,71204124481.2,71204124481.2,77478825867.1,76259216950.9,75412648864.6
Household & Personal Products,2548031053.3,9267230540.8,8285331798.4,7487539070.2,8193278791.3,7763698091.5,8684228162.5,10310497954.6,10310497954.6,9543389562.1,9328599212.2,9267230540.8
Insurance,77897403154.04,178014807364.1,129272004011.7,118375875818.6,130169373219,115182362442.7,117100916119.7,132687428007.3,132687428007.3,121426330456.5,123557324878,149625750923
Materials,96598256611.96,183258995663.8,133146782356.15,117239670564.45,124918938628.85,113397632900.55,131609591614.55,190195392943.5,190195392943.5,166020727345.15,161241686878.05,155006610736.7
Real Estate,15546270920.1,71279149501.3,59221033302.8,53386916506.4,54322002275.35,50708668545.35,51646951125.05,57893012017.9,57893012017.9,45282913139.6,45189963146,45544339383.2
Retailing,24285208227.58,73577729751.5,51502811926.7,46872637927,46198397725.1,43484489123.7,44604474157,52890265619.4,52890265619.4,49469798149.8,47896165672.7,47771297163.6
Software & Services,2725205961.67,6142637347.2,4980516768,5450898907.2,5478568444.8,5312551219.2,6087298272,5948950584,5948950584,5395559832,4703821392,4703821392
Telecommunication Services,24828475122.33,181136499808.5,144995689050,143473063545,138811922547,123850963792.5,129936613545,150885004623,150885004623,177107986531.5,195670686684,192835422592.5
Transportation,84543808610.51,579796453667.5,407132446515,332220880680,423865841200,338589564250,343321918407.5,426531184350,426531184350,294751368985,378251647810,357238937737.5
Utilities,19181884223.41,54170221400.5,47000484673.9,44075311734.3,42503588905.4,41156728330.1,44226599626.1,48170181405.5,48170181405.5,44191920469.9,42456432163.9,41366307990.4
