New Listing 1994,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Kelani Tyres Ltd ,7800000,26,7800000,Nil,1994-01-28 00:00:00
2) Peoples Merchant Ltd ,3125000,20,3125000,Nil,1994-07-11 00:00:00
3) Lanka Walltiles Ltd,8000000,50,8000000,Nil,1994-06-13 00:00:00
4) Coco Lanka Ltd,1000000,25,1000000,Nil,1994-06-06 00:00:00
5) Royal Ceramics Ltd,6400000,30,6400000,Nil,1994-05-02 00:00:00
6) Equity Two Ltd,1550000,20,1550000,Nil,1994-11-21 00:00:00
7) Veyangoda Textiles Ltd,7500000,18,7500000,Nil,1994-09-20 00:00:00
8) Ferntea Ltd,2000000,30,2000000,Nil,1994-09-20 00:00:00
9) CF Venture Ltd,3333593,15,3333593,Nil,1994-08-22 00:00:00
10) Asia Capital Ltd,25000000,30,25000000,Nil,1994-09-22 00:00:00
11) Forbes Ceylon Ltd,62500000,10,62500000,Nil,1994-10-03 00:00:00
11) Ceylon Glass Co Ltd,6625000,40,6625000,Nil,1994-09-05 00:00:00
12) Bairaha Farms Ltd,4000000,28,4000000,Nil,1994-12-05 00:00:00
13) Ceylinco Securities Ltd,5000000,20,5000000,Nil,1994-06-13 00:00:00
14) The Finance,2377700,100,2377700,Nil,1994-12-07 00:00:00
Value (Rs.),3248073895,,,,
Issues (No.),15,,,,
New Listing 1994 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",6,101336293,1825273895,,
"2) Beverage, Food & Tobacco",3,7000000,197000000,,
3) Manufacturing ,4,28825000,1059800000,,
4) Land & Property,1,1550000,31000000,,
5) Footwear & Textiles,1,7500000,135000000,,
Total,15,146211293,3248073895,,
De-Listings 1994,,,,,
Company,Date of De-Listing,,,,
Ceylon Textile manufacturers Ltd ,1994-09-01 00:00:00,,,,
