Market Capitalisation as at 30th December 1999,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,1999-12-30 00:00:00,48577147,203,9861160841
CTC,CEYLON TOBACCO,1999-12-30 00:00:00,133802679,39.75,5318656490.25
DFCC,DFCC,1999-12-30 00:00:00,35259260,124,4372148240
HNB,HNB,1999-12-30 00:00:00,50000000,87,4350000000
NDB,NAT. DEV. BANK,1999-12-30 00:00:00,35833333,115,4120833295
COMB,COMMERCIAL BANK,1999-12-30 00:00:00,32500000,115,3737500000
HAYL,HAYLEYS,1999-12-30 00:00:00,33000000,110,3630000000
SPEN,AITKEN SPENCE,1999-12-30 00:00:00,26468810,130,3440945300
NEST,NESTLE,1999-12-29 00:00:00,53725463,60,3223527780
PURE,COCA-COLA,1999-12-29 00:00:00,75627417,30,2268822510
SAMP,SAMPATH,1999-12-30 00:00:00,44284904,45,1992820680
LLUB,CALTEX,1999-12-30 00:00:00,30000000,66,1980000000
AHUN,A.SPEN.HOT.HOLD.,1999-12-30 00:00:00,38433144,42,1614192048
GRAN,GRAIN ELEVATORS,1999-12-29 00:00:00,60000000,26,1560000000
DOCK,DOCKYARD,1999-12-30 00:00:00,93537756,16.5,1543372974
DIST,DISTILLERIES ,1999-12-30 00:00:00,300000000,5,1500000000
AHOT,ASIAN HOTELS,1999-12-29 00:00:00,221387643,6.75,1494366590.25
CCS,COLD STORES,1999-12-30 00:00:00,21600000,65.5,1414800000
TRAN,TRANS ASIA,1999-12-29 00:00:00,50000000,28,1400000000
JFIN,JAMES FINLAY,1999-12-17 00:00:00,35000000,38,1330000000
CARS,CARSONS,1999-10-21 00:00:00,1018710,1300,1324323000
RICH,RICHARD PIERIS,1999-12-30 00:00:00,19910976,60,1194658560
SINS,SINGER SRI LANKA,1999-12-30 00:00:00,26711384,44,1175300896
PDL,PDL,1999-12-29 00:00:00,66000000,17,1122000000
DIPD,DIPPED PRODUCTS,1999-12-30 00:00:00,18475776,60,1108546560
LION,LION  BREWERY,1999-12-30 00:00:00,50000000,20,1000000000
CFIN,CENTRAL FINANCE,1999-12-30 00:00:00,6090000,160,974400000
UPIN,UPALI INVESTMENT,1998-11-09 00:00:00,500000,1883.5,941750000
TKYO,TOKYO CEMENT,1999-12-30 00:00:00,15000000,59,885000000
