Sector Trading Statistics Monthly 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",20959,40008194,2067079186,32,32,20095,58386046,5000679999,32,32,11901,30921780,1570704662,32,32,5460,21786417,2253281057,32,32,8232,20648279,459074774,32,32,7879,74962893,1739669390,32,32,6545,17517902,555692979,32,32,13263,26669119,937890166,32,32,14572,46512068,1245123271,32,32,24323,57611011,3504787279,32,32,24323,57611011,3504787279,32,32,8425,29845311,3001054503,32,32
"Beverage, Food & Tobacco",6181,13918662,754929495,18,18,5839,12848465,976729389,18,18,5122,14337344,1464327487,18,17,1628,1894560,159772733,18,18,2720,11919893,347159846,18,18,1671,2731354,173337289,18,18,1884,2505916,159682594,18,17,2300,4071193,104442642,18,18,6310,10526097,1145739296,18,18,7375,8676413,347828763,18,18,7375,8676413,347828763,18,18,3419,3943252,144618991,18,18
Construction & Engineering,1281,2330827,88036186,4,3,1525,1821502,69068920,4,3,1838,3269670,145163907,4,3,1015,5875675,154747454,4,3,1136,1380035,48681608,4,3,697,1384069,52582699,4,3,845,563478,17729632,4,3,1058,875937,22809746,4,3,1826,2072957,64094470,4,3,1210,1652804,54945758,3,3,1210,1652804,54945758,3,3,1740,5444137,255590505,3,3
Chemicals & Pharmaceuticals,6186,7094453,578032125,9,9,4676,5956054,512413758,9,9,4518,4593443,289059935,9,9,2073,1695422,82871786,9,8,3211,4298234,138811834,9,9,2349,3744143,123873181,9,9,2105,3127225,103600638,9,8,2640,3706825,82392306,9,8,8406,10733326,395050017,9,7,4597,6104360,206642921,9,9,4597,6104360,206642921,9,9,1926,1993835,56179783,9,9
Footwear & Textiles,1703,1875177,103441639,4,4,2706,4897712,156024381,4,4,2198,3801279,112624212,4,4,858,940578,29689373,4,4,1243,1650909,60075973,4,4,1189,1228294,40434434,4,4,499,384795,13153155,4,4,2322,2728170,86007076,4,4,2540,2257769,87777223,4,4,8234,7460225,430272798,4,4,8234,7460225,430272798,4,4,1113,791441,53673762,4,4
Hotels & Travels,3236,13814778,145346645,33,33,3887,6765161,135728057,33,33,2752,10892663,123910288,33,33,1454,4291176,40598402,33,32,2630,6076757,73010502,33,31,2434,4335023,51734126,33,33,2231,5548086,50394081,33,33,7195,10929861,111658560,33,33,13278,24984027,484658057,33,32,9211,15794291,288217037,33,32,9211,15794291,288217037,33,32,5143,5168486,143218492,33,33
Investment Trusts,3781,2018412,237541410,6,6,2400,1337697,190229284,6,6,4196,1993552,170886352,6,6,1916,1795317,83541224,6,6,2517,1475744,79499971,6,6,1768,1023329,42992769,6,5,1928,956294,36483591,6,6,2131,2852289,49457393,6,6,786,350099,31495984,5,5,1290,613029,60075027,5,5,1290,613029,60075027,5,5,1015,712793,17657575,5,5
Land & Property,5662,8237264,222993045,21,19,7192,15562483,308038409,21,18,9131,23043419,339385628,21,19,3351,4559880,78876028,21,18,4582,7577536,89220884,21,19,3139,4297019,53694177,21,19,5805,4465619,133446409,21,18,7212,8033048,182837906,21,18,8603,10238387,273449728,21,19,27620,32217778,2039536360,21,19,27620,32217778,2039536360,21,19,8352,10376545,216437565,21,18
Manufacturing,18087,88705692,1597563814,32,31,17293,82393082,1692408957,32,31,10701,39865395,783585841,32,32,5356,12068044,265945883,32,30,6937,39072142,914102692,32,31,5678,27027207,333078203,32,30,4683,14920104,186837348,32,30,8624,23474389,303188540,32,32,8777,32664661,340219709,32,32,7758,17739744,210388155,32,32,7758,17739744,210388155,32,32,7264,13096473,210434165,31,29
