Sector Trading Statistics Monthly 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Motors,1097,954397,115361292,7,6,1494,3455440,546053554,7,6,623,472797,63327437,7,7,295,134485,17402725,7,7,460,153394,16354678,7,7,398,209931,23697644,7,7,651,188964,26061959,7,6,591,145729,16838758,7,7,586,1246807,76504879,7,7,474,150165,17002141,7,7,474,150165,17002141,7,7,399,412558,26883706,7,7
Oil Palms,100,16678,10343505,5,5,103,25025,13769497,5,5,815,69840,67158313,5,5,649,32381,40700278,5,5,480,28290,21882971,5,5,147,7184,4466995,5,5,104,5558,1977396,5,5,314,52270,43590519,5,4,593,340757,302347451,5,4,344,35675,34575056,5,4,344,35675,34575056,5,4,226,17987,22584044,5,3
Stores & Supplies,219,1288021,2097830,6,6,244,1706000,2702376,6,6,262,2894145,672382884,6,6,115,606597,2016272,6,6,192,1729695,2809987,6,6,130,732231,1063563,6,6,109,1067778,1208601,6,6,213,1054164,1438086,6,6,161,1726940,2033618,6,6,242,1256366,10768336,6,6,242,1256366,10768336,6,6,420,1468594,5277540,6,6
Services,280,124495,12153100,7,4,181,105362,9838325,7,5,515,359864,23904641,7,6,113,220218,7267699,7,4,56,11689,872468,7,5,57,21475,1713291,7,4,58,16654,1213845,7,4,53,5921,479141,7,4,128,11185,886958,7,5,100,21744,1493778,7,5,100,21744,1493778,7,5,663,154444,12737864,7,4
Trading,2016,7426356,89148947,11,10,1931,7560363,117678897,11,11,1208,9044603,28576414,11,10,1213,2231229,41340272,11,10,1292,11894497,44864482,11,10,2115,35004101,197888382,11,10,1829,5834532,126402674,11,10,3929,23844740,115460563,11,10,5486,20841168,221455709,11,10,8113,22836960,509230377,11,10,8113,22836960,509230377,11,10,6913,11074594,192008367,11,10
Plantation,2295,3294151,86800721,18,18,1968,2693531,64488977,18,18,1706,1395147,29415945,18,18,1166,790879,23668315,18,18,1099,1192670,25976905,18,18,2296,2563186,62555685,18,18,1481,1371233,35481209,18,18,1729,1970245,38370446,18,18,4433,6136495,126714411,18,18,3045,4812601,116023051,18,17,3045,4812601,116023051,18,17,20393,35473401,946282281,18,18
Diversified,5529,32643032,6043468081,10,9,4037,11414756,1283654297,10,10,4524,11818863,2121090136,10,9,2306,3440745,499241344,10,10,3214,15021049,2173036838,10,10,1812,12504891,1833977311,10,10,1703,5174876,682659020,10,10,2528,25144038,3144923426,10,10,3665,15278675,1582043100,11,11,3401,11348623,1342981124,11,11,3401,11348623,1342981124,11,11,2568,5773424,517448478,11,11
Power & Energy,5007,27461250,573723955,4,3,4364,19199425,373261468,4,3,2065,7909575,129295280,4,3,913,4148128,80982761,4,3,1259,4347406,43829150,4,3,1001,3254805,40559820,4,3,887,1660623,17363917,4,3,1336,6806876,40535539,4,3,1682,6997999,56649339,4,3,1131,4319732,68106820,4,3,1131,4319732,68106820,4,3,943,7832744,46564797,4,3
Healthcare,3540,20220116,206907075,6,6,4218,26350942,202631448,6,6,2168,33699223,131070106,6,6,1046,2938679,21372085,6,6,1458,6279664,31561767,6,6,1026,4026417,30030636,6,6,1150,5264967,21689823,6,6,10405,59646124,2348163169,6,6,2160,9434214,70733237,6,6,3123,11299089,135820971,6,6,3123,11299089,135820971,6,6,869,3949724,29330121,6,6
Information Technology,92,124361,2103548,1,1,176,209304,3403153,1,1,82,118801,1733972,1,1,94,36901,536440,1,1,74,46066,608750,1,1,37,18900,247050,1,1,186,110966,1678399,1,1,424,581573,9590640,1,1,62,37200,600300,1,1,2744,2696618,72648755,1,1,2744,2696618,72648755,1,1,666,670965,11721736,1,1
Telecommunication,7832,66071269,1997370787,2,2,9733,75253105,2561635543,2,2,7045,45306342,1456186195,2,2,2602,12081806,348370001,2,2,3366,292728285,7958646996,2,2,2874,13612279,461346860,2,2,2378,7753080,224486766,2,2,1537,7657049,197376364,2,2,2369,74211792,2017258917,2,2,1799,50469652,1252305335,2,2,1799,50469652,1252305335,2,2,1155,7800735,190600752,2,2
