Rights Issues 2020 (January to December),,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2019-01-07 00:00:00,Anilana Hotels and Properties PLC - Tranche 2 (Balance Shares),2019-05-21 00:00:00,56303919,2,56303919,112607838,112607838,1:12,31-01-2020
2,2020-01-06 00:00:00,Orient Finance PLC ,2020-01-17 00:00:00,35183526,14.4,35183526,506642774.4,506642774.4,1:5,2020-02-28 00:00:00
3,2020-01-19 00:00:00,Agalawatte Plantations PLC ,2020-01-24 00:00:00,131250000,15.3,131250000,2008125000,2008125000,21:4,2020-03-02 00:00:00
4,2020-01-07 00:00:00,The Colombo Fort Land & Building PLC ,2020-01-31 00:00:00,60000000,10,40336805,600000000,403368050,1:3,2020-03-13 00:00:00
5,2020-02-19 00:00:00,Lanka Realty Investments PLC,2020-03-12 00:00:00,96740648,37.5,17889132,3627774300,670842450,1:2,2020-06-15 00:00:00
6,2020-02-10 00:00:00,Dialog Finance PLC,2020-03-02 00:00:00,17446388,40.2,17446388,701344797.6,701344797.6,17:89,2020-06-03 00:00:00
7,2020-06-02 00:00:00,Industrial Asphalts Ceylon PLC,2020-07-27 00:00:00,749882250,0.2,749882250,149976450,149976450,1:4,2020-09-02 00:00:00
8,2020-06-23 00:00:00,Browns Investments PLC,2020-07-23 00:00:00,9579811640,2,9579811640,19159623280,19159623280,2:1,2020-08-31 00:00:00
9,,Softlogic Capital PLC,2020-10-29 00:00:00,289027200,3.5,289027200,1011595200,1011595200,21:50,2020-12-08 00:00:00
10,,SANASA Development Bank PLC,2020-10-26 00:00:00,30525344,50,30525344,1526267200,1526267200,1:2,2020-12-04 00:00:00
11,,Softlogic Finance PLC,2020-11-09 00:00:00,165390848,11.5,165390848,1901994752,1901994752,8:5,2020-12-15 00:00:00
12,,Anilana Hotels and Properties PLC ,2020-11-09 00:00:00,91522915,2,91522915,183045830,183045830,1:13,2020-12-17 00:00:00
13,,Renuka Holdings PLC (Voting),2020-11-25 00:00:00,66775969,14,66775969,934863566,934863566,3:4,2020-12-31 00:00:00
14,,Renuka Holdings PLC (Non- Voting),2020-11-25 00:00:00,9642622,10,9642622,96426220,96426220,3:4,2020-12-31 00:00:00
16,,Prime Finance PLC ,2020-11-30 00:00:00,41800000,12.6,41800000,526680000,526680000,19:36,2020-12-31 00:00:00
15,,Eden Hotel Lanka PLC ,2020-11-26 00:00:00,422400000,10,,4224000000,0,4:1,
,,,,,,,,29893403408,,
