"Market Capitalization of Listed Companies as at December 31st, 2017",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
JKH,JKH.N0000,JKH,148.5,1387501097,206043912904.5
HDEV,HDEV.N0000,HOTEL DEVELOPERS,94.8,2046645686,194022011032.8
CTC,CTC.N0000,CEYLON TOBACCO,1004.5,187323751,188166707879.5
COMB,COMB.N0000,COMMERCIAL BANK,135.8,931915160,126554078728
DIAL,DIAL.N0000,DIALOG,13,8143778405,105869119265
HNB,HNB.N0000,HNB,249,392304558,97683834942
CCS,CCS.N0000,COLD STORES,949.9,95040000,90278496000
NEST,NEST.N0000,NESTLE,1626,53725463,87357602838
HHL,HHL.N0000,HEMAS HOLDINGS,126,574889446,72436070196
DIST,DIST.N0000,DISTILLERIES,237.1,300000000,71130000000
MELS,MELS.N0000,MELSTACORP,59.5,1165397072,69341125784
SAMP,SAMP.N0000,SAMPATH,315.7,217222236,68577059905.2
LOLC,LOLC.N0000,LOLC,115.1,475200000,54695520000
SLTL,SLTL.N0000,SLT,28.5,1804860000,51438510000
CARG,CARG.N0000,CARGILLS,199.9,224000000,44777600000
LION,LION.N0000,LION  BREWERY,540,80000000,43200000000
CARS,CARS.N0000,CARSONS,176,196386914,34564096864
CTHR,CTHR.N0000,C T HOLDINGS,180,183097253,32957505540
DFCC,DFCC.N0000,DFCC BANK PLC,122.8,265097688,32553996086.4
CINS,CINS.N0000,CEYLINCO INS.,1597,20000000,31940000000
LLUB,LLUB.N0000,CHEVRON,119,240000000,28560000000
ASIR,ASIR.N0000,ASIRI,24.4,1137533596,27755819742.4
PLC,PLC.N0000,PEOPLES LEASING,17,1579862482,26857662194
RICH,RICH.N0000,RICHARD PIERIS,13,2035038275,26455497575
TJL,TJL.N0000,TEEJAY LANKA,34,701956580,23866523720
AEL,AEL.N0000,ACCESS ENG SL,23.5,1000000000,23500000000
NDB,NDB.N0000,NAT. DEV. BANK,136.4,171485705,23390650162
AHPL,AHPL.N0000,AHOT PROPERTIES,52.8,442775300,23378535840
SPEN,SPEN.N0000,AITKEN SPENCE,54.6,405996045,22167384057
OSEA,OSEA.N0000,OVERSEAS REALTY,17.6,1243029582,21877320643.2
BUKI,BUKI.N0000,BUKIT DARAH,210.5,102000000,21471000000
CFIN,CFIN.N0000,CENTRAL FINANCE,92.3,216758888,20006845362.4
VONE,VONE.N0000,VALLIBEL ONE,17.7,1086559353,19232100548.1
HNB,HNB.X0000,HNB,195,96249132,18768580740
HAYL,HAYL.N0000,HAYLEYS,241,75000000,18075000000
NTB,NTB.N0000,NATIONS TRUST,78,230607283,17987368074
TRAN,TRAN.N0000,TRANS ASIA,89,200000000,17800000000
TKYO,TKYO.N0000,TOKYO CEMENT,66,267300000,17641800000
CLC,CLC.N0000,COMM LEASE & FIN,2.7,6377711170,17219820159
LFIN,LFIN.N0000,LB FINANCE,122.1,139651428,17051439358.8
SINS,SINS.N0000,SINGER SRI LANKA,43.5,375628830,16339854105
SEYB,SEYB.N0000,SEYLAN BANK,87.2,179613669,15662311936.8
LIOC,LIOC.N0000,LANKA IOC,28,532465705,14909039740
BREW,BREW.N0000,CEYLON BEVERAGE,700,20988090,14691663000
UBC,UBC.N0000,UNION BANK,13.2,1091406249,14406562486.8
LHCL,LHCL.N0000,LANKA HOSPITALS,62,223732169,13871394478
COCR,COCR.N0000,COM.CREDIT,43,318074365,13677197695
KHL,KHL.N0000,KEELLS HOTELS,8.8,1456146780,12814091664
RCL,RCL.N0000,ROYAL CERAMIC,114.5,110789384,12685384468
CTEA,CTEA.N0000,DILMAH CEYLON,550,20737500,11405625000
EXPO,EXPO.N0000,EXPOLANKA,5.3,1954915000,10361049500
LOFC,LOFC.N0000,LOLC FINANCE,3.7,2800000000,10360000000
CTCE,CTCE.N0000,A I A INSURANCE,327.5,30749370,10070418675
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,29.5,336290010,9920555295
SEYB,SEYB.X0000,SEYLAN BANK,56,174842437,9791176472
SHL,SHL.N0000,SOFTLOGIC,12.5,779000000,9737500000
BIL,BIL.N0000,BROWNS INVSTMNTS,2.6,3720000000,9672000000
SHAL,SHAL.N0000,SHALIMAR,1726.6,5397840,9319910544
ABL,ABL.N0000,AMANA BANK,3.7,2501390534,9255144975.8
JINS,JINS.N0000,JANASHAKTHI INS.,15.7,544500198,8548653108.6
UAL,UAL.N0000,UNION ASSURANCE,135,58928572,7955357220
