Sector Trading Statistics Monthly 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",39256,227098966,12625987061,61,57,29654,146194014,7686943102,61,57,30677,189886357,9183734777,61,57,45407,285303725,8767885519,60,56,59883,256109407,8287167589,60,56,34238,241932461,5835316821,60,56,26029,116576385,3822006016,60,56,25817,142073953,5223020085,60,56,28214,210949830,2967250849,60,56,35075,248438781,4857670328,60,56,21557,334829151,3862344633,60,56,18959,362651258,4587653427,60,56
"Beverage, Food & Tobacco",8398,21192866,1725698900,20,20,4711,5863131,569758839,20,20,5075,18398517,1270983057,20,20,8329,20031540,1064057769,20,20,10560,25702375,2083673978,20,20,5039,14305934,1880763496,20,20,3798,13538768,461790313,20,20,5202,8496293,1024065700,20,20,6265,11765279,382282095,20,20,7134,14456702,667776138,20,20,4104,6970908,850421065,20,20,3526,7462283,1644094716,20,20
Construction & Engineering,2328,6648255,163266046,4,4,1634,7965760,201987994,4,4,1394,4279943,105993856,4,4,1860,4713612,248969472,4,4,4923,13030758,322470455,4,4,3508,5895547,179500983,4,4,1881,8003398,179786072,4,4,2662,17196636,371653981,4,4,1894,6783571,129354599,4,4,2904,34010603,766531087,4,4,1620,5227815,135558483,4,4,1116,1811590,72046175,4,4
Chemicals & Pharmaceuticals,1495,5635851,37570893,10,10,1095,2055951,58625358,10,10,1254,6052913,88551633,10,10,2967,8520229,130751054,10,10,8339,11510277,2006712935,10,10,2378,5057560,226698014,10,10,1868,3918330,76112409,10,10,1673,44743742,128281300,10,10,2200,19000859,57836032,10,10,2444,25939598,68508727,10,10,2387,9370271,54465041,10,10,1396,7856145,47743197,10,10
Footwear & Textiles,1226,1131921,18138226,4,4,1019,1132193,19601295,4,4,1243,5883562,111521900,4,4,2950,4938037,64207393,4,4,2756,2606319,48794388,4,4,1054,1180034,10939597,4,4,1025,1030170,9687789,4,4,1062,1404477,11660540,4,4,1080,1958229,8015067,4,4,1785,2257957,23085093,4,4,931,1192708,13282112,4,4,938,1394201,16802394,4,4
Hotels & Travels,9377,14894735,269946932,36,35,6450,14591629,268764687,36,35,6337,21771633,446763594,36,35,16158,59539402,651114188,36,35,14462,37225721,571273064,36,35,6721,14742486,270641600,36,35,6365,16993021,204495390,37,36,6140,11717912,142136503,37,36,7897,19683330,154092243,37,36,10883,30527903,330748599,37,36,5849,30544575,1286298765,37,36,5594,16096549,191797520,37,36
Investment Trusts,10902,66148731,979257522,9,9,3637,90152680,519993895,9,9,3628,13839617,180859188,9,9,6099,22936035,166497961,9,9,7809,28168775,473056542,9,9,3285,7996582,72853088,9,9,2774,7011053,71588021,9,9,3052,10737213,90519422,9,9,4016,17986475,240055556,9,9,4589,21859625,251460920,9,9,5005,23720392,394615869,9,9,1937,6803884,58904584,9,9
Land & Property,5172,9565687,145504369,18,18,4813,10256711,119489289,18,18,4140,19005805,254512936,18,18,16995,54159011,1061397440,18,18,24879,106960347,1655294278,18,18,9460,21762786,358747779,18,18,8124,32712379,291944314,18,18,5357,17393124,153107316,18,18,20189,204992402,753639050,18,18,24820,182457046,962225166,18,18,9637,58912279,477808591,18,18,3743,13310711,99264643,18,18
Manufacturing,12153,44115735,692014862,36,34,9474,52269438,820334170,36,34,9035,41200271,613290358,36,35,17817,74638856,728076056,36,34,26941,138420906,5662865910,36,34,15811,36754963,1198868189,36,35,12086,43533782,841483121,36,35,12580,49658300,986064857,36,35,16928,96694183,722186183,36,34,23925,143266796,1172737099,36,35,16569,75944473,1163036294,36,34,11106,81163609,1052671112,36,34
