,Sub Division / Share Splits  2022 (January to December),,,,,
No.,Date of Announcement,COMPANY ID,COMPANY NAME,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
1,,CCS,Ceylon Cold Stores PLC,1,10,2022-03-03 00:00:00
2,,UAL,Union Assurance PLC,1,10,2022-04-08 00:00:00
3,,HUNA,Hunas Holdings PLC,1,150,2022-04-29 00:00:00
4,,FCH,First Capital Holdings PLC,1,4,2022-05-04 00:00:00
5,,FCT,First Capital Treasuries PLC,1,4,2022-05-04 00:00:00
