Dividend Record 1997,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
AMW,Nt0000,AMW,1996-12-20 00:00:00,1997-01-07 00:00:00,10,FIRST & FINAL,27,27.25
EAST,Nt0000,EAST WEST,1996-12-19 00:00:00,1997-01-10 00:00:00,3,,5.5,6.25
CFVF,Nt0000,CF VENTURE FUND,1997-01-15 00:00:00,1997-01-28 00:00:00,5,FINAL,7.75,7
FERN,Nt0000,FERNTEA LTD,1997-01-15 00:00:00,1997-01-28 00:00:00,5,INTERIM,8.25,8.5
CTHR,Nt0000,CEY THEATRES 8/-,1997-01-13 00:00:00,1997-01-31 00:00:00,75,,350,350.25
JKL,Nt0000,JOHN KEELLS,1997-01-15 00:00:00,1997-02-03 00:00:00,10,,47,41.75
JKH,Nt0000,JKH,1997-01-20 00:00:00,1997-02-06 00:00:00,10,,196.25,175
CFIN,Nt0000,CENTRAL FINANCE,1997-01-24 00:00:00,1997-02-11 00:00:00,10,,240,240
HEXP,Nt0000,HAYLEYS EXPORTS,1997-01-29 00:00:00,1997-02-11 00:00:00,20,INTERIM (4.4% TAX FREE),51.5,50
HLOG,Nt0000,HABARANA LODGE,1997-02-03 00:00:00,1997-02-14 00:00:00,10,INTERIM,14,15
ASPH,Nt0000,INDUSTRIAL ASPH.,1997-02-03 00:00:00,1997-02-14 00:00:00,7.5,1ST INTERIM,51,50
KINN,Nt0000,KANDY WALK INN,1997-02-03 00:00:00,1997-02-14 00:00:00,10,INTERIM,16,17
HAYC,Nt0000,HAYCARB,1997-02-06 00:00:00,1997-02-18 00:00:00,20,INTERIM,80.5,80.5
TSML,Nt0000,TEA SMALLHOLDER,1997-02-18 00:00:00,1997-02-26 00:00:00,7.5,PL NOTE THAT XD DATE IS 13-FEB-1997,23,23
CHMX,Nt0000,CHEMANEX,1997-02-17 00:00:00,1997-02-28 00:00:00,10,INTERIM,45,44
MBSL,Nt0000,MERCHANT BANK,1997-02-17 00:00:00,1997-02-28 00:00:00,10,FIRST & FINAL,21.5,21
CIC,Nt0000,CIC,1997-02-18 00:00:00,1997-03-07 00:00:00,15,VOTING & NON VOTING CLASS X,45,43
CTEA,Nt0000,TEA SERVICES,1997-02-28 00:00:00,1997-03-12 00:00:00,12.5,(INTERIM),68,85.25
CTC,Nt0000,CEYLON TOBACCO,1997-02-28 00:00:00,1997-03-18 00:00:00,10,3RD & FINAL,33,33
HOPL,Nt0000,HORANA,1997-03-12 00:00:00,1997-03-24 00:00:00,20,INTERIM,23,24
AHUN,Nt0000,A.SPEN.HOT.HOLD.,1997-03-13 00:00:00,1997-03-25 00:00:00,5,INTERIM (TAX FREE),37,37
DIPD,Nt0000,DIPPED PRODUCTS,1997-03-14 00:00:00,1997-03-25 00:00:00,20,INTERIM (TAX FREE),89.25,86
COMB,Nt0000,COMMERCIAL BANK,1997-03-17 00:00:00,1997-03-27 00:00:00,18,FINAL (VOTING & NON VOTING SHARES),155,154
CTCE,Nt0000,EAGLE INSURANCE,1997-03-11 00:00:00,1997-03-27 00:00:00,17.5,FIRST & FINAL,41,43
CHOT,Nt0000,HOTELS CORP. 2/-,1997-03-17 00:00:00,1997-03-27 00:00:00,50,INTERIM,62,65
COML,Nt0000,COMM. LEASING,1997-03-18 00:00:00,1997-03-31 00:00:00,10,2ND INTERIM,46.25,46
JFIN,Nt0000,JAMES FINLAY,1997-03-18 00:00:00,1997-03-31 00:00:00,12.5,FINAL,44,55
LLUB,Nt0000,CALTEX,1997-03-19 00:00:00,1997-04-01 00:00:00,10,INTERIM,37,36
CINS,Nt0000,CEYLINCO INS.,1997-03-12 00:00:00,1997-04-03 00:00:00,15,,23.25,23.25
HNB,Nt0000,HNB,1997-03-14 00:00:00,1997-04-03 00:00:00,20,,250,250
NDB,Nt0000,NAT. DEV. BANK,1997-03-25 00:00:00,1997-04-07 00:00:00,55,FINAL,201,197
LOLC,Nt0000,LOLC,1997-03-26 00:00:00,1997-04-08 00:00:00,15,(INTERIM),152,154.25
UAL,Nt0000,UNION ASSURANCE,1997-03-24 00:00:00,1997-04-10 00:00:00,12.5,,38,40
TRAN,Nt0000,TRANS ASIA,1997-03-26 00:00:00,1997-04-15 00:00:00,15,,20,18.75
SPEN,Nt0000,AITKEN SPENCE,1997-04-04 00:00:00,1997-04-18 00:00:00,5,KEPT OPEN,110.5,115
RCL,Nt0000,ROYAL CERAMICS,1997-03-31 00:00:00,1997-04-18 00:00:00,10,,29,28
UML,Nt0000,UNITED MOTORS,1997-04-04 00:00:00,1997-04-21 00:00:00,12.5,,32,32
BATA,Nt0000,BATA,1997-04-09 00:00:00,1997-04-24 00:00:00,5,FIRST & FINAL,22,22.5
SEYB,Nt0000,SEYLAN BANK,1997-04-07 00:00:00,1997-04-25 00:00:00,10,,22,21.25
HAYL,Nt0000,HAYLEYS,1997-04-16 00:00:00,1997-04-28 00:00:00,15,INTERIM (TAX FREE),210.25,211
COXY,Nt0000,CEYLON OXYGEN,1997-04-04 00:00:00,1997-04-29 00:00:00,20,,51.5,52.75
GLAX,Nt0000,GLAXO,1997-04-08 00:00:00,1997-04-29 00:00:00,20,,34.5,34.5
GLAS,Nt0000,CEYLON GLASS CO.,1997-04-17 00:00:00,1997-04-30 00:00:00,15,KEPT OPEN,26.5,27
AUTO,Nt0000,AUTODROME 100/-,1997-04-21 00:00:00,1997-05-05 00:00:00,10,KEPT OPEN,250,180
DOCK,Nt0000,DOCKYARD,1997-04-21 00:00:00,1997-05-05 00:00:00,5,FINAL,19.25,20
UCAR,Nt0000,UNION CARBIDE,1997-04-23 00:00:00,1997-05-06 00:00:00,10,KEPT OPEN,14.5,14
NEST,Nt0000,NESTLE,1997-04-18 00:00:00,1997-05-14 00:00:00,27.6,,40.5,40
AGAL,Nt0000,AGALAWATTE,1997-04-18 00:00:00,1997-05-16 00:00:00,10,,30,31
RECK,Nt0000,RECKITTS,1997-04-28 00:00:00,1997-05-23 00:00:00,20,,50,48
REG,Nt0000,REGNIS,1997-05-16 00:00:00,1997-05-30 00:00:00,15,KEPT OPEN,26.5,26
SINI,Nt0000,SINGER IND.,1997-05-16 00:00:00,1997-05-30 00:00:00,15,KEPT OPEN,26.5,25.5
SINS,Nt0000,SINGER SRI LANKA,1997-05-16 00:00:00,1997-05-30 00:00:00,17.5,KEPT OPEN,59,59
SAMP,Nt0000,SAMPATH,1997-05-27 00:00:00,1997-06-06 00:00:00,15,FIRST & FINAL,63.5,62.25
MILL,Nt0000,MILLERS 8/-,1997-05-29 00:00:00,1997-06-10 00:00:00,70,INTERIM (TAX FREE),226,200
ASIR,Nt0000,ASIRI,1997-06-03 00:00:00,1997-06-13 00:00:00,12.5,INTERIM,31.5,32
HEXP,Nt0000,HAYLEYS EXPORTS,1997-06-05 00:00:00,1997-06-17 00:00:00,15,FINAL (TAX FREE - 5.5%),62.75,62.75
HPP,Nt0000,HAYL. PHOTOPRINT,1997-06-06 00:00:00,1997-06-18 00:00:00,20,(FIRST & FINAL)(3.1% TAX FREE),39,39
DIPD,Nt0000,DIPPED PRODUCTS,1997-06-09 00:00:00,1997-06-19 00:00:00,15,FINAL (TAX FREE),130.25,131
UML,Nt0000,UNITED MOTORS,1997-06-04 00:00:00,1997-06-19 00:00:00,21,,41,39.25
HAYC,Nt0000,HAYCARB,1997-06-10 00:00:00,1997-06-21 00:00:00,15,FINAL ( 9.1% TAX FREE),89,89
KGAL,Nt0000,KEGALLE,1997-06-11 00:00:00,1997-06-24 00:00:00,15,FIRST & FINAL,34,34
CINV,Nt0000,CEYLON INV.,1997-06-10 00:00:00,1997-06-25 00:00:00,50,1ST INTERIM ( TAX FREE),165,165
COML,Nt0000,COMM. LEASING,1997-06-12 00:00:00,1997-06-25 00:00:00,5,KEPT OPEN,44,44
GOOD,Nt0000,GOOD HOPE,1997-06-12 00:00:00,1997-06-25 00:00:00,40,INTERIM (20.42% TAX FREE),309.75,309.75
INDO,Nt0000,INDO MALAY,1997-06-12 00:00:00,1997-06-25 00:00:00,27.5,INTERIM (14.17 TAX FREE),530.25,375
SHAL,Nt0000,SHALIMAR,1997-06-12 00:00:00,1997-06-25 00:00:00,270,INTERIM (134.90% TAX FREE),700,700
TSML,Nt0000,TEA SMALLHOLDER,1997-06-12 00:00:00,1997-06-25 00:00:00,10,FINAL,52,53.5
EQIT,Nt0000,EQUITY,1997-06-11 00:00:00,1997-06-26 00:00:00,9,INTERIM,10,8.75
JKL,Nt0000,JOHN KEELLS,1997-06-09 00:00:00,1997-06-26 00:00:00,22,FINAL,80,79
BUKI,Nt0000,BUKIT DARAH,1997-06-16 00:00:00,1997-06-27 00:00:00,15,INTERIM (TAX FREE),310,310
GUAR,Nt0000,CEYLON GUARDIAN,1997-06-12 00:00:00,1997-06-27 00:00:00,40,1ST INTERIM (TAX FREE),165,160
JKH,Nt0000,JKH,1997-06-10 00:00:00,1997-06-27 00:00:00,20,FINAL,255,272
SELI,Nt0000,SELINSING,1997-06-16 00:00:00,1997-06-27 00:00:00,27.5,INTERIM (15.95% TAX FREE),357,176
