Sector Trading Statistics - 2021 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,33592,40477111,3696180988,1,1
Banks,533879,1852029061,96520574808,16,12
Capital Goods,1470456,4160133857,241117643857,30,28
Commercial & Professional Services,40646,133251794,3069740367,6,6
Consumer Durables & Apparel,317132,1310672578,32118769762,13,12
Consumer Services,295965,1462684297,14161001527,37,36
Diversified Financials,1349294,14191049524,169114414909,54,47
Energy,99774,255301118,9767011921,3,2
Food & Staples Retailing,21202,499101985,5778293628,5,3
"Food, Beverage & Tobacco",1228370,20568569683,219516044576,50,45
Health Care Equipment & Services,101601,714514522,5672232344,9,8
Household & Personal Products,19282,162741570,2983432941,2,2
Insurance,174853,1015212303,12271494764,13,12
Materials,1195669,8000882261,128926607187,25,20
Real Estate,178005,614347213,11156864973,20,19
Retailing,169403,826413664,11080618987,13,13
Software & Services,27725,66742812,1743511374,1,1
Telecommunication Services,38947,347120023,4392007919,2,2
Transportation,693472,1890797995,186721766548,3,3
Utilities,142241,1659645167,13348906075,10,8
