Beta Values for the Period 01st July to 30th September 2010,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
MARA,1.67068599,MARA,1.43107784
MASK,1.03911033,MASK,0.996432539
MBSL,1.79289016,MBSL,1.67331422
MGT,1.6562539,MGT,1.67436692
MIRA,-0.1037111,MIRA,-0.10304696
MORI,0.767587154,MORI,0.147552488
MPRH,1.30032487,MPRH,1.23439967
MRH,1.41634387,MRH,1.20550909
MSL,0.20279895,MSL,0.257558921
MULL,1.07459702,MULL,0.772325867
NAMU,0.240409846,NAMU,0.362769752
NDB,0.795951518,NDB,0.984034154
NEH,1.19605148,NEH,0.776127258
NEST,0.870048731,NEST,0.657172934
NHL,1.19642634,NHL,1.13024153
NTB,1.19580157,NTB,1.21720568
ODEL,1.69498937,ODEL,1.37031405
OFEQ,0,OFEQ,0
ONAL,1.17387229,ONAL,1.13521258
OSEA,0.943333749,OSEA,1.02169717
PABC,2.18593027,PABC,2.06667056
PALM,0.751968011,PALM,0.642727644
PARA,0.104960639,PARA,0.079478332
PARQ,1.28707984,PARQ,1.3601965
PCH,0.069348994,PCH,0.317796362
PDL,0.812257903,PDL,0.809228609
PEG,0.547044858,PEG,0.32627639
PHAR,1.73228789,PHAR,1.54003158
PMB,1.32325377,PMB,1.126908
RAL,0.766837435,RAL,1.13451079
RCL,1.02823941,RCL,0.937247792
REEF,1.32244158,REEF,0.985905608
REG,1.16043983,REG,1.16071115
RENU,1.34343371,RENU,1.3907246
REXP,0.562226665,REXP,0.782852798
RGEM,1.17549668,RGEM,1.02081993
RHL,1.35836561,RHL,1.26978185
RHTL,1.23934774,RHTL,0.925375752
RICH,1.57397226,RICH,1.72916544
RPBH,1.25078095,RPBH,1.0229838
RWSL,1.10427339,RWSL,1.14755248
SAMP,0.856241409,SAMP,0.779577753
SELI,0.358740472,SELI,-0.26013217
SEMB,0.954642009,SEMB,0.667875314
SERV,0.783268774,SERV,0.599216328
SEYB,1.618643,SEYB,1.6723785
SFL,0.429089091,SFL,0.155155272
SHAL,0.277458453,SHAL,-0.03093748
SHAW,0.256153942,SHAW,0.240949763
SHOT,1.00887167,SHOT,0.650739809
SIGV,1.27720854,SIGV,1.17275864
SIL,0.44095964,SIL,0.352476753
SING,-0.67262276,SING,-0.37195157
SINI,0.343746095,SINI,0.070998303
SINS,0.643883543,SINS,0.452190186
SIRA,1.00218667,SIRA,0.82963916
SLND,0.015494189,SLND,0.073396105
SLTL,1.0629139,SLTL,0.777296917
SMLL,1.40722229,SMLL,1.56207965
SMOT,0.641134574,SMOT,-0.23094917
SOY,-0.37017368,SOY,-0.01386045
SPEN,1.28570536,SPEN,0.796596292
STAF,1.43602399,STAF,0.958535586
SUGA,0.994377108,SUGA,0.781800105
SUN,1.11626889,SUN,0.793321246
SWAD,0,SWAD,0
TAFL,1.04385855,TAFL,0.28843792
TAJ,1.16000249,TAJ,0.912275571
TANG,0.882356616,TANG,0.755658225
TESS,1.10814694,TESS,1.08351365
TFC,0.908346869,TFC,0.711503596
TILE,1.1295764,TILE,1.15281595
TKYO,1.23772335,TKYO,1.30030995
TPL,0.920654754,TPL,0.866307971
TRAN,1.75527927,TRAN,1.45341832
TSML,0.754716981,TSML,0.331188958
TWOD,1.50818443,TWOD,0.844084449
TYRE,0.75927777,TYRE,0.430902391
UAL,2.05185555,UAL,1.87414468
UCAR,0.574409596,UCAR,1.00368442
UDPL,1.51561914,UDPL,1.58301655
UML,0.594402099,UML,0.28843792
VFIN,1.98119455,VFIN,1.96812679
VLL,-0.28583031,VLL,-0.77361249
VPEL,1.25727852,VPEL,1.0682496
WAPO,0.185430463,WAPO,-0.12977367
WATA,2.56247657,WATA,2.45605006
YORK,1.18992877,YORK,1.26393356
