Market Capitalisation as at 29th December 2006,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
DIAL,DIALOG ,2006-12-29 00:00:00,7403434913,26.5,196191025194.5
JKH,JKH,2006-12-29 00:00:00,460190719,195,89737190205
SLTL,SLT,2006-12-29 00:00:00,1804860000,27.75,50084865000
DIST,DISTILLERIES,2006-12-29 00:00:00,300000000,90.5,27150000000
COMB,COMMERCIAL BANK,2006-12-29 00:00:00,133518264,190,25368470160
NDB,NAT. DEV. BANK,2006-12-29 00:00:00,81855385,200.5,16412004692.5
DFCC,DFCC,2006-12-29 00:00:00,86517350,179.5,15529864325
LIOC,LANKA IOC,2006-12-29 00:00:00,532529905,28.5,15177102292.5
NEST,NESTLE,2006-12-29 00:00:00,53725463,274.75,14761070959.25
HNB,HNB,2006-12-29 00:00:00,94664700,155.75,14744027025
CTC,CEYLON TOBACCO,2006-12-28 00:00:00,187323751,69,12925338819
CARS,CARSONS,2006-12-29 00:00:00,6112260,2100,12835746000
HHL,HEMAS HOLDINGS,2006-12-29 00:00:00,100982199,116.75,11789671733.25
BUKI,BUKIT DARAH,2006-12-29 00:00:00,10000000,1162,11620000000
AHPL,AHOT PROPERTIES,2006-12-28 00:00:00,221387650,51,11290770150
HAYL,HAYLEYS,2006-12-29 00:00:00,75000000,129.5,9712500000
RICH,RICHARD PIERIS,2006-12-28 00:00:00,118385560,78,9234073680
SPEN,AITKEN SPENCE,2006-12-29 00:00:00,27066403,333.75,9033412001.25
AMW,AMW,2006-12-29 00:00:00,55647600,158,8792320800
OSEA,OVERSEAS REALTY,2006-12-29 00:00:00,562322906,13.5,7591359231
SAMP,SAMPATH,2006-12-29 00:00:00,68887628,108.25,7457085731
CDIC,CDIC,2006-12-29 00:00:00,43855007,155,6797526085
CTHR,CEY THEATRES ,2006-12-18 00:00:00,2249268,3000,6747804000
DIPD,DIPPED PRODUCTS,2006-12-29 00:00:00,59861512,108,6465043296
CTEA,TEA SERVICES,2006-12-27 00:00:00,20000000,280,5600000000
SHAL,SHALIMAR,2006-12-29 00:00:00,6940080,801,5559004080
JFIN,JAMES FINLAY,2006-12-27 00:00:00,35000000,157,5495000000
LLUB,CALTEX,2006-12-29 00:00:00,60000000,85,5100000000
KHL,KEELLS HOTELS,2006-12-29 00:00:00,595696410,8.5,5063419485
TRAN,TRANS ASIA,2006-12-29 00:00:00,50000000,100.75,5037500000
LOLC,LOLC,2006-12-29 00:00:00,47520000,103,4894560000
CFIN,CENTRAL FINANCE,2006-12-29 00:00:00,20300000,233.75,4745125000
SINS,SINGER SRI LANKA,2006-12-28 00:00:00,62604805,74.25,4648406771.25
CARG,CARGILLS,2006-12-28 00:00:00,5600000,750,4200000000
ASIR,ASIRI,2006-12-29 00:00:00,47427362,88.5,4197321537
LHCL,LANKA HOSPITALS,2006-12-29 00:00:00,156612518,26,4071925468
CTCE,EAGLE INSURANCE,2006-12-29 00:00:00,30000000,135.5,4065000000
CIC,CIC,2006-12-29 00:00:00,40500000,97.25,3938625000
NTB,NATIONS TRUST,2006-12-29 00:00:00,125786004,28.25,3553454613
CINS,CEYLINCO INS.,2006-12-29 00:00:00,20000000,167.5,3350000000
CCS,COLD STORES ,2006-12-19 00:00:00,21600000,150.5,3250800000
ACL,ACL,2006-12-29 00:00:00,14973420,212.75,3185595105
SERV,HOTEL SERVICES,2006-12-05 00:00:00,17600000,180,3168000000
LION,LION  BREWERY,2006-12-29 00:00:00,50000000,63.25,3162500000
HDEV,HOTEL DEVELOPERS,2006-12-28 00:00:00,45226100,67,3030148700
