Bonus Issues 1997,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) John Keells Holdings,1 for 7,10,4000286
2) CTC Eagle Insurance Co. Ltd,1 for 15,10,1250000
3) Tokyo Cement Co. (Lanka) Ltd,1 for 3,10,2500000
4) Eastern Merchants Ltd,3 for 1,10,1258350
5) Lankem Developments Ltd,3 for 1,10,450000
6) Asiri Hospitals Ltd,1 for 7,10,1897094
7) Hayleys Photoprint Ltd,1 for 3,10,500000
8) Dipped Products,1 for 5,10,2280960
9) Hayleys Exports,1 for 6,10,500000
10) Haycarb,1 for 6,10,2772000
11) Vanik Incorporation Ltd,1 for 4,10,11218363
12) Indo Malay Co Ltd,1 for 2,10,405000
13) Good Hope Co Ltd,1 for 2,10,441828
14) The Selinsing Co Ltd,1 for 2,10,535500
15) Richard Pieris & Co Ltd,1 for 6,10,2133319
16) Ceylon Cold Stores,1 for 2,8,3150000
17) Lanka Orix Leasing Co Ltd,2 for 5,10,1800000
18) Hayleys,1 for 11,10,2000000
19) Pegasus Hotel of Ceylon Ltd,3 for 5,10,2671131
20) The Finance Co Ltd,1 for 5,10,1663540
21) Blue Diamonds,3 for 40,10,4118647
22) Brown & Co.,2 for 1,10,1750000
Value (Rs.),486660180,,
Issues (No.),22,,
Bonus Issues - by Sector 1997,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",4,15931903,
"Beverage, Fod & Tobacco",1,3150000,
Chemical & Pharmaceuticals,1,2772000,
Diversified,2,6000286,
Hotels & Travels,1,2671131,
Manufacturing,4,11032926,
Trading,2,1758350,
Construction & Engineering,2,2200000,
Services,2,2397094,
Oil Palms,3,1382328,
Total,22,49296018,
