Sector Trading Statistics 2011,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
"BANKS, FINANCE & INSURANCE",1057496,8035962278,127522497684,56,53
"BEVERAGE, FOOD & TOBACCO",293093,772769979,38309331252,21,20
CONSTRUCTION & ENGINEERING,58826,114275202,4553440278,3,3
CHEMICALS & PHARMACEUTICALS,73305,495966475,9999678335,9,9
FOOTWEAR & TEXTILES,65639,119388512,4241464954,4,4
HOTELS & TRAVELS,296153,743301241,31675698700,32,32
INVESTMENT TRUSTS,276684,375012427,27022815919,9,9
LAND & PROPERTY,403705,1240515204,37695567807,18,18
MANUFACTURING,660269,3990663184,67899163842,35,35
MOTORS,37368,25829656,11505720444,6,6
OIL PALMS,12205,7956428,9315704968,5,5
STORES & SUPPLIES,15574,2316610,3145873140,4,4
SERVICES,23108,75649470,1024250561,7,7
TRADING,132765,838225752,15871125153,8,8
PLANTATIONS,144501,215998388,11162367410,18,18
DIVERSIFIED HOLDINGS,395494,2472701023,79880713515,16,16
POWER & ENERGY,353238,2954960917,37461423429,7,7
HEALTH CARE,83124,717888965,11875226797,6,6
INFORMATION TECHNOLOGY,174832,1021424203,12520262693,2,2
TELECOMMUNICATION,21973,322894868,3573515618,2,2
