Bonus Issues 1991,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) Autodrome,1 for 1,Data n.a. ,5600000
2) Ceylon Tea,1 for 2,Data n.a. ,10000000
3) Hotel Sigiriya,2 for 5,Data n.a. ,6975000
4) Korea Ceylon,1 for 4,Data n.a. ,24297250
5) Parquet,1 for 3,Data n.a. ,3450000
6) Associated Electricals,1 for 6,Data n.a. ,11548512
7) Aitken Spence,1 for 5,Data n.a. ,20400000
8) Ceylon Guardian,24 for 1,Data n.a. ,1893810
9) Ceylon Investment,1 for 1,Data n.a. ,2649140
10) DFCC,1 for 4,Data n.a. ,33333300
11) Hayleys,7 for 1,Data n.a. ,15000000
12) Haycarb,1 for 2,Data n.a. ,15000000
13) LOLC,1 for 3,Data n.a. ,30000000
14) Samuel Sons,1 for 4,Data n.a. ,22088160
Value (Rs.),202200000,,
Issues (No.),14,,
Bonus Issues - by Sector 1991,,,
Sector,No of Issues,No of Shares,Value (Rs.)
Data n.a. ,Data n.a. ,Data n.a. ,Data n.a. 
