Foreign Holding as at 30th December 2019,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
AAF,N,0000,ASIA ASSET FINANCE PLC,90882718
AAIC,N,0000,SOFTLOGIC LIFE INSURANCE PLC,172321445
ABAN,N,0000,ABANS ELECTRICALS PLC,159742
ABL,N,0000,AMANA BANK PLC,1016059783
ACAP,N,0000,ASIA CAPITAL PLC,122786578
ACL,N,0000,ACL CABLES PLC,8508078
ACME,N,0000,ACME PRINTING & PACKAGING PLC,11185678
AEL,N,0000,ACCESS ENGINEERING PLC,35544408
AFSL,N,0000,ABANS FINANCE PLC,13031
AGAL,N,0000,AGALAWATTE  PLANTATIONS  PLC,4129540
AGST,N,0000,AGSTAR PLC,8350
AHPL,N,0000,ASIAN HOTELS AND PROPERTIES PLC,3742507
AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,1645418
AINS,N,0000,ARPICO INSURANCE PLC,2087260
AINV,N,0000,ADAM INVESTMENTS PLC,8357164
ALHP,N,0000,ANILANA HOTELS AND PROPERTIES PLC,910681286
ALLI,N,0000,ALLIANCE FINANCE COMPANY PLC,459561
ALUF,N,0000,UNISYST ENGINEERING PLC,88243
ALUM,N,0000,ALUMEX PLC,1277549
AMCL,N,0000,AMW CAPITAL LEASING AND FINANCE PLC,1999999
AMF,N,0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,33
AMSL,N,0000,ASIRI SURGICAL HOSPITAL PLC,280596
APLA,N,0000,ACL PLASTICS PLC,68109
ARPI,N,0000,ARPICO FINANCE COMPANY PLC,2150
ASCO,N,0000,LANKA REALTY INVESTMENTS PLC ,159179164
ASHO,N,0000,LANKA ASHOK LEYLAND PLC,21679
ASIR,N,0000,ASIRI HOSPITAL HOLDINGS PLC,406307909
ASIY,N,0000,ASIA SIYAKA COMMODITIES LIMITED,2710800
ASPH,N,0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,7936
ASPM,N,0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,1250000
ATL,N,0000,AMANA TAKAFUL PLC,270309
ATLL,N,0000,AMANA TAKAFUL LIFE PLC,2627
AUTO,N,0000,THE AUTODROME PLC,18285
BALA,N,0000,BALANGODA  PLANTATIONS  PLC,100291
BBH,N,0000,BROWNS BEACH HOTELS PLC,2792974
BERU,N,0000,BERUWALA RESORTS PLC,1315109
BFL,N,0000,BAIRAHA FARMS PLC,565567
BFN,N,0000,ORIENT FINANCE PLC,60600
BIL,N,0000,BROWNS INVESTMENTS PLC,64763390
BLI,N,0000,BIMPUTH FINANCE PLC,3910
BLUE,X,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,661943
BLUE,N,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,28476275
BOGA,N,0000,BOGALA GRAPHITE LANKA PLC,85211504
BOPL,N,0000,BOGAWANTALAWA TEA ESTATES PLC,88347
BPPL,N,0000,B P P L HOLDINGS PLC ,2974325
BREW,N,0000,CEYLON BEVERAGE HOLDINGS PLC,3019633
BRR,N,0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,27336269
BRWN,N,0000,BROWN & COMPANY PLC,2408103
BUKI,N,0000,BUKIT DARAH PLC,29024094
CABO,N,0000,CARGO BOAT DEVELOPMENT COMPANY PLC,179372
CALF,N,0000,DIALOG FINANCE PLC,33719
CARE,N,0000,PRINTCARE PLC,415022
CARG,N,0000,CARGILLS (CEYLON) PLC,18526773
CARS,N,0000,CARSON CUMBERBATCH PLC,43924609
CCS,N,0000,CEYLON COLD STORES PLC,8442291
CDB,N,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,42824
CDB,X,0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,223980
CERA,N,0000,LANKA CERAMIC PLC,1401
CFI,N,0000,COLOMBO FORT INVESTMENTS PLC,100868
CFIN,N,0000,CENTRAL FINANCE COMPANY PLC,32502432
CFLB,N,0000,THE COLOMBO FORT LAND AND BUILDING PLC,325107
CFT,N,0000,CEYLON AND FOREIGN TRADES PLC,264150
CFVF,N,0000,FIRST CAPITAL HOLDINGS PLC,849838
