Sector Trading Statistics Monthly 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",128416,1036029115,15546254315,37,36,75796,278396532,13157506968,37,36,91471,264322408,16419249627,39,37,61454,200949190,8632548208,39,37,123763,621930520,14896971681,42,40,124759,876356465,11958956770,48,44,90290,441629806,8083709253,50,46,105537,319216041,11428293261,51,48,105584,959411725,9615878323,52,49,55377,194108311,4594313650,54,50,46718,190163440,3874186659,56,52,48331,186978005,6735902101,56,52
"Beverage, Food & Tobacco",31926,75306597,5312341980,20,18,41265,88082191,5595789896,21,20,18490,36403745,2591010504,21,20,14344,22670170,2755050813,21,20,17528,58660362,2377448785,21,20,11065,35000996,2010309101,21,20,13588,21196665,1967119267,21,20,52109,135487882,6186635217,21,20,32726,167307350,4626401731,21,20,19481,58093628,1748657044,21,20,26184,47536259,1838383567,21,20,14387,26946854,1295258764,21,20
Construction & Engineering,5422,6392143,580740499,3,3,7153,8638886,754637396,3,3,12391,13664776,1068623147,3,3,9746,7300431,599065395,3,3,7649,3039884,253682713,3,3,2612,3044589,325316855,3,3,4045,5764079,243000625,3,3,3596,4603178,173590926,3,3,2154,2295610,270403106,3,3,1440,1481692,120307328,3,3,1177,1147898,58035442,3,3,1441,1860801,57937284,3,3
Chemicals & Pharmaceuticals,8135,88556828,1333662406,9,9,11551,67866040,2675444120,9,9,4077,12356915,803638567,9,9,6897,9608009,1265647279,9,9,4597,9422140,812269641,9,9,5993,44398781,812131450,9,9,4158,33982701,540740397,9,9,5027,13878582,316386440,9,9,14506,170735977,846817521,9,9,3337,18489427,240493118,9,9,2386,12697516,189355204,9,9,2641,13901568,147577744,9,9
Footwear & Textiles,13806,21159966,1045499423,4,4,5568,5592351,309850745,4,4,3296,2258370,122506821,4,4,3009,2613242,126177796,4,4,4346,5280177,240792135,4,4,6132,4283252,259611057,4,4,6168,2501013,125298372,4,4,9860,17518839,722255148,4,4,2956,6151389,241065137,4,4,1845,1154880,48043689,4,4,3277,2071652,107344427,4,4,5376,2761496,205917738,4,4
Hotels & Travels,59631,59334736,3823637976,32,32,33697,50210786,2520787624,32,32,24109,28344232,1371564718,32,32,13844,19860182,1180437103,32,32,32685,61422400,2390856769,32,32,19753,42028147,2630874685,32,32,14767,32390937,1807616751,32,32,31642,92114475,3316819258,32,32,27694,62111999,4258015886,32,32,17440,56955072,2138087468,32,32,13221,17316740,704617757,32,32,7670,12308051,491440541,32,31
Investment Trusts,46715,32842418,3230899630,9,9,27126,19453418,2260063602,9,9,36319,18831199,2675303236,9,9,16915,9380331,1574108477,9,9,18999,9326201,1362905349,9,9,26861,15339498,1485910188,9,9,18786,10572602,1223131684,9,9,21940,13071927,1198326694,9,9,22268,25495279,2804677777,9,9,9455,6387143,708226755,9,9,15154,7642283,525731350,9,9,16146,11782301,633181352,9,9
Land & Property,20970,52093221,1274785964,18,16,21326,40591616,1217012364,18,17,15548,26128669,639516831,18,16,12850,17956536,549048218,18,17,44692,180510662,5101024817,18,17,57883,240966700,8082578601,18,17,23830,61524355,1405164288,18,16,107369,372336913,11675258400,18,16,42644,91176027,3853816410,18,17,19442,42058334,1303406168,18,18,22107,48559537,1624260776,18,18,15044,30492286,939054405,18,18
Manufacturing,77070,405303131,9731608823,33,32,55292,251804230,9142822083,33,32,46794,284176779,8064385209,33,32,36936,108021582,2897460142,33,32,54433,263485442,4483816943,33,32,72741,801720382,6637553830,34,33,41019,174398841,3421695189,34,33,78599,396711657,6735512878,35,35,95433,805236986,8572377153,35,34,40157,174360096,3202432222,35,35,33889,223301804,3121420665,35,35,27906,97619341,1830684596,35,33
Motors,3435,2799755,1049698044,6,6,2525,1989902,1292097958,6,6,1387,606883,402095241,6,6,3335,1578137,796278501,6,6,4270,2267555,1212638440,6,6,1734,1549960,1560173291,6,6,1330,686614,276477559,6,6,7514,5449574,1882252572,6,6,7774,5648135,1977657370,6,6,2182,1474519,653206839,6,6,1288,1196597,282015340,6,6,594,582025,121129289,6,6
Oil Palms,1168,198299,163176586,5,5,4322,660513,760232023,5,5,1565,289106,345348311,5,5,1006,1294826,1553126243,5,5,770,3962049,4848353765,5,5,913,337872,357744210,5,5,714,254642,270805785,5,5,534,293081,318507010,5,5,346,193012,208894119,5,5,341,130544,138835053,5,5,357,308295,313996664,5,5,169,34189,36685202,5,5
Stores & Supplies,449,93700,61275684,4,4,1101,130488,369739582,4,4,2695,226127,724279374,4,4,3178,378090,333119812,4,4,1115,115398,125149839,4,4,2391,738682,960859622,4,4,1085,188979,186305510,4,4,920,95745,117974339,4,4,1017,147600,90845672,4,4,446,57940,52419357,4,4,647,74767,67679511,4,4,530,69094,56224838,4,4
Services,2080,8427932,55717844,7,4,917,2350894,28400295,7,7,707,2250393,21098169,7,5,2595,1922461,142146248,7,6,2093,2968644,107587776,7,7,1424,2493729,63821331,7,7,998,1051978,30004356,7,7,1358,1686680,76679915,7,6,6935,33879130,313994640,7,6,2427,12986591,120605167,7,6,942,3873649,41651126,7,7,632,1757389,22543695,7,6
Trading,9793,79552908,1034945337,8,7,7110,22292814,1088760242,8,8,4784,16801087,767231078,8,7,6970,23978685,1397985279,8,7,16550,68462578,2689288770,8,8,10898,72752123,1585340897,8,7,5971,18924735,1344342429,8,8,9984,72964320,1033424806,8,7,32727,336407379,3118569252,8,7,15122,57125038,955815040,8,8,6838,32056060,524510892,8,7,6018,36908025,330911131,8,8
Plantation,38724,67715188,4111495059,18,18,26512,49001888,3092473505,18,18,12416,12488987,828180214,18,18,7879,10841908,390225685,18,18,14193,15545843,880683835,18,18,9944,14250937,648018979,18,18,7282,7385781,232890088,18,18,8373,9274522,288869292,18,18,6671,14311540,385575705,18,18,5591,7076254,151830780,18,18,4168,5519330,109390616,18,18,2748,2586210,42733652,18,18
Diversified,35395,202806997,8656771312,11,11,35665,177432959,9007372212,11,11,15921,79588109,5036166728,11,11,26880,181290886,4754082004,12,12,27823,118325075,4542701352,12,12,39420,392689067,7899807946,13,13,85828,449854259,10931228433,16,16,35183,195263910,5362608475,16,16,39142,378685367,11350781179,16,16,18857,120094538,3636438335,16,16,18509,100318033,5373304708,16,16,16871,73588144,3325097813,16,16
Power & Energy,105672,462108667,9599940381,7,7,38269,116522624,3728562682,7,7,21785,204665718,3039980500,7,7,11819,49793728,617686944,7,7,19424,115084668,1302211171,7,7,57936,1183518373,9702324481,7,7,16784,148962736,1121910996,7,7,27337,244594317,2391640246,7,7,15656,135481722,1370030441,7,7,21976,172306590,3785488256,7,7,10518,79443484,510837656,7,7,6062,42478290,290809677,7,7
Healthcare,6954,101213658,886293136,6,6,4317,61385275,350530384,6,6,10813,183790015,5272357489,6,6,2119,9278664,72349690,6,6,3211,38336135,352704825,6,6,4664,103260327,482081887,6,6,2012,9150349,52776115,6,6,23534,75656217,2533754751,6,6,11070,88120044,931505568,6,6,3648,12953332,165461970,6,6,3708,16851562,250279270,6,6,7074,17893387,525131715,6,6
Information Technology,26108,87994754,1853643381,2,2,15477,40413488,995867370,2,2,9161,28470596,536238483,2,2,10682,38224489,700602865,2,2,12037,100957700,627719281,2,2,26877,282544839,2336204653,2,2,8615,42566352,410042600,2,2,23041,136664479,2061028994,2,2,17946,131667966,1683408526,2,2,12165,86225951,836581437,2,2,8134,29892176,301565316,2,2,4589,15801413,177359788,2,2
Telecommunication,2813,27895557,447776276,2,2,3460,47809284,662138003,2,2,2001,18202882,238957504,2,2,1928,20001731,254371116,2,2,1997,25727739,274922861,2,2,1625,7180647,101438302,2,2,1608,24812717,232105825,2,2,1684,14361860,196390908,2,2,1337,14695721,136186109,2,2,1317,38974679,351895971,2,2,1203,51139333,417542172,2,2,1000,32092718,259790572,2,2
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
