Sector Domestic & Foreign Analysis - 2014,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,604976,26641,4468457141,426808335,85899932809,22213961625
BEV FOOD TOBACCO,81916,4609,387401352,43777982,8035138584,6931264081
CONSTRUCTION ENG,58133,2356,399067090,58687290,13347904970,1925181967
CHEMICALS PHARMS,41172,790,479604486,3785437,3116024870,150432795
DIVERSIFIED,235332,17751,3353125243,692543241,63343775303,46298615451
FOOTWEAR TEXTILE,42181,827,296315564,8319663,4508836304,142467801
HOTELS TRAVELS,117545,2674,463663372,27198012,5965647309,657028647
HEALTH CARE,26520,1124,164867461,22595272,2750628138,590216499
INVESTMENT TRUST,73165,3772,457133913,117093101,4794178739,584287362
IT,20684,362,366801662,16944983,526337485,193546625
LAND PROPERTY,79790,1840,400150938,18613899,4904426032,349370853
MANUFACTURING,269398,9279,1560707873,119840172,23043692005,7707670922
MOTORS,14930,641,14747321,2401252,2781724225,288873475
OIL PALMS,3372,288,1335049,560925,921858221,490772920
POWER & ENERGY,101033,5745,1017227416,144902651,13510380837,2221758886
PLANTATIONS,61470,1580,124849496,14099417,2245421692,233784099
STORES SUPPLIES,3988,148,370114,58435,152167593,16054964
SERVICES,10577,128,52410122,1377115,388170978,5592479
TELECOM,15907,1857,386217317,258863094,4928238730,3066404456
TRADING,35786,693,330495620,17051945,1593045469,60418270
