SCRIP DIVIDENDS 2025 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,,DFCC Bank  PLC,2025-03-03 00:00:00,75.2941203803,1,5746239,2025-03-19 00:00:00
2,,National Development Bank PLC,2025-03-12 00:00:00,44.2117671473,1,9415842,2025-03-24 00:00:00
3,,Nations Trust Bank PLC - Voting shares*,2025-03-06 00:00:00,69.7742558489,1,4038393,2025-03-24 00:00:00
,,Nations Trust Bank PLC - Non-Voting shares*,2025-03-06 00:00:00,110.8366952,1,398842,2025-03-24 00:00:00
4,,Commercial Bank of Ceylon - Voting Shares,2025-04-01 00:00:00,85.8823541245,1,17646951,2025-04-11 00:00:00
,,Commercial Bank of Ceylon - Non Voting Shares,2025-04-01 00:00:00,75.7352830371,1,1255507,2025-04-11 00:00:00
5,,Chemanex PLC,2025-07-01 00:00:00,35.2941176471,1,445041,2025-07-14 00:00:00
6,,Colombo Fort Investment PLC,2025-08-11 00:00:00,131.8346186161,1,66652,2025-08-21 00:00:00
7,,Colombo Investment Trust PLC,2025-08-11 00:00:00,136.0022997317,1,52180,2025-08-21 00:00:00
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
8,,People's Leasing & Finance PLC,2025-09-30 00:00:00,38.82352983,1,55491496,2025-10-10 00:00:00
9,,Galle Face Capital Partners PLC,2025-09-22 00:00:00,42.0540540541,1,687090,2025-10-02 00:00:00
