SCRIP DIVIDENDS 2021 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,,DFCC Bank PLC ,2021-02-25 00:00:00,21.06666655,1,14525186,2021-03-10 00:00:00
2,,Vallibel One PLC ,2021-03-03 00:00:00,20.75000007,1,52356291,2021-03-16 00:00:00
3,,Commercial Bank of Ceylon PLC (Voting),2021-03-30 00:00:00,43.8500004209,1,25071337,2021-04-09 00:00:00
,,Commercial Bank of Ceylon PLC (Non- Voting),2021-03-30 00:00:00,38.4000073443,1,1770070,2021-04-09 00:00:00
4,,Hatton National Bank PLC (Voting),2021-03-30 00:00:00,38.928571808,1,10540320,2021-04-12 00:00:00
,,Hatton National Bank PLC (Non-Voting),2021-03-30 00:00:00,30.0000005902,1,3388537,2021-04-12 00:00:00
5,,Seylan Bank PLC (Voting),2021-03-30 00:00:00,34.0000037083,1,7550499,2021-04-09 00:00:00
,,Seylan Bank PLC (Non-Voting),2021-03-30 00:00:00,27.0666689888,1,9617215,2021-04-09 00:00:00
6,,Serendib Land PLC ,2021-03-30 00:00:00,10,1.0807294,38906,2021-04-12 00:00:00
7,,Central Industries PLC ,2021-07-19 00:00:00,18.95833,1,1090826,2021-07-30 00:00:00
8,,Central Finance Company PLC ,2021-06-30 00:00:00,67.2500116,1,3329475,2021-07-13 00:00:00
9,,People's Leasing & Finance PLC,2021-08-05 00:00:00,17.333333496,1,98342466,2021-08-13 00:00:00
10,,Colombo Investment Trust PLC,2021-08-24 00:00:00,104.1670193171,1,65693,2021-09-09 00:00:00
11,,Fort Investments Trust PLC,2021-08-24 00:00:00,63.0835052676,1,109538,2021-09-09 00:00:00
12,,Amana Bank PLC,2021-10-04 00:00:00,29.0000002675,1,89705039,2021-10-15 00:00:00
13,,People's Leasing & Finance PLC,2022-01-04 00:00:00,21.4000002326,1,,
