New Listings 2016,,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,2015-11-20 00:00:00,People's Insurance Limited,50000000,50000000,200000000,15,750000000,2016-01-12 00:00:00,,,
2,2016-01-16 00:00:00,Orient Finance PLC,71500000,71500000,148018370,15,1072500000,2016-02-18 00:00:00,,,
3,2016-06-27 00:00:00,Amana Takaful Life Limited,50000000,50000000,500000000,1.5,75000000,2016-08-18 00:00:00,,,
,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,2016-12-27 00:00:00,Melstacorp Limited,1165397072,69,2016-12-30 00:00:00,,,,,,
,New Listings by Sector,,,,,,,,,,
,Equity,,,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,,,
,Bank Finance and Insurance,3,848018370,1897500000,,,,,,,
,Diversified Holdings,1,1165397072,80412397968,,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,2015-12-21 00:00:00,Sanasa Development Bank,40000000,A,15973900,Fixed 9.6,100,2016-01-11 00:00:00,4000000000,1597390000,4000000000
,,,,B,4026100,Fixed 10,100,2016-01-11 00:00:00,,402610000,
,,,,C,14380500,Fixed 9.9,100,2016-01-11 00:00:00,,1438050000,
,,,,D,5619500,Fixed 10.3,100,2016-01-11 00:00:00,,561950000,
2,2016-02-18 00:00:00,Commercial Bank of Ceylon PLC,70000000,A,44303400,Fixed 10.75,100,2016-03-17 00:00:00,7000000000,4430340000,6179430000
,,,,B,17490900,Fixed 11.25,100,2016-03-17 00:00:00,,1749090000,
3,2016-02-02 00:00:00,Singer (Sri Lanka) PLC,20000000,A,4605600,Fixed 10.5,100,2016-03-21 00:00:00,2000000000,460560000,2000000000
,,,,A,15394400,Floating,100,2016-03-21 00:00:00,,1539440000,
4,2016-02-29 00:00:00,DFCC Bank,70000000,B,53154500,10.625,100,2016-03-28 00:00:00,7000000000,5315450000,5315450000
5,2016-03-08 00:00:00,Hatton National Bank PLC,70000000,A,70000000,11.25,100,2016-04-04 00:00:00,7000000000,7000000000,7000000000
6,2016-03-28 00:00:00,Singer Finance (Lanka) PLC,15000000,A,4093000,11.5,100,2016-04-11 00:00:00,1500000000,409300000,1000000000
,,,,B,5907000,12,100,2016-04-11 00:00:00,,590700000,
7,2016-05-17 00:00:00,Hayleys PLC ,20000000,A,20000000,Floating,100,2016-06-07 00:00:00,2000000000,2000000000,2000000000
8,2016-06-07 00:00:00,Citizens Development Business Finance PLC,10000000,A,9983700,Fixed (12.75),100,2016-06-08 00:00:00,1000000000,998370000,1000000000
,,,,,16300,Floating,100,2016-06-08 00:00:00,,1630000,
9,2016-05-30 00:00:00,Sampath Bank PLC,60000000,A,59526500,Fixed (12.75),100,2016-06-17 00:00:00,6000000000,5952650000,5952650000
,,,,B,473500,Floating,100,2016-06-17 00:00:00,,47350000,47350000
10,2016-06-28 00:00:00,Seylan Bank PLC,50000000,A,32722800,Fixed (13.75),100,2016-07-25 00:00:00,5000000000,3272280000,5000000000
,,,,B,17103200,Fixed (13),100,2016-07-25 00:00:00,,1710320000,
,,,,C,174000,Floating,100,2016-07-25 00:00:00,,17400000,
11,2016-09-02 00:00:00,Siyapatha Finance PLC,25000000,A,14219900,Fixed (13%),100,2016-09-27 00:00:00,2500000000,1421990000,2500000000
,,,,B,10780100,Fixed (13.5%),100,2016-09-27 00:00:00,,1078010000,
12,2016-10-14 00:00:00,Commercial Bank of Ceylon PLC,70000000,A,50718000,Fixed (12%),100,2016-11-02 00:00:00,7000000000,5071800000,7000000000
,,,,B,19282000,Fixed (12.25%),100,2016-11-02 00:00:00,,1928200000,
13,2016-10-19 00:00:00,Hatton National Bank PLC,60000000,A,20000000,Fixed (11.75%),100,2016-11-07 00:00:00,6000000000,2000000000,6000000000
,,,,B,40000000,Fixed (13%),100,2016-11-07 00:00:00,,4000000000,
14,2016-10-31 00:00:00,Senkadagala Finance PLC,30000000,A,3972700,Fixed (12%),100,2016-11-17 00:00:00,3000000000,397270000,3000000000
,,,,B,100,Floating,100,2016-11-17 00:00:00,,10000,
,,,,C,1895100,Fixed (13.25%),100,2016-11-17 00:00:00,,189510000,
,,,,D,622700,Floating,100,2016-11-17 00:00:00,,62270000,
,,,,E,23509400,Fixed (13.75%),100,2016-11-17 00:00:00,,2350940000,
15,2016-10-26 00:00:00,Nations Trust Bank PLC,50000000,A,38858000,Fixed (12.65%),100,2016-11-17 00:00:00,5000000000,3885800000,5000000000
,,,,B,11117900,Fixed(12.8%),100,2016-11-17 00:00:00,,1111790000,
,,,,C,24100,Floating,100,2016-11-17 00:00:00,,2410000,
16,2016-10-24 00:00:00,DFCC Bank PLC,70000000,A,60431400,Fixed(12.15%),100,2016-11-18 00:00:00,7000000000,6043140000,
,,,,B,9568600,Fixed(12.75%),100,2016-11-18 00:00:00,,956860000,7000000000
17,2016-11-01 00:00:00,People's Leasing & Finance PLC ,80000000,A,5420400,Fixed(11.9%),100,2016-11-23 00:00:00,8000000000,542040000,8000000000
,,,,B,6593500,Fixed(12.25%),100,2016-11-23 00:00:00,,659350000,
,,,,C,67986100,Fixed(12.6%),100,2016-11-23 00:00:00,,6798610000,
,,,,,,,,,81000000000,77994880000,
,,De - Listings,,,,,,,,,
No. ,Date De-listed ,Company Name ,,,,,,,,,
1,2016-03-29 00:00:00,Finlays Colombo PLC,,,,,,,,,
2,2016-11-03 00:00:00,Equity One PLC,,,,,,,,,
