Sector Domestic & Foreign Analysis - 2005,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",205200,9525,761715775,88649986,20765526654,5382186179
"BEVERAGE, FOOD & TOBACCO",48060,3154,121828832,31390639,3996586524,1081741390
CONSTRUCTION & ENGINEERING,18409,932,33834110,4158932,943498820,117074294
CHEMICALS & PHARMACEUTICALS,8553,642,10676925,1485827,433768557,116407690
FOOTWEAR & TEXTILES,32768,991,80748259,6641975,2334263897,218526496
HOTELS & TRAVELS,73173,2243,282083129,15866048,6604340307,576065671
INVESTMENT TRUSTS,18079,632,11709782,659674,680041202,47584973
LAND & PROPERTY,130761,2289,316472232,12387842,6453468767,511114945
MANUFACTURING,197942,9693,1006529687,130307285,13047693786,1817211941
MOTORS,9261,360,8934228,822419,977510420,60429105
OIL PALMS,2755,94,370463,16512,240026128,15438808
STORES & SUPPLIES,8772,313,33348935,1562247,202365391,33101076
SERVICES,1924,20,797178,10751,111904610,1540650
TRADING,40600,648,346009393,8160058,1527749010,116806401
PLANTATIONS,32195,1375,58403417,5964150,969425049,123290187
DIVERSIFIED HOLDINGS,43284,4620,102253652,39823028,12336765867,5795511592
POWER & ENERGY,44646,5741,99905384,34282850,4744826844,1649954512
HEALTH CARE,55030,2098,569833117,62945829,4757021379,480322331
INFORMATION TECHNOLOGY,2370,3,3325928,2500,53116150,34375
TELECOMMUNICATION,65295,16541,465959437,369928254,8916835119,6494513940
