Right Issues 1998,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed
,,Offered,(Rs.),by the Public
1) Tangerine Beach Hotel,1 for 4,1250000,20,1250000
2) Lake House Investments,1 for 4,354842,10,"35,032 [319,810 by underwriters]"
3) Colombo Fort Investment,1 for 2,1500000,10,50000
4) Colombo Investment Trust,1 for 2,1500000,10,100000
5) Richard Pieris,1 for 6,2488872,90,2488872
6) Seylan Merchant Bank,2 for 1,30000000,10,18377340
7) Kuruwita Textiles,1 for 1,5000000,29,"2,755,688 [2,244,312 by underwriters]"
8) Riverina Hotels,1 for 4,2025957,16,2025957
9) James Finlay,4 for 3,20000000,60,"15,043,765 [4,956,235 by underwriters]"
Value (Rs),,,,
Issues (No.),,,,
Right Issues 1998 by Sector,,,,
Sector,No of Issues,No of Shares,Value (Rs.),
"1) Banks, Finance & Insurance",1,18377340,183773400,
2) Footwear & Textiles,1,5000000,145000000,
3)  Hotels & Travels,2,3275957,57415312,
4) Investment Trust,2,150000,1500000,
5) Manufacturing,1,2488872,223998480,
6) Trading,2,20354842,1203548420,
Total,9,49647011,1815235612,
