Sector Domestic & Foreign Analysis - 2020 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,25932,353,40621064,586283,3197259726,48893233
Banks,415539,33215,1059704558,247916901,64442663202,19481306765
Capital Goods,495565,17188,1778396192,348079979,71446038898,38770626847
Commercial & Professional Services,2290,3,586463,17550,24893717,468465
Consumer Durables & Apparel,134765,2116,595670846,26881187,10283307001,741324130
Consumer Services,118297,1278,632330788,6230909,3945626471,57292208
Diversified Financials,287470,6206,1427279673,55532416,17566583929,1996138757
Energy,40447,603,110497772,1673341,2207540359,28719671
Food & Staples Retailing,11102,235,281543801,4388394,1087882324,621330202
"Food, Beverage & Tobacco",466866,14117,6671765367,137707689,44418797437,7725430998
Health Care Equipment & Services,45906,791,315583881,6537922,2568722537,79006569
Household & Personal Products,13279,204,42969345,790453,554072633,10212011
Insurance,52949,1277,180023289,89155030,3363247444,3217535589
Materials,415882,12708,2577571264,165529242,46975390982,2922086902
Real Estate,77727,2241,217292586,32758791,3922884799,403245851
Retailing,89317,1013,442376134,7142006,4473459763,106443761
Telecommunication Services,31834,5172,247535590,131414789,2886545663,1461445592
Transportation,151694,2090,1969130609,225962612,27869675253,750556624
Utilities,90966,1384,1215811726,53732221,6956980137,267877601
