Sector Market Capitalisation - Monthly 2007,,,,,,,,,,,,
SECTOR,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",138033423881.5,142266870831.75,133479448663,137354117890.25,121655801777,130848715668,128398280457.25,132977430724.25,131795372991.25,139547857365.25,138890487278.75,142158403207.5
"BEVERAGE, FOOD & TOBACCO",83684029315.75,84045955302.5,75330117593,77830405319,69128676793.25,71433127315,68357663993.25,72137153545,77213337412.5,76828884602.5,74975299577,76608975589
CHEMICALS & PHARMACEUTICALS,8222751188.5,7878317637,7036621225.5,6522453289.75,2738390239.5,5767946991.5,5532814293,5573362885.75,3190342839.75,6327943825.25,6106998960,6160135377
CONSTRUCTION & ENGINEERING,3046531541.75,2994718455.25,3052755445,3108017864.25,5550715616.75,2953289805,2885900136.5,3100229268,5961799656.25,3293820289.5,3983429235.25,3944692629
DIVERSIFIED HOLDINGS,184196329181.75,174205533977,173651786570,170132154552.5,150475461783.25,157296571080,144587096209.5,150460246794.25,148064053804.25,150448400093.5,150527554835,151288280761.25
FOOTWEAR & TEXTILES,4972886888.5,4948338036.75,4681263052,4471200681.5,3611519880,3958465369.5,3965347600.5,4450365427.25,4552693164.25,5088703075.75,5210984785,5190850640.25
HEALTH CARE,16635226408.25,18620764330,16621126395.6,16511621189.8,14056805212.1,14640248546.9,14811623628.3,18947646479.6,51217452003.25,20141743102,18434493091.95,18891279348.4
HOTELS & TRAVELS,51691379314.75,50794628319,46723709923,46072517790.25,40724123332.75,45839598720.5,42896695423,46291849789.25,18561068087.3,49164465507,49659725155.25,50525862674.25
INVESTMENT TRUSTS,7658604811.75,7465250838.25,6756148625.5,6945922081.25,5516537375.75,6555241833,5991368578,5995072890.25,5392173948.25,5508998047.25,5690610486.75,5710350054.5
INFORMATION TECHNOLOGY,279157520,266072011.25,226815485,239900993.75,222453648.75,222453648.75,226815485,287881192.5,279157520,484163823.75,335861391.25,279157520
LAND & PROPERTY,19429079710.5,19721554453.5,17614331593.5,17276818589,14438147208.5,15990848542.5,16098029431.5,16933956678.5,16554726890.5,17866750120.5,16787932856,16903980463
MANUFACTURING,46313942962.45,49127640264.05,44719594649.35,45801496178.05,40543357877.6,42343626861.5,40663280548.55,40511084498.9,40441384031.1,39828586043.85,38302818428.95,38510961871.6
MOTORS,15614257031.75,15883755678.5,14563939787.5,14999122132,13121054589.5,12841204781,13273649204.75,12503622709.5,12727234553,12748519206.75,12535289321.5,11855020174.75
OIL PALMS,21233234433,21081798485,23699371480,23726082460,18923402406.75,18517983476.75,17898160957,17422170705,18197039795,18726628055,21324446060,21120344860
PLANTATIONS,13427324656.75,13113499865.75,12560196127.25,12225765957.25,11496590907.75,12912955904.5,12692618989.25,13436917502,14981142834.95,13354820759,17823677542,21563875124
POWER & ENERGY,19149134387.9,19564928696.15,18017562044.55,17343701223.55,15714350174.45,15056886232.95,14425050035.6,15231935923.3,13055891666,14357505077.35,13348694511.15,13599487599.5
SERVICES,1799554675,1811290925,1690748141.25,1790723525,1542910926.25,1570389505.25,1424588260.25,1488703934,5125942219,1526725828,1588284474,1994814678.75
STORES & SUPPLIES,5273809488,5441072613,4932453665.5,5068088353,5039418467.75,4438280945,3955026480,5068921120,1520108279,5760906346,5752227773.5,5497308663.5
TELECOMMUNICATION,260401551379.25,280301010107.5,255567410281.5,268477422651,262461586321.25,257256182517.5,241210664511.25,243917954511.25,247318498315,253195247517.5,234651615707.5,219728658100
TRADING,8903333875.25,8905534623.25,8335193241.5,8750245057.5,7366204418,8029712409.5,7819730609,7882365207.25,8197404944.5,9166604468,9389185344.25,9119089195
ASPI,909965542652.35,928438535450.45,869260593989.5,884647777778.65,804327508956.9,828473730154.6,787114404831.45,814618871785.8,824346824955.1,843367273153.7,825319616815.05,820651528531.25
MPI,585979784727.25,607455885222.25,556813144309.1,570092122673.55,537866884897.6,543125649880.15,520838040900.55,535609750794.6,536724679723.3,547661930834.5,523558499071.45,510994697912.15
