Sector Trading Statistics Monthly 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",13941,68950124,2085426813,63,56,14881,82472192,2134824906,63,57,19877,119785484,3554291350,63,56,23730,220862929,9003367372,62,57,27075,170329539,6416710885,62,57,24808,242397063,4456649864,70,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24446,157394560,2730329654,70,57,18267,279334857,4705420988,70,57,17816,209540098,4487891414,70,57,34515,282930137,12097715527,70,57,20645,129114150,6703415528,70,57,14138,132089915,3885043106,70,56
"Beverage, Food & Tobacco",2466,6153082,858139324,21,19,2577,38667054,2733364384,21,20,3324,8399198,802770536,21,20,6094,10398632,1963003953,21,20,5398,11074390,978946411,21,20,4142,11553152,2531185057,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4552,20423917,1149798354,23,20,3171,9929052,599605117,23,20,3771,18417704,1442545065,23,20,7511,22357888,1918619895,23,20,4244,11807189,1951615803,23,20,2028,7721054,1283116272,23,19
Construction & Engineering,1642,9368812,234844624,4,4,1501,9813373,252113435,4,4,2229,16071032,428293475,4,4,2051,9280943,249945145,4,4,3575,14878924,381940120,4,4,2001,11212749,300617278,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2972,24373734,667231328,4,4,3260,19486022,353937823,4,4,9482,40917497,476306171,4,4,7186,29368404,474895833,4,4,4636,18321093,330049036,4,4,5070,27739845,291915632,4,4
Chemicals & Pharmaceuticals,388,332857,15103527,10,9,325,870122,23300465,10,9,643,7667018,43078387,10,10,876,6268142,55504477,10,10,1111,7196965,22718303,10,10,897,2976076,21832062,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,3106058,22402495,12,10,700,6924381,17342394,12,10,1036,4549658,156984218,12,10,1032,9543705,45911285,12,10,574,1922920,24254551,12,10,637,3056846,14428924,12,10
Diversified,8227,130789639,5912667992,19,19,6603,191759526,5159164692,19,19,8259,225929705,8654160166,19,19,11336,528940518,11173993419,19,19,12443,205224172,4484774323,19,19,16481,296613660,8202374458,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16010,280407715,5213847257,19,19,11309,332887997,5506336743,19,19,9351,86760226,4609043799,19,19,9022,78712629,3953277671,19,19,7762,84642247,4454920982,19,19,5263,57098234,3229268251,19,19
Footwear & Textiles,2138,5026220,83068502,3,3,545,598168,10529403,3,3,807,1445393,25423379,3,3,2824,7164377,119168710,3,3,2123,4405243,80699083,3,3,978,1626693,27865456,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,7537831,130895187,3,3,718,1140122,18339298,3,3,616,1266459,22165065,3,3,830,3498232,56619593,3,2,419,478706,7461661,3,2,425,683637,9853756,3,2
Hotels & Travels,2884,18396968,86818001,37,35,3195,15917849,90543749,37,35,5180,46352174,881934454,37,35,6036,53764935,409230930,37,35,6110,18076854,117645657,37,35,11429,41627369,212775493,38,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5464,25564141,128002763,38,35,4173,14676781,55433685,38,34,5041,21672071,85438802,38,34,5086,19067312,85124033,38,34,4488,51661766,348778392,39,35,2874,6732167,67976407,39,35
Healthcare,672,34100080,903324387,6,6,752,1978077,31535898,6,6,961,1964186,33943405,6,6,732,1492323,27279064,6,6,1007,9726718,67015453,6,6,734,6556941,229939034,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,2229350,35591875,7,6,588,4699180,59889272,7,6,813,2715932,63681088,7,6,1042,3922383,31981775,7,6,695,19726640,213121331,7,6,459,11845083,142387186,7,6
Investment Trusts,688,680220,17927231,9,9,911,965111,21365016,9,9,1534,7073458,171024206,9,9,2792,7969788,203960530,9,9,1917,3776443,81936655,9,9,2011,3505243,103575917,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390,11348444,256630210,10,9,1222,3675760,97955715,10,9,1419,2430105,64958681,10,9,2875,10455854,391689625,10,9,1040,1754642,47852523,10,9,883,1528614,30022956,10,9
Information Technology,115,324280,2276952,2,1,100,156052,1065212,2,1,361,4543297,1636436,2,2,495,3530897,5452256,2,2,479,3842807,2287729,2,2,419,10088427,2485154,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,4654809,5193866,2,2,319,7889758,2492007,2,2,1535,10939540,26872134,2,2,898,3246817,14350116,2,2,383,779629,2613429,2,2,121,277750,1572557,2,2
Land & Property,2084,320821358,136706673,18,17,1257,1622832,28959087,18,17,2336,3382320,57535056,18,17,3046,3145380,68917120,18,17,3498,9555726,114961524,19,18,3629,12160445,179005359,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,6314172,97641585,19,18,2372,10020576,118202322,19,18,2949,9765114,250619613,19,18,5073,100631249,1256437431,19,18,2040,5861315,72344474,19,18,1173,5765836,50956674,19,17
