Sector Trading Statistics Monthly 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,234,269002,16679526,1,1,259,123502,7909814,1,1,529,413421,28469334,1,1,506,444285,32024744,1,1,560,349929,25954092,1,1,683,734541,57822898,1,1,469,225934,17177064,1,1,1296,2672381,207281247,1,1,605,453579,32725078,1,1,468,307950,22861421,1,1,665,807204,60483675,1,1,1522,1339235,107912320,1,1
Banks,16535,58984257,2188449836,17,13,16985,58896685,3876127237,17,13,26389,146625442,6905302644,17,13,48516,232674481,13254756163,17,13,30788,139235712,6785835170,17,13,22844,116957036,9863065001,17,13,22859,69310469,4086690257,17,13,22714,56298976,3115432446,17,13,43426,133171187,11614817303,17,13,56812,246377716,20029074878,17,13,55465,357173012,29374128072,17,13,90901,345407190,31946436829,17,13
Capital Goods,16287,30098781,2332044007,31,27,22196,130420335,16369989495,31,27,41461,107508883,5929943662,31,27,48236,163137083,9193213981,31,28,44552,133934630,9389602314,31,28,28910,101201693,8737446176,31,28,29152,88673401,7711513630,31,28,28353,70954312,3973027797,32,29,41906,194566835,7367497822,32,29,54767,179900384,11855262325,31,29,63344,565569693,13798311888,31,29,118865,763261153,26177288201,31,29
Commercial & Professional Services,857,635560,4641715,7,7,1223,3062152,16221021,7,7,1525,2021860,16388165,7,7,1954,3119681,23559106,7,7,1569,2884751,25717058,7,7,1100,844762,17976891,7,7,966,1168600,15027249,7,7,721,487014,10115615,7,7,875,1767938,11576882,7,7,1310,2420583,31235859,7,7,3332,2888823,91474885,7,7,5532,11353627,96022793,7,7
Consumer Durables & Apparel,4748,19892591,365630330,14,12,5251,56152156,612991759,14,10,10869,101471939,1591202263,12,10,15673,404630454,3380933417,12,10,13511,159316364,2400862263,12,10,9182,146732868,2357076285,12,10,5354,30063574,541094070,12,10,5021,27874940,910811946,12,10,6753,39105306,713828477,12,10,12549,118229648,1632024020,12,10,11106,73107048,1484506953,12,10,23030,155220781,3829037712,12,10
Consumer Services,12925,57379464,550249837,37,35,10561,39247570,428505280,37,35,19530,92846702,909056859,37,35,31952,285109958,2795244188,37,35,21026,127505957,1019460837,37,35,12270,78072880,681573119,37,35,11365,39340283,474875701,37,35,9994,40768135,443040900,37,35,18708,102245253,824157200,37,35,26059,354403270,1825125326,37,35,43630,524706818,3624147388,37,35,68193,706706365,5719239488,37,35
Diversified Financials,32399,106109020,1615780194,45,36,29748,183217928,3273709701,45,36,56010,1081364094,8675236112,45,36,82545,548063605,7548174523,45,37,48479,511421849,4187784094,45,37,28105,178619021,2770993766,45,37,26750,206937340,1501453245,45,37,21826,91995801,1152856881,45,37,31530,261189985,2204421113,44,37,42734,322274549,5068790747,44,37,40895,259206373,7252397560,44,37,115742,1507156153,17214507202,44,37
Energy,2737,6912504,597636757,3,2,2228,3714593,368740383,3,2,4495,8816971,974996822,3,2,5784,14397528,1799976906,3,2,2976,7540022,954014484,3,2,2410,2532847,281607568,3,2,2301,1818956,205728161,3,2,2000,1331780,137163488,3,2,3701,3788168,388267352,3,2,3964,8084171,875196141,3,2,3363,4777211,519551562,3,2,8392,15655353,1813324009,3,2
Food & Staples Retailing,666,10318847,26404354,4,3,577,3175854,110372506,4,3,595,6865684,35780525,4,3,788,6127245,36990918,4,3,1507,23112291,70987350,4,3,471,1771535,17788971,4,3,560,5053055,19266185,4,3,451,15075738,32984638,4,3,574,8264906,32035106,4,3,903,5373137,62244101,4,3,872,7742955,133241744,4,3,1582,18463767,68973322,4,3
"Food, Beverage & Tobacco",24422,119619841,2271761828,48,45,28556,129203856,3000340024,48,45,51749,352542675,5046616777,48,45,52518,436550213,6707537387,48,45,48700,416923659,5292850853,48,45,29549,167860885,3350760566,48,45,27041,122570155,2231579028,49,46,26776,170944136,2894680581,49,46,35467,218487629,3368059344,49,46,64563,314177113,6822728529,49,46,68151,399976115,7984252019,49,46,126585,1066276678,18660038329,49,46
Health Care Equipment & Services,1336,1497093,23049641,9,7,2541,5225557,46303264,9,8,3043,6319980,77131809,9,8,2509,5686971,70808030,9,8,2557,7985803,69279769,9,8,2517,5133990,63806171,9,8,1467,3214429,36930348,9,8,1439,3699321,27282055,9,8,3279,7062277,164073504,9,8,3599,6508162,70652236,9,8,2514,5050248,46867020,9,8,5672,98838064,519613166,9,8
Household & Personal Products,82,575039,11533175,2,2,194,1174023,23884035,2,2,92,272213,5749669,2,2,207,251434,5293420,2,2,258,809907,16513422,2,2,118,197195,3784713,2,2,176,817961,15312304,2,2,95,29906,949060,2,2,211,2297209,37591487,2,2,172,485675,248106065,2,2,173,573584,10893066,2,2,934,10026761,235404751,2,2
Insurance,12253,51633366,1535152705,13,12,8212,34701286,549506848,13,12,20723,85208930,1368567207,13,12,17515,79600992,1090564767,13,12,16424,87989820,1149292569,13,12,10819,49009159,749057258,13,12,7399,15676884,448815672,13,12,5253,15478616,259763399,13,12,8362,52305266,456344349,13,12,11708,48953736,851724404,13,12,12749,70434537,877354696,13,12,27591,202090335,4099518790,13,12
Materials,12613,60447989,881626509,23,20,15760,57008999,1109449199,23,20,29294,103955882,2418263531,23,20,29832,150377988,4020522018,23,20,30576,152230869,3406912296,23,20,23634,86705612,2375445711,23,20,17387,62449233,1211428206,23,20,14155,44437462,830830356,23,20,21672,86378725,2038878186,23,20,27066,139799484,4153168506,23,20,31863,150509249,4173027864,23,20,83237,826204134,13481622846,23,20
Real Estate Management & Development,3245,7024012,62507551,19,18,3066,6790373,62893757,19,18,5925,20254343,201611920,19,18,7363,24164329,260957668,19,18,7983,38466034,422949372,19,18,4496,16162187,189933662,19,18,3488,171007189,3015428985,19,18,2956,11512522,125337633,19,18,3608,62097026,649634552,19,18,4789,19074558,198300992,19,18,7051,58132089,774539723,19,18,17677,104374930,1722564826,19,18
Retailing,2587,7947986,89593629,14,14,3204,12001911,120706569,14,14,6318,31457139,355981635,14,14,8123,48040362,668225390,14,14,7986,46971679,592370003,14,14,4325,14899279,191108713,14,14,3494,9313742,107311089,14,14,3851,10431795,101481588,14,14,4742,21185069,515492895,14,14,7334,36140138,471936956,14,14,12605,102020351,1435933968,14,14,27295,147455519,2553755950,14,14
Software & Services,475,1056998,12161745,1,1,583,831585,9253724,1,1,1446,5260041,56912928,1,1,1590,3825374,44726642,1,1,1511,3632259,42817496,1,1,1853,7184149,91728826,1,1,1136,2151881,27533958,1,1,1027,1368239,16085533,1,1,1704,6833502,73461911,1,1,1615,6080884,69851865,1,1,1137,2440216,27813541,1,1,2377,8130974,99466681,1,1
Telecommunication Services,3971,52016026,560164706,2,2,4728,79439723,927813063,2,2,4612,18671023,356646162,2,2,4568,36432576,511964905,2,2,5225,75404671,925370436,2,2,5050,29607302,349257527,2,2,6266,22526551,299994225,2,2,4162,32789401,320522898,2,2,7809,59371184,596853665,2,2,8716,127092064,1446816903,2,2,4485,19480972,256430847,2,2,7532,87982932,1079978638,2,2
Transportation,4408,4645470,623718091,3,3,5862,10767679,1477868601,3,3,933,1223562,152349409,3,3,318,105967,1704230,3,2,171,89794,990673,3,2,201,175862,1752439,3,2,145,133247,1444926,3,2,164,121145,1188465,3,2,145,49425,718225,2,2,6240,22684342,980436458,3,3,3390,8883675,450700763,3,3,9745,25630747,1623676935,3,3
Utilities,1974,30474933,533479011,10,8,5698,48391612,439281858,10,8,7871,43946383,376174379,10,8,6319,27112180,279510339,10,8,6476,82768383,291269151,10,8,4963,52939842,746921305,10,8,5881,85485124,1241683893,10,8,4949,28716882,215448045,10,8,6795,42133675,325972252,10,8,12373,132849166,1179751777,10,8,9609,68252180,628885288,10,8,16046,253586574,1970831606,10,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
