"Market Capitalization of Listed Companies as at December 31, 2015",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
SING,STANDARD CAPITAL,77.7,5540828,430522335.6
MFL,MULTI FINANCE,19.1,22462039,429024944.9
CTBL,CEYLON TEA BRKRS,3.7,114000000,421800000
BALA,BALANGODA,17.6,23636363,415999988.8
OGL,ORIENT GARMENTS,7.3,54916656,400891588.8
MULL,MULLERS,1.4,283000000,396200000
GEST,GESTETNER,138,2657812,366778056
IDL,SERENDIB ENG.GRP,11.2,32383250,362692400
ASCO,ASCOT HOLDINGS,29,11978257,347369453
LITE,LAXAPANA,8.9,39000000,347100000
ACME,ACME,8.2,41161913,337527686.6
HUNA,HUNAS FALLS,58.5,5625000,329062500
LDEV,LANKEM DEV.,5.4,60000000,324000000
LPRT,LAKE HOUSE PRIN.,110,2937245,323096950
TWOD,TOUCHWOOD,2.6,106905600,277954560
MSL,MERC. SHIPPING,96,2844990,273119040
BLUE,BLUE DIAMONDS,1.2,206601782,247922138.4
ASPH,INDUSTRIAL ASPH.,330.9,666562,220565365.8
OFEQ,OFFICE EQUIPMENT,2328.7,83356,194111117.2
CHOU,CITY HOUSING,14.4,13379850,192669840
YORK,YORK ARCADE,14.6,12000000,175200000
MIRA,MIRAMAR,61.9,2750000,170225000
KZOO,KALAMAZOO,2600.1,50000,130005000
CPRT,CEYLON PRINTERS,1965.7,60017,117975416.9
HUEJ,HUEJAY,58.8,1800000,105840000
PCH,PC HOUSE,0.3,343400001,103020000.3
PARA,PARAGON,975.1,100028,97537302.8
RGEM,RADIANT GEMS,39.7,2400000,95280000
CIFL,CIFL,0.7,83426733,58398713.1
VANI,VANIK INCORP LTD,0.8,65481650,52385320
PCP,PC PHARMA,0.5,101000020,50500010
