New Listing 1992,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Aitken Spence Hotels,19283860,50,8543300,10740560,1992-06-08 00:00:00
2) Blue Diamonds,10800000,12,10800000,Nil,1992-03-31 00:00:00
3) Bogala Graphite,11184400,10,11184400,Nil,1992-05-08 00:00:00
4) Compak Morison Lanka Ltd,1050000,10,1050000,Nil,1992-05-08 00:00:00
5) Commercial Leasing Ltd,11000004,60,11000004,Nil,1992-10-19 00:00:00
6) Distilleries Co of Sri Lanka,495000000,11,495000000,Nil,1992-08-10 00:00:00
7) Hayleys Exports Ltd,2812500,45,2812500,Nil,1992-03-17 00:00:00
8) Heyleys Photoprint,2062500,55,2062500,Nil,1992-05-21 00:00:00
9) James Finlay,16250000,65,16250000,Nil,1992-01-11 00:00:00
10) Kuruwita Textiles,6250000,50,6250000,Nil,1992-09-28 00:00:00
11) Renuka City Hotels,4000000,40,4000000,Nil,1992-10-19 00:00:00
12) Soy Foods,2812500,50,2812500,Nil,1992-05-13 00:00:00
Value (Rs.),1267406790,,,,
Issues (No.),15,,,,
New Listing 1992 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,11000004,110000040,,
"2) Beverage, Food & Tobacco",2,497812500,523125000,,
3) Footwear & Textiles,1,6250000,62500000,,
4) Hotels & Travel,4,23283860,129562750,,
5) Manufacturing ,3,24796900,230344000,,
6) Trading,3,19362500,191250000,,
7) Services,1,2812500,20625000,,
Total,15,585318264,1267406790,,
