Bonus Issues 1995,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) Richard Pieris,1 for 4,Data n.a. ,5250000
2) Indo Malay,1 for 1,Data n.a. ,40500000
3)  Good Hope,1 for 1,Data n.a. ,44182800
4) Selinsing,1 for 3,Data n.a. ,2677500
5) Ceylon Brewery,3 for 20,Data n.a. ,4562630
6) John Keells,3 for 7,Data n.a. ,11400000
7) Mercantile Leasing ,1 for 4,Data n.a. ,1000000
8) Singer Industries,1 for 3,Data n.a. ,9615750
9) DFCC,1 for 3,Data n.a. ,75555560
10) Seylan Bank,1 for 1,Data n.a. ,36000000
11) East West Properties,5 for 1,Data n.a. ,144000000
12) Dimo,1 for 3,Data n.a. ,12000000
13) Dipped Products,1 for 5,Data n.a. ,13200000
14) Haycarb,1 for 5,Data n.a. ,23100000
15) Heyleys,1 for 9,Data n.a. ,20000000
16) Blue Diamonds,3 for 40,Data n.a. ,35640000
17) Kelani Tyres,1 for 5,Data n.a. ,67000000
Value (Rs.),554684240,,
Issues (No.),17,,
Bonus Issues - by Sector 1995,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",3,12155556,
"Beverage, Fod & Tobacco",1,456263,
Chemical & Pharmaceuticals,1,2310000,
Land & Property,1,14400000,
Manufacturing,5,13070757,
Motors,1,1200000,
Oil Palms,3,8736030,
Services,1,1140000,
Trading,1,2000000,
Total,17,55468424,
