Dividend Record 1991,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
CFIN,Nt0000,CENTRAL FINANCE,1991-08-30 00:00:00,1991-09-20 00:00:00,13,3RD & FINAL (TAX FREE),230,230
ABAN,Nt0000,ABANS,1991-09-06 00:00:00,1991-09-28 00:00:00,40,1ST & FINAL (TAX FREE),90,90
ACME,Nt0000,ACME,1991-09-09 00:00:00,1991-09-30 00:00:00,20,1ST & FINAL (TAX FREE),75,74.75
AHUN,Nt0000,A.SPEN.HOT.HOLD.,1991-09-17 00:00:00,1991-10-08 00:00:00,5,INTERIM,92,85
ASIR,Nt0000,ASIRI,1991-09-25 00:00:00,1991-10-15 00:00:00,5,1ST & FINAL,20,21
CHOU,Nt0000,CEYLINCO HOUSING,1991-09-25 00:00:00,1991-10-15 00:00:00,8,1ST & FINAL (TAX FREE),16,16
UML,Nt0000,UNITED MOTORS,1991-09-25 00:00:00,1991-10-15 00:00:00,9,FINAL,41,40
COLO,Nt0000,COLONIAL MTR 5/-,1991-09-27 00:00:00,1991-10-18 00:00:00,20,1ST & FINAL,188,207
CLND,Nt0000,COLOMBO LAND,1991-09-20 00:00:00,1991-10-21 00:00:00,20,1ST & FINAL,38,40
GLAX,Nt0000,GLAXO,1991-09-30 00:00:00,1991-10-21 00:00:00,12.5,1ST & FINAL,60,60
LMF,Nt0000,LMF,1991-10-01 00:00:00,1991-10-21 00:00:00,10,INTERIM,32,31
CFI,Nt0000,CFI,1991-10-02 00:00:00,1991-10-23 00:00:00,7.5,1ST & FINAL,21,23.75
CIT,Nt0000,CIT,1991-10-02 00:00:00,1991-10-23 00:00:00,7.5,1ST & FINAL,22,21
BUKI,Nt0000,BUKIT DARAH,1991-10-03 00:00:00,1991-10-24 00:00:00,15.17,FINAL (5.17% TAX FREE),478,520
GOOD,Nt0000,GOOD HOPE,1991-10-03 00:00:00,1991-10-24 00:00:00,29.98,FINAL (23.66% TAX FREE),535,400
EAST,Nt0000,EAST WEST,1991-10-04 00:00:00,1991-10-25 00:00:00,30,1ST & FINAL,34,34
EMER,Nt0000,EASTERN MERCHANT,1991-10-04 00:00:00,1991-10-25 00:00:00,30,1ST & FINAL,15,15.25
MORI,Nt0000,MORISONS,1991-10-04 00:00:00,1991-10-25 00:00:00,25,1ST & FINAL,250,240
BATA,Nt0000,BATA,1991-10-08 00:00:00,1991-10-29 00:00:00,7.5,INTERIM,48,48.75
ASPH,Nt0000,INDUSTRIAL ASPH.,1991-10-08 00:00:00,1991-10-29 00:00:00,7.5,INTERIM,52,48
MLL,Nt0000,MLL,1991-10-08 00:00:00,1991-10-29 00:00:00,15,1ST & FINAL,30,30
CARS,Nt0000,CARSONS,1991-10-09 00:00:00,1991-10-30 00:00:00,17,1ST & FINAL (TAX FREE),400,400
CABO,Nt0000,CARGO BOAT,1991-10-10 00:00:00,1991-10-31 00:00:00,25,1ST & FINAL (TAX FREE),200,330
MILL,Nt0000,MILLERS 8/-,1991-10-10 00:00:00,1991-10-31 00:00:00,35,2ND & FINAL,362.5,362.5
ONAL,Nt0000,ON'ALLY,1991-10-10 00:00:00,1991-10-31 00:00:00,5,FINAL (TAX FREE),17,17.5
RICH,Nt0000,RICHARD PIERIS,1991-10-10 00:00:00,1991-10-31 00:00:00,30,1ST & FINAL,355,355
SING,Nt0000,SINGALANKA,1991-10-21 00:00:00,1991-11-07 00:00:00,10,INTERIM,77,77.5
INDO,Nt0000,INDO MALAY,1991-10-18 00:00:00,1991-11-08 00:00:00,24.69,FINAL (TAX FREE),525,525
PDL,Nt0000,PDL,1991-10-02 00:00:00,1991-11-08 00:00:00,9,2ND & FINAL (TAX FREE),18,17.5
SHAL,Nt0000,SHALIMAR,1991-10-18 00:00:00,1991-11-08 00:00:00,36.14,FINAL (TAX FREE),575,575
TRAN,Nt0000,TRANS ASIA,1991-10-25 00:00:00,1991-11-18 00:00:00,2.5,INTERIM,38,38
HARI,Nt0000,HARISCHANDRA,1991-10-30 00:00:00,1991-11-19 00:00:00,10,1ST & FINAL,159,160
LCEY,Nt0000,LANKEM CEYLON,1991-10-30 00:00:00,1991-11-20 00:00:00,15,1ST & FINAL,62,65
LDEV,Nt0000,LANKEM DEV.,1991-10-30 00:00:00,1991-11-20 00:00:00,15,1ST & FINAL,54,54
NEH,Nt0000,NUWARA ELIYA,1991-10-31 00:00:00,1991-11-20 00:00:00,35,1ST & FINAL,650,1500
CPRT,Nt0000,CEYLON PRINTERS,1991-11-12 00:00:00,1991-12-02 00:00:00,20,1ST & FINAL,150.5,150
KZOO,Nt0000,KALAMAZOO,1991-11-12 00:00:00,1991-12-02 00:00:00,30,1ST & FINAL,125,125
OFEQ,Nt0000,OFFICE EQUIPMENT,1991-11-12 00:00:00,1991-12-02 00:00:00,12,1ST & FINAL,65,125
PARA,Nt0000,PARAGON,1991-11-12 00:00:00,1991-12-02 00:00:00,18,1ST & FINAL,75,78.25
LPRT,Nt0000,LAKE HOUSE PRIN.,1991-11-06 00:00:00,1991-12-04 00:00:00,5,FINAL,28,26
CFLB,Nt0000,FORT LAND 3/-,1991-11-18 00:00:00,1991-12-09 00:00:00,8,FINAL,25,27
COXY,Nt0000,CEYLON OXYGEN,1991-10-30 00:00:00,1991-12-10 00:00:00,20,1ST & FINAL,96,96.25
CTLD,Nt0000,C T LAND,1991-11-20 00:00:00,1991-12-12 00:00:00,5,INTERIM   (TAX FREE),18.5,18.5
KREA,Nt0000,KOREA CEYLON,1991-11-20 00:00:00,1991-12-12 00:00:00,10,INTERIM (TAX FREE),150.25,165.5
CTEA,Nt0000,TEA SERVICES,1991-11-20 00:00:00,1991-12-12 00:00:00,20,1ST & FINAL,150,200
SLND,Nt0000,SEREND LND 100/-,1991-07-25 00:00:00,1991-12-15 00:00:00,10,1st & Final [Tax Free],126.25,126
SIDL,Nt0000,SIEDLES,1991-11-26 00:00:00,1991-12-16 00:00:00,10,1ST & FINAL,40.75,38
WMM,Nt0000,W.M.MENDIS,1991-11-04 00:00:00,1991-12-18 00:00:00,5,FINAL,75,75
