SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,24442,1346,13660008,1318418,1146364637,380149879
BEV FOOD TOBACCO,16049,1910,14819215,7641811,458366943,131410100
CONSTRUCTION ENG,3460,48,4104569,88670,99196782,2177389
CHEMICALS PHARMS,2213,62,877560,28234,76585867,2193674
FOOTWEAR TEXTILE,9072,54,2622169,133819,124440607,10138842
HOTELS TRAVELS,7267,627,9174826,3734705,340029143,151307834
INVESTMENT TRUST,471,14,539327,3890,42199810,692387
LAND PROPERTY,2824,85,5451785,270535,122083367,4635830
MANUFACTURING,26408,1232,12740459,1800955,430855187,91306940
MOTORS,2224,243,1778090,1630517,170518041,127745371
OIL PALMS,14,1,6962,163,3658948,87787
STORES SUPPLIES,142,15,134692,12369,9368465,972210
SERVICES,698,4,92369,2686,4191177,171346
TRADING,4605,110,819383,25765,42453479,953492
PLANTATIONS,0,0,0,0,0,0
DIVERSIFIED,3148,706,1937792,2315244,431241024,567195452
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,161,1,44075,600,896933,16825
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
