Sector Trading Statistics 2013,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
BANKS FINANCE & INSURANCE,394766,2762044288,77706980207,60,57
"BEVERAGE, FOOD & TOBACCO",72141,168184596,13625366065,20,20
CONSTRUCTION & ENGINEERING,27724,115567488,2877119203,4,4
CHEMICALS & PHARMACEUTICALS,29496,149661726,2981856594,10,10
FOOTWEAR & TEXTILES,17069,26109808,355735794,4,4
HOTELS & TRAVELS,102233,288328896,4788073084,37,36
INVESTMENT TRUSTS,56733,317361062,3499662568,9,9
LAND & PROPERTY,137329,731488288,6332935172,18,18
MANUFACTURING,184425,877661312,15653628210,36,35
MOTORS,11748,20910120,2568088946,6,6
OIL PALMS,2537,675364,482833466,5,5
STORES & SUPPLIES,6003,319856,153637395,4,4
SERVICES,14150,174282903,647080961,8,8
TRADING,25013,136614219,756441921,8,8
PLANTATIONS,52358,110700000,1977139665,19,18
DIVERSIFIED HOLDINGS,161493,1639644368,54872173178,18,18
POWER & ENERGY,62718,476703021,3880591464,8,8
HEALTH CARE,17386,140692017,2447679787,6,6
INFORMATION TECHNOLOGY,33943,575737849,1672843201,2,2
TELECOMMUNICATION,12038,341506641,3187934918,2,2
