Rights Issues 2003,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,
Marawila Resorts Ltd.,2 for 1,34666388,5,32666806,-,2003-01-21 00:00:00
The Ceylon Investment Company Ltd.,1 for 3,1293525,50,1293525,-,2003-07-01 00:00:00
The Ceylon Guardian Investment Trust Ltd.,1 for 5,760906,80,760906,-,2003-07-01 00:00:00
Hunter & Company Ltd.,5 for 1,42875000,3,42875000,-,2003-05-09 00:00:00
Kahawatte Plantations Ltd.,1 for 1,24958677,5,15184902,9773775,2003-02-24 00:00:00
Nations Trust Bank Ltd.,7 for 10,35000000,13,35000000,-,2003-06-23 00:00:00
Sunshine Holdings Ltd.,7 for 3,7000000,20,7000000,-,2003-03-10 00:00:00
Connaissance De Ceylan Ltd.,1 for 2,9648751,10,9648751,-,2003-07-10 00:00:00
Diesel & Motor Engineering Co. Ltd.,1 for 2,3000000,20,3000000,-,2003-08-06 00:00:00
Hayleys Ltd.,1 for 9,5000000,20,5000000,-,2003-09-11 00:00:00
Colombo Fort Investments Ltd.,1 for 3,1016666,10,950000,-,2003-12-01 00:00:00
John Keells Holdings Ltd.,1 for 7,37418676,75,37418676,-,2003-11-21 00:00:00
Parquet (Ceylon) Ltd.,3 for 1,4968000,10,4404363,563637,2003-09-17 00:00:00
Tangerine Beach Hotels Ltd.,1 for 3,2500000,20,2500000,-,2003-11-25 00:00:00
Miramar Beach Hotels Ltd.,1 for 4,550000,65,22431,527569,2003-12-18 00:00:00
Ruhunu Hotels & Travels Ltd.,3 for 2,12442350,10,11442350,1000000,2003-12-18 00:00:00
Tess Agro Ltd.,2 for 5,3800000,12.5,3800000,-,2003-12-18 00:00:00
Commercial Bank of Ceylon Ltd.,1 for 4,13000000,140,13000000,-,2003-09-26 00:00:00
,,(Voting),,(Voting),,
,1 for 4,930046,95,930046,-,2003-09-26 00:00:00
,,(Non-Voting),,(Non-Voting),,
Right Issues 2003 by Sector,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,
Banks Finance & Insurance,2,48930046,2363354370,,,
Diversified Holdings,2,42418676,2906400700,,,
Hotels & Travels,5,57807907,469995040,,,
Investment Trust,4,10071097,275048730,,,
Manufacturing,1,4968000,49680000,,,
Motors,1,3000000,60000000,,,
Plantations,1,24958677,124793385,,,
Stores,1,42875000,128625000,,,
Trading,1,3800000,47500000,,,
Total,18,238829403,6425397225,,,
