SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,49123,4347,87992555,50697451,4108470404,3477994643
BEV FOOD TOBACCO,19023,2010,31654167,26837864,847743706,818111359
CONSTRUCTION ENG,4941,678,9046115,4199850,174361290,77929687
CHEMICALS PHARMS,2880,121,2964714,627272,168045545,44285755
FOOTWEAR TEXTILE,4258,125,5850938,1008103,66805240,23163677
HOTELS TRAVELS,11310,901,23382592,27022279,355569241,358303435
INVESTMENT TRUST,1059,23,968418,55471,26911941,4582737
LAND PROPERTY,5206,184,10491540,707253,85886542,6390623
MANUFACTURING,48282,3874,84192687,21732217,1610939260,582700107
MOTORS,1787,96,3232397,1325552,129531590,57616224
OIL PALMS,41,0,22521,0,7222835,0
STORES SUPPLIES,150,13,95011,24042,8998566,2245837
SERVICES,673,3,261762,2200,10776671,85250
TRADING,2577,151,2383568,579493,94834558,26342150
PLANTATIONS,26277,1916,40088720,13426050,1324744061,465090587
DIVERSIFIED,11731,2092,34018404,30116573,1409998199,1913847235
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,457,3,761763,20950,23453317,638662
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
