Beta Values for the Period from 01st July to 30th September 2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
KZOO,0.201735713,KZOO,0.009330985
LALU,1.25609955,LALU,1.00017605
LAMB,1.91419682,LAMB,1.66716549
LCEM,1.85099066,LCEM,1.03089788
LCEY,2.55231701,LCEY,1.68080985
LDEV,2.52267889,LDEV,1.79110915
LFIN,1.26248567,LFIN,0.706866197
LGL,1.87735385,LGL,1.35017605
LHCL,2.01571966,LHCL,1.51364436
LHL,1.52038644,LHL,0.99419014
LIOC,0.903717046,LIOC,0.694630281
LION,0.312100867,LION,0.086355633
LITE,2.01097101,LITE,1.32570422
LLUB,0.429834616,LLUB,0.276232394
LMF,0.842475847,LMF,0.469102112
LOFC,1.74995906,LOFC,1.16267605
LOLC,1.92533158,LOLC,1.29577464
LPRT,1.21549042,LPRT,1.31778169
LVEN,0.753233993,LVEN,0.369278169
LWL,1.0658261,LWL,0.640052816
MADU,2.38365809,MADU,1.75475352
MAL,2.28475519,MAL,1.7028169
MARA,1.65989847,MARA,1.3419014
MASK,2.44489929,MASK,1.7493838
MBSL,2.07614213,MBSL,1.34322183
MEL,2.62878663,MEL,1.73265845
MERC,0,MERC,0
MFL,1.96463075,MFL,1.24955985
MGT,2.23857868,MGT,1.09207746
MIRA,1.34616014,MIRA,0.677112676
MORI,1.3808744,MORI,1.12843309
MPRH,1.34976256,MPRH,0.736707746
MRH,1.21680039,MRH,0.785211267
MSL,1.30391354,MSL,1.30211267
MULL,2.79220566,MULL,2.08019366
NAMU,1.44031439,NAMU,0.928785211
NDB,1.01833961,NDB,0.72737676
NEH,0.502374324,NEH,-0.06382042
NEST,0.340920255,NEST,0.086443661
NHL,0.568364172,NHL,0.260123239
NIFL,2.23906991,NIFL,1.67684859
NTB,0.850171933,NTB,0.680545774
ODEL,-0.2375962,ODEL,-0.19225352
OFEQ,-0.4938595,OFEQ,-0.45677816
OGL,1.50663173,OGL,1.22605633
ONAL,1.88881611,ONAL,1.63133802
ORIN,0.887669887,ORIN,0.799647887
OSEA,0.478631079,OSEA,0.347183098
PABC,0.78631079,PABC,0.63459507
PALM,0.389552971,PALM,0.010827464
PAP,0.899787129,PAP,0.920246478
PARA,0.015883412,PARA,0.088732394
PARQ,1.30980841,PARQ,0.610739436
PCH,2.34206648,PCH,1.79744718
PCHH,1.7715736,PCHH,1.11540492
PCP,1.59849353,PCP,1.60299295
PDL,1.49582446,PDL,0.987147887
PEG,1.8303586,PEG,1.56355633
PHAR,1.15212051,PHAR,0.863732394
PLC,1.10578025,PLC,0.509507042
PMB,0.470771246,PMB,0.389436619
RAL,0.950384804,RAL,0.56919014
RCL,1.08711314,RCL,0.778785211
REEF,1.32028819,REEF,0.847711267
REG,1.31341084,REG,0.872623239
RENU,1.19698706,RENU,0.735387323
REXP,0.79384313,REXP,0.818045774
RFL,1.64990993,RFL,1.28204225
RGEM,2.7479941,RGEM,1.92482394
RHL,2.18470607,RHL,1.36584507
RHTL,2.59832978,RHTL,1.86804577
RICH,0.881447519,RICH,0.81919014
RPBH,1.60242344,RPBH,1.02455985
RWSL,1.51891272,RWSL,0.81056338
SAMP,0.922220402,SAMP,0.783098591
SCAP,1.13116096,SCAP,0.974823943
SDB,0.622728017,SDB,0.462235915
SELI,-0.26854429,SELI,-0.08582746
SEMB,2.73096446,SEMB,1.91267605
SERV,1.57180284,SERV,1.21267605
SEYB,0.935156377,SEYB,0.656514084
SFCL,-0.84427705,SFCL,-2.4759683
SFIN,1.40101522,SFIN,1.05580985
SFL,1.46847879,SFL,1.00669014
SFS,0.715408547,SFS,0.49612676
SHAL,0.78254462,SHAL,0.654841549
SHAW,1.12510234,SHAW,0.894014084
SHL,1.26133944,SHL,0.991549295
SHOT,0.86163419,SHOT,0.570950704
SIGV,1.90224332,SIGV,1.61232394
SIL,1.23366628,SIL,0.868133802
SING,1.08613066,SING,0.928080985
SINI,2.05485508,SINI,1.72130281
