SCRIP DIVIDENDS 2022 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,,People's Leasing & Finance PLC,2021-12-31 00:00:00,21.4000002326,1,84249776,2022-01-12 00:00:00
2,,DFCC Bank PLC,2022-02-25 00:00:00,19.63333355,1,16325421,2022-03-15 00:00:00
3,,Commercial Bank of Ceylon PLC - Ordinary Voting,2022-03-31 00:00:00,26.2999997614,1,42755914,2022-04-26 00:00:00
,,Commercial Bank of Ceylon PLC - Ordinary Non-Voting,2022-03-31 00:00:00,24.9000015709,1,2800834,2022-04-26 00:00:00
4,,Hatton National Bank PLC - Ordinary Voting,2022-03-31 00:00:00,55.5000050771,1,7583061,2022-04-26 00:00:00
,,Hatton National Bank PLC - Ordinary Non-Voting,2022-03-31 00:00:00,50.8000012573,1,2067808,2022-04-26 00:00:00
5,,Nations Trust Bank PLC - Ordinary Voting,2022-03-09 00:00:00,16.02857,1,15293617,2022-03-23 00:00:00
,,Nations Trust Bank PLC - Ordinary Non-Voting,2022-03-09 00:00:00,16.6,1,2332352,2022-03-23 00:00:00
6,,Seylan Bank PLC- Ordinary Voting,2022-03-31 00:00:00,14.3333333333,1,18437267,2022-04-26 00:00:00
,,Seylan Bank PLC- Ordinary Non-Voting,2022-03-31 00:00:00,10.7333333333,1,25148123,2022-04-26 00:00:00
7,,National Developmement Bank PLC,2022-04-01 00:00:00,15.5466666667,1,22971075,2022-04-26 00:00:00
8,,Central Industries PLC,2022-07-20 00:00:00,12.98,1,1677554,2022-08-01 00:00:00
9,,Colombo Investment Trust PLC,2022-08-26 00:00:00,66.6667020486,1,103631,2022-09-08 00:00:00
10,,Colombo Fort Investments PLC,2022-08-26 00:00:00,37.8334829221,1,221719,2022-09-08 00:00:00
11,,People's Leasing & Finance PLC,2022-09-08 00:00:00,12.2000000724,1,154688114,2022-09-21 00:00:00
12,,Shaw Wallace Investments PLC,2022-09-08 00:00:00,39.00000695,1,4456371,2022-09-21 00:00:00
13,,Renuka Holdings PLC - Ordinary Voting,2022-09-08 00:00:00,27.50000397,1,5665839,2022-09-21 00:00:00
14,,Renuka Holdings PLC - OrdinaryNon- Voting,2022-09-08 00:00:00,24.25001185,1,927812,2022-09-21 00:00:00
15,,Resus Energy PLC ,2022-09-13 00:00:00,11.0448984,1,7154172,2022-09-26 00:00:00
16,,Amana Bank PLC,2022-11-17 00:00:00,29.0000000107,1,92798317,2022-11-29 00:00:00
