Sector Trading Statistics Monthly 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,1850,1396486,124416848,1,1,903,358093,29381349,1,1,652,302646,23890645,1,1,513,136920,10912031,1,1,798,370201,31075898,1,1,1097,1804407,159484388,1,1,4045,3177426,306299228,1,1,9650,6115814,635805429,1,1,4874,1225008,116107146,1,1,4928,1812368,169369867,1,1,2656,625528,57548505,1,1,2478,487032,43662642,1,1
Banks,127175,387716027,36025544646,17,13,60188,133224090,14606027748,17,13,48053,90730470,12500090847,17,13,60282,104159309,12055407349,17,13,42671,269655814,25335594218,17,13,74369,239100460,17599891657,17,13,105246,421270495,48680813104,17,13,184284,581742546,70335875309,17,13,161062,461507706,40941374627,17,13,168350,810380186,67484721703,17,13,185482,363488552,38085371791,17,13,160548,259374086,22080557726,17,13
Capital Goods,113950,990138273,31147788973,31,29,61365,347713287,11347649232,31,29,39773,422302037,11662356535,31,29,51236,391210345,11302965266,31,29,59377,424632721,12563033159,31,29,96970,570642613,20715136530,31,29,166299,1031708872,37444571117,31,29,234788,1241901802,40361881954,31,29,269742,1877052154,65829413610,31,29,269754,1249102084,55147533348,30,29,214380,1019555550,46752815505,30,29,319244,1249511232,56611823466,30,29
Commercial & Professional Services,5830,9609372,258164843,7,7,2983,11678646,593557094,7,7,1138,1195185,35703415,7,7,2004,7670509,276884208,7,7,2408,8108372,105186187,7,7,3641,11979062,85376782,7,7,7241,36223247,248763075,7,7,8392,26282774,221126067,7,7,11370,54405988,391489545,7,7,14558,56330928,1543485152,7,7,7366,12865788,227562697,7,7,5560,68325844,344800126,7,7
Consumer Durables & Apparel,26080,136451571,4034622470,12,9,18148,123010396,3275319657,12,9,11851,76640465,1129746541,12,9,14394,120174529,1905395789,12,9,11275,57631121,1045755484,12,9,17579,89445057,1838483278,12,9,28335,157315448,3437541775,12,9,66060,274234496,8042717308,12,9,61754,272214456,6390675556,12,9,70290,361133902,8633845504,12,9,42900,108703946,3213861784,12,9,29490,53657438,1461617644,12,9
Consumer Services,53841,371804132,4374362563,37,35,21962,116751665,1346150236,37,35,14120,59576682,715997235,37,35,15365,63795313,761915206,37,35,18928,112568685,1679621829,37,35,33053,228350480,2811784748,37,35,70427,468516154,6774184038,37,35,126934,886063616,14263298072,37,35,152344,1249902560,20380105298,37,35,88498,483954648,8799976407,37,35,79128,593682908,5962203156,37,35,63266,264241996,3236527734,37,35
Diversified Financials,102416,1305485689,14156539410,44,37,57206,313288793,5993184973,44,37,33506,338764217,3189674564,44,37,45469,472240808,4769991939,44,37,68669,774271997,8384641366,45,38,132875,1682406223,19161244157,45,38,156961,1977569495,22808777841,45,38,299070,2655358262,38283602176,45,37,265662,1976665718,32408016804,45,37,378892,5574809060,49784999441,45,38,184280,1022883724,16755292148,45,38,200268,989429654,13523126063,45,38
Energy,13108,23722008,3026455197,3,2,3796,6324366,795489359,3,2,2917,3225613,374403117,3,2,3228,5300934,657639253,3,2,3307,8180637,937231399,3,2,7328,10832569,1388888027,3,2,7834,17979730,2249110179,3,2,7294,14186202,1506647191,3,2,27686,73208186,4182780703,3,2,29482,150366620,10176206038,3,2,22908,85518646,6176595056,3,2,19714,59096316,4422113427,3,2
Food & Staples Retailing,1765,16579338,35138606,4,3,683,4116174,23189736,4,3,605,4047864,690276097,4,3,659,2650423,174579720,4,3,1428,19386022,4179092413,4,3,1543,8981361,168061233,4,3,2645,30311483,2586778868,4,3,5414,80890594,1494790806,4,3,8230,184701962,11541418318,4,3,9944,171289464,7940914881,4,3,4728,30986688,118225803,4,3,4298,29686296,528112845,4,3
"Food, Beverage & Tobacco",127763,1354830676,21349063230,49,46,56538,409997889,7176085757,49,46,43771,238413975,4384251242,49,46,56999,362604629,6654257552,49,46,78544,495493125,11889483294,49,46,89196,492019705,10463351810,49,46,119068,597059433,14508628436,49,46,189616,1071890856,22351766221,49,46,221026,1330141606,27856894964,49,46,195400,943092194,29292534981,48,46,217050,1375561476,24401293693,48,46,174606,825320392,16863845624,48,46
Health Care Equipment & Services,7253,24134512,241763265,9,8,2793,10514200,85905644,9,8,2003,4092588,68797580,9,8,2065,7590434,135669609,9,8,4822,45111675,207966388,9,8,13761,91412843,727583413,9,8,10251,48426128,489776640,9,8,23272,126484978,1161851806,9,8,25384,171733934,1210516884,9,8,39038,384813522,4142669160,9,8,18706,78311902,1149445155,9,8,11648,36238844,365058742,9,8
Household & Personal Products,837,2737263,61320085,2,2,644,652496,12785132,2,1,142,247683,4916308,2,2,295,353240,6628020,2,2,260,230958,4263400,2,1,526,2942990,49980613,2,2,837,797285,15052982,2,2,1710,4494542,89312307,2,2,2422,11601410,242649432,2,2,7582,42114950,975193927,2,2,3448,5540482,124239471,2,2,2024,1800400,36261758,2,2
Insurance,29362,253069908,3461772950,13,12,14775,56296800,3558607664,13,12,11063,23294586,635915332,13,12,13089,37548493,1063559242,13,12,12498,54256265,801067589,13,12,18252,76214293,1321762041,13,12,43258,359128072,5162414554,13,12,62330,451167262,6439698752,13,12,40152,152589310,4436215056,13,12,64900,691300284,10154832643,13,12,32054,127265230,2893419954,13,12,44030,146778954,2540131734,14,13
Materials,71184,348207796,11372857112,23,20,35065,160812196,4837571085,23,20,22735,85363445,2821929577,23,20,31860,119769360,4176038805,23,20,34035,136332089,4097628273,23,20,58309,253541574,9845757297,23,20,85142,606670024,14290916884,23,20,150620,629293868,19706097506,23,20,138864,841498300,27843386139,23,20,143350,1331260506,21090749149,23,20,161514,544689622,18330188039,24,21,140406,586119222,19101893218,24,21
