New Listing 1998,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Hapugastenne Plantations Ltd ,4000000,10,4000000,Nil,1998-03-25 00:00:00
2) Udupussellawa Plantations Ltd ,1900000,10,1900000,Nil,1998-05-04 00:00:00
3) Royal Palm Beach Hotels Ltd,10000000,11,10000000,Nil,1998-06-15 00:00:00
4) Balangoda Plantations Ltd,4000000,20,4000000,Nil,1998-06-03 00:00:00
5) Madulsima Plantation Ltd,4000000,15,4000000,Nil,1998-07-06 00:00:00
6) Kahawatte Plantation Ltd,4000000,10,4000000,Nil,1998-12-02 00:00:00
Value (Rs.),349000000,,,,
Issues (No.),6,,,,
Exchange Approved Private Placements,,,,,
Company,No of Shares,Issue Price,No of Shares ,Approved Date,
,Offered ,(Rs.),Subscribed,,
7) Asia Capital Ltd,12% from the,-,-,1998-04-21 00:00:00,
,Increased Capital,,,,
Value (Rs.),,,,,
Issues (No.),,,,,
New Listing 1998 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",,,,,
2) Plantations,5,17900000,239000000,,
3) Hotels & Travels,1,10000000,110000000,,
Total,6,27900000,349000000,,
De-Listings 1998,,,,,
Company,Date of De-Listing,,,,
Mercantile Credit Ltd,1998-09-30 00:00:00,,,,
Lanka Carbons Ltd,1998-12-01 00:00:00,,,,
Ceylon Match Company Ltd,1998-12-01 00:00:00,,,,
Compak Morison (Lanka) Ltd,1998-12-01 00:00:00,,,,
Magpek Exports Ltd,1998-12-23 00:00:00,,,,
