Dividend Records - 2000,,,,,,,,
Company ID,Type of Shares,Company Name,XD Date,Date of Payment,Rate,Description,Cum Price,Ex Price
UML,Nt0000,UNITED MOTORS,2000-03-30 00:00:00,2000-04-20 00:00:00,15,INTERIM DIVIDEND,31.25,31.25
AUTO,Nt0000,AUTODROME 100/-,2000-04-17 00:00:00,2000-04-28 00:00:00,10,INTERIM DIVIDEND,185,
DOCK,Nt0000,DOCKYARD,2000-04-06 00:00:00,2000-05-04 00:00:00,15,FIRST & FINAL DIV.,16.5,15.25
GLAX,Nt0000,GLAXO,2000-04-19 00:00:00,2000-05-11 00:00:00,20,FIRST & FINAL DIV.,40,36.25
HAYL,Nt0000,HAYLEYS,2000-04-28 00:00:00,2000-05-11 00:00:00,15,"INTERIM (TAXABLE - 2.2% ,TAX FREE 12.8%)",87,87
KVAL,Nt0000,KELANI VALLEY,2000-04-28 00:00:00,2000-05-11 00:00:00,5,FIRST & FINAL,12.25,11.5
SEYB,Nt0000,SEYLAN BANK,2000-05-05 00:00:00,2000-05-19 00:00:00,10,FIRST & FINAL DIVIDEND,25,25
NEST,Nt0000,NESTLE,2000-05-04 00:00:00,2000-05-22 00:00:00,72,FINAL,62.25,52.5
COXY,Nt0000,CEYLON OXYGEN,2000-05-02 00:00:00,2000-05-23 00:00:00,35,FINAL DIVIDEND,35.5,34
REG,Nt0000,REGNIS,2000-05-11 00:00:00,2000-05-25 00:00:00,15,FINAL DIVIDEND,26,23
SINI,Nt0000,SINGER IND.,2000-05-11 00:00:00,2000-05-25 00:00:00,20,FINAL DIVIDEND,27.5,26.5
SINS,Nt0000,SINGER SRI LANKA,2000-05-11 00:00:00,2000-05-25 00:00:00,17.5,FINAL DIVIDEND,33,34.75
UCAR,Nt0000,UNION CARBIDE,2000-05-15 00:00:00,2000-05-29 00:00:00,25,FINAL DIVIDEND,23,23
CHOT,Nt0000,HOTELS CORP. 2/-,2000-05-10 00:00:00,2000-05-31 00:00:00,75,INTERIM DIVIDEND,97.5,100
PDL,Nt0000,PDL,2000-05-19 00:00:00,2000-05-31 00:00:00,20,FIRST & FINAL,17,17
SHOT,Nt0000,SERENDIB HOTELS,2000-05-26 00:00:00,2000-06-07 00:00:00,7.5,INTERIM (6.5% TAX FREE),25,25
DPL,Nt0000,DANKOTUWA PORCEL,2000-06-01 00:00:00,2000-06-13 00:00:00,10,FINAL DIVIDEND,13,12.5
LHL,Nt0000,LIGHTHOUSE HOTEL,2000-06-01 00:00:00,2000-06-13 00:00:00,5,FIRST & FINAL (TAX FREE),7,7
HTEC,Nt0000,HAYTECH MARKET.,2000-06-02 00:00:00,2000-06-14 00:00:00,10,"FINAL DIV. (7.9% T/F, 2.1 TAXABLE)",14,14
HEXP,Nt0000,HAYLEYS EXPORTS,2000-06-06 00:00:00,2000-06-20 00:00:00,20,FINAL,28,28.25
HUNA,Nt0000,HUNAS FALLS,2000-06-07 00:00:00,2000-06-21 00:00:00,5,FIRST & FINAL,7.25,7.5
DIMO,Nt0000,DIMO,2000-06-08 00:00:00,2000-06-22 00:00:00,15,FINAL,37.5,38
HPP,Nt0000,HAYL. PHOTOPRINT,2000-06-08 00:00:00,2000-06-22 00:00:00,10,FINAL,17.5,17
JKL,Nt0000,JOHN KEELLS,2000-06-08 00:00:00,2000-06-22 00:00:00,30,FINAL DIVIDEND,32,30.25
ITH,Nt0000,INT. TOURISTS,2000-06-09 00:00:00,2000-06-23 00:00:00,10,FINAL DIVIDEND,13.25,13.5
ACL,Nt0000,ACL,2000-06-12 00:00:00,2000-06-24 00:00:00,10,INTERIM,40,38.5
CTC,Nt0000,CEYLON TOBACCO,2000-06-09 00:00:00,2000-06-26 00:00:00,18,FIRST INTERIM,42.75,40.5
KFP,Nt0000,KEELLS FOOD,2000-06-12 00:00:00,2000-06-26 00:00:00,10,FINAL DIVIDEND,13.5,13.5
TRAN,Nt0000,TRANS ASIA,2000-06-07 00:00:00,2000-06-26 00:00:00,15,INTERIM DIVIDEND,22.75,20.5
EQIT,Nt0000,EQUITY,2000-06-06 00:00:00,2000-06-27 00:00:00,19,FIRST & FINAL DIVIDEND,16.5,14
ETWO,Nt0000,EQUITY TWO LTD,2000-06-06 00:00:00,2000-06-27 00:00:00,13,FIRST & FINAL DIVIDEND (T/F),8,6.5
GOOD,Nt0000,GOOD HOPE,2000-06-06 00:00:00,2000-06-27 00:00:00,25,FIRST & FINAL DIV (0.5442% T/F),190,
HAYC,Nt0000,HAYCARB,2000-06-13 00:00:00,2000-06-27 00:00:00,20,"FINAL (13.9% TAXABLE , 6.1% TAX FREE)",33,33
INDO,Nt0000,INDO MALAY,2000-06-06 00:00:00,2000-06-27 00:00:00,25,FIRST & FINAL DIV.,315,315
SELI,Nt0000,SELINSING,2000-06-06 00:00:00,2000-06-27 00:00:00,25,FIRST & FINAL DIVIDEND,160,152
WALK,Nt0000,WALKERS TOURS,2000-06-13 00:00:00,2000-06-27 00:00:00,55,FINAL DIVIDEND,51,44
AHUN,Nt0000,A.SPEN.HOT.HOLD.,2000-06-14 00:00:00,2000-06-28 00:00:00,10,FIRST & FINAL (12.8% TAX FREE),30,30
SPEN,Nt0000,AITKEN SPENCE,2000-06-14 00:00:00,2000-06-28 00:00:00,20,FINAL DIV.  (70% T/F),110.25,110.25
GUAR,Nt0000,CEYLON GUARDIAN,2000-06-08 00:00:00,2000-06-28 00:00:00,54.15,FIRST & FINAL (30.1886 T/F),85,85
CINV,Nt0000,CEYLON INV.,2000-06-08 00:00:00,2000-06-28 00:00:00,60.4,FIRST & FINAL DIV. (16.006% T/F),40,42.25
CHMX,Nt0000,CHEMANEX,2000-06-14 00:00:00,2000-06-28 00:00:00,12,FINAL,31,31
