Sector Domestic & Foreign Analysis - 2021 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,33253,339,39724469,752643,3629367711,66813277
Banks,514983,18896,1698982044,153047018,84631382213,11889192595
Capital Goods,1443987,26469,3994336916,165796942,225610828844,15506815013
Commercial & Professional Services,40512,134,132609170,642625,3053839249,15901117
Consumer Durables & Apparel,313846,3286,1264396784,46275794,30330106039,1788663722
Consumer Services,293820,2145,1417941560,44742738,13767336077,393665450
Diversified Financials,1335724,13570,14015435561,175613964,166176764334,2937650575
Energy,98576,1198,251302691,3998427,9611212285,155799637
Food & Staples Retailing,20734,468,486638562,12463424,3760967736,2017325891
"Food, Beverage & Tobacco",1210875,17495,20301639887,266929797,209937265484,9578779092
Health Care Equipment & Services,100669,932,684591784,29922739,5045215846,627016498
Household & Personal Products,18925,357,161760024,981546,2961001415,22431525
Insurance,172962,1891,1006352088,8860215,12075538446,195956318
Materials,1179925,15744,7382650897,618231364,119479402638,9447204549
Real Estate,173541,4464,571500890,42846323,10218351938,938513035
Retailing,168036,1367,819532711,6880953,10946821900,133797088
Software &  Services,27342,383,65359740,1383072,1709594828,33916546
Telecommunication Services,33693,5254,204234279,142885744,2633216589,1758791329
Transportation,688312,5160,1873298322,17499673,184975090158,1746676390
Utilities,139973,2268,1532233076,127412092,12215529321,1133376754
