Crossings - January to December 2018,,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2018-3,2018-09-21 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,493000,56202000
2018-3,2018-09-21 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,299054,34092156
2018-3,2018-09-21 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,290759,33146526
2018-3,2018-09-21 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,214,153717,32895438
2018-3,2018-09-21 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,214,190000,40660000
2018-3,2018-09-21 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,127,339000,43053000
2018-3,2018-09-21 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,127,339027,43056429
2018-3,2018-09-21 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,129,217076,28002804
2018-3,2018-09-21 00:00:00,MELSTACORP PLC,MELS.N0000,50.3,2848747,143291974.1
2018-3,2018-09-21 00:00:00,MELSTACORP PLC,MELS.N0000,50.3,2500000,125750000
2018-3,2018-09-25 00:00:00,SAMPATH BANK PLC,SAMP.N0000,238,150000,35700000
2018-3,2018-09-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,113,500000,56500000
2018-3,2018-09-28 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,131.5,447704,58873076
2018-3,2018-09-28 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,130.5,335181,43741120.5
2018-4,2018-10-02 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,111,1000000,111000000
2018-4,2018-10-02 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,111,200000,22200000
2018-4,2018-10-03 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,131.3,3312000,434865600
2018-4,2018-10-03 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,131.3,1488000,195374400
