Sub Division / Share Splits 2012,,,,,
Company ID,Company Name, Security  , Old Proportion  , New Proportion  , Effective Date  
KHC,KANDY HOTELS,KHC-N-0000,1,35,17-JAN-2012
HDFC,HDFC,HDFC-N-0000,1,10,08-MAR-2012
SFS,SWARNAMAHAL FIN,SFS-N-0000,1,20,02-APR-2012
REG,REGNIS,REG-N-0000,1,2,04-APR-2012
