,New Listings 2009,,,,,,,,
,Equity - Initial Public Offers (IPO),,,,,,,,
,Company (Offer for Sale),No of Shares,Issue Price,No. of Shares,No. of Times,No. of Shares,No. of Shares ,Total Indexed,Date Listed
,Voting,Offered ,(Rs.),Applied For,Oversubscribed,allotted ,Devolved to Underwriters,,
1),Capital Reach Leasing PLC,3100000,18,3337800,1.1,3100000,,20064617,2009-01-22 00:00:00
,Company (Offer for Subscription),No of Shares,Issue Price,No. of Shares,No. of Times,No. of Shares,No. of Shares ,Total Indexed,Date Listed
,Voting,Offered ,(Rs.),Applied For,Oversubscribed,allotted ,Devolved to Underwriters,,
2),Hemas Power Limited,31300000,20,115223400,3.7,31300000,,125200002,2009-10-08 00:00:00
,Closed End Funds  - Initial Public Offers (IPO),,,,,,,,
,Company (Offer for Subscription),No. of Units,Issue Price,No. of Shares,No. of Times,No. of Units,Date Listed,,
,,Offered,(Rs.),Applied For,Oversubscribed,allotted ,,,
3),National Asset Management Ltd.,20000000,50,10751600,0.5,10751200,2009-10-12 00:00:00,,
,Fund: Namal Acuity Value Fund,,,,,,,,
,New Listings 2009 by Sector,,,,,,,,
,Equity,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
,Banks Finance & Insurance,1,20064617,55800000,,,,,
,Power & Energy,1,125200002,626000000,,,,,
,Total,2,145264619,681800000,,,,,
,De-Listings 2009,,,,,,,,
,Company,Date De-Listed,,,,,,,
,Suntel Ltd.,2009-02-27 00:00:00,,,,,,,
,ACE Power Generation Matara PLC,2009-03-25 00:00:00,,,,,,,
,Associated Mortorways PLC,2009-05-27 00:00:00,,,,,,,
,Associated Electrical Corporation PLC,2009-06-30 00:00:00,,,,,,,
,Commercial Leasing Company PLC,2009-06-30 00:00:00,,,,,,,
,Associated Property Development PLC,2009-09-28 00:00:00,,,,,,,
