Foreign Holding as at 31st December 2022,,,,
COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
AAF,P,0000,ASIA ASSET FINANCE PLC,39687849
AAF,N,0000,ASIA ASSET FINANCE PLC,90796965
AAIC,N,0000,SOFTLOGIC LIFE INSURANCE PLC,142765181
ABAN,N,0000,ABANS ELECTRICALS PLC,85294
ABL,N,0000,AMANA BANK PLC,970339782
ACAP,N,0000,ASIA CAPITAL PLC,103882928
ACL,N,0000,ACL CABLES PLC,1210590
ACME,N,0000,ACME PRINTING & PACKAGING PLC,2404784
AEL,N,0000,ACCESS ENGINEERING PLC,10026643
AFSL,R,0000,ABANS FINANCE PLC,429
AFSL,N,0000,ABANS FINANCE PLC,4010
AGAL,N,0000,AGALAWATTE  PLANTATIONS  PLC,3916422
AGST,N,0000,AGSTAR PLC,514604
AHPL,N,0000,ASIAN HOTELS AND PROPERTIES PLC,3655844
AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,2281752
AINS,N,0000,ARPICO INSURANCE PLC,643768
ALHP,N,0000,ANILANA HOTELS AND PROPERTIES PLC,1057116363
ALLI,N,0000,ALLIANCE FINANCE COMPANY PLC,225951
ALUF,N,0000,UNISYST ENGINEERING PLC,27066
ALUM,N,0000,ALUMEX PLC,1978075
AMCL,N,0000,AMW CAPITAL LEASING AND FINANCE PLC,1999999
AMF,N,0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,1020425
AMSL,N,0000,ASIRI SURGICAL HOSPITAL PLC,102849
APLA,N,0000,ACL PLASTICS PLC,32124
ASCO,N,0000,LANKA REALTY INVESTMENTS PLC ,134765690
ASHO,N,0000,LANKA ASHOK LEYLAND PLC,21229
ASIR,N,0000,ASIRI HOSPITAL HOLDINGS PLC,364692663
ASIY,N,0000,ASIA SIYAKA COMMODITIES LIMITED,399300
ASPH,N,0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,22183300
ASPM,N,0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,1250000
ATL,N,0000,AMANA TAKAFUL PLC,48682
ATLL,N,0000,AMANA TAKAFUL LIFE PLC,35603
AUTO,N,0000,THE AUTODROME PLC,18210
BALA,N,0000,BALANGODA  PLANTATIONS  PLC,1010345
BBH,N,0000,BROWNS BEACH HOTELS PLC,273601
BERU,N,0000,BERUWALA RESORTS PLC,362038
BFL,N,0000,BAIRAHA FARMS PLC,372339
BFN,N,0000,ORIENT FINANCE PLC,70680
BIL,N,0000,BROWNS INVESTMENTS PLC,36570125
BLI,N,0000,BIMPUTH FINANCE PLC,3910
BLUE,X,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,1061943
BLUE,N,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,30847712
BOGA,N,0000,BOGALA GRAPHITE LANKA PLC,82242512
BOPL,N,0000,BOGAWANTALAWA TEA ESTATES PLC,619727
BPPL,N,0000,B P P L HOLDINGS PLC ,6174942
BREW,N,0000,CEYLON BEVERAGE HOLDINGS PLC,2994099
BRR,N,0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,27396669
BRWN,N,0000,BROWN & COMPANY PLC,2297631
BUKI,N,0000,BUKIT DARAH PLC,27921538
CABO,N,0000,CARGO BOAT DEVELOPMENT COMPANY PLC,105948
CALF,N,0000,DIALOG FINANCE PLC,25985
CALT,N,0000,CAPITAL ALLIANCE PLC,134600
