Foreign Holding as at 31st December 2009,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2009,CHL,X,0,CEYLON HOSPITALS PLC,217290
2009,COMB,P,4,COMMERCIAL BANK OF CEYLON PLC,0
2009,KHL,N,0,JOHN KEELLS HOTELS PLC,13791045
2009,PEG,B,0,PEGASUS HOTELS OF CEYLON PLC,0
2009,SHOT,N,0,SERENDIB HOTELS PLC,9063
2009,SMOT,N,0,SATHOSA MOTORS PLC,1216
2009,CHR,N,0,CEYLON HOLIDAY RESORTS LIMITED,0
2009,SELI,N,0,SELINSING PLC,158606
2009,VLL,N,0,VIDULLANKA PLC,12616090
2009,APLA,N,0,ACL PLASTICS PLC,97400
2009,BLUE,N,0,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,273658
2009,CPRT,N,0,CEYLON PRINTERS PLC,7062
2009,SAMP,N,0,SAMPATH BANK PLC,7628550
2009,DIMO,R,0,DIESEL & MOTOR ENGINEERING PLC,0
2009,BOGA,N,0,BOGALA GRAPHITE LANKA PLC,34883372
2009,TESS,R,0,TESS AGRO PLC,0
2009,PABC,N,0,PAN ASIA BANKING CORPORATION PLC,6695000
2009,TSML,N,0,TEA SMALLHOLDER FACTORIES PLC,12600
2009,UCAR,N,0,UNION CHEMICALS LANKA PLC,200
2009,WATA,N,0,WATAWALA  PLANTATIONS  PLC,1400633
2009,ACME,R,0,ACME PRINTING & PACKAGING PLC,0
2009,CSF,R,0,NATION LANKA FINANCE PLC,325700
2009,HOPL,N,0,HORANA PLANTATIONS PLC,141100
2009,KCAB,N,0,KELANI CABLES PLC,13934
2009,COMB,B,0,COMMERCIAL BANK OF CEYLON PLC,0
2009,MLL,R,2,MERCANTILE LEASING LIMITED,0
2009,NEST,N,0,NESTLE LANKA PLC,1437135
2009,ABAN,B,0,ABANS ELECTRICALS PLC,0
2009,GREG,R,0,LANKA CENTURY INVESTMENTS PLC,0
2009,NTB,R,0,NATIONS TRUST BANK PLC,0
2009,SINS,B,0,SINGER (SRI LANKA) PLC,0
2009,HLOG,R,0,HABARANA LODGE LIMITED.,0
2009,MULL,N,0,MULLER & PHIPPS (CEYLON) PLC,324200
2009,TKYO,B,0,TOKYO CEMENT COMPANY (LANKA) PLC,0
2009,CABO,N,0,CARGO BOAT DEVELOPMENT COMPANY PLC,174134
2009,CHOU,R,0,CITY HOUSING & REAL ESTATE COMPANY PLC,1800
2009,INDO,N,0,INDO-MALAY PLC,116768
2009,KDL,N,0,KELSEY DEVELOPMENTS PLC,37450
2009,LION,R,0,LION BREWERY (CEYLON) PLC,0
2009,SPEN,N,0,AITKEN SPENCE PLC,13870838
2009,HINT,N,0,HOTEL INTERNATIONAL LIMITED,0
2009,MRH,N,0,MAHAWELI REACH HOTELS PLC,7425773
2009,SHAW,N,0,LEE HEDGES PLC,3287286
2009,PURE,B,0,COCA-COLA BEVERAGES SRI LANKA LIMITED,0
2009,ASCO,N,0,ASCOT HOLDINGS PLC,299936
2009,CWM,N,0,C. W. MACKIE PLC,83200
2009,HAYL,N,0,HAYLEYS PLC,3111797
2009,SAMP,R,0,SAMPATH BANK PLC,0
2009,SMLL,N,0,PEOPLE'S FINANCE PLC,1000
2009,DOCK,B,0,COLOMBO DOCKYARD PLC,0
2009,HAPU,N,0,HAPUGASTENNE PLANTATIONS PLC,643741
2009,UPIN,N,0,UPALI INVESTMENT HOLDINGS LIMITED,0
2009,CTCE,N,0,A I A INSURANCE LANKA PLC,11500
2009,CTLD,N,0,C T LAND DEVELOPMENT PLC,698665
2009,KAHA,N,0,KAHAWATTE  PLANTATIONS  PLC,7404
2009,SUN,N,0,SUNSHINE HOLDINGS PLC,4847473
2009,ARPI,N,0,ARPICO FINANCE COMPANY PLC,58143
2009,CHMX,N,0,CHEMANEX PLC,32197
2009,CIT,R,0,COLOMBO INVESTMENT TRUST PLC,0
2009,KURU,N,0,KURUWITA TEXTILE MILLS PLC,982300
2009,LAND,N,0,LAND AND BUILDING PLC,0
2009,LION,N,0,LION BREWERY (CEYLON) PLC,9739769
2009,PTEX,N,0,PUGODA TEXTILES LANKA LTD.,24051
2009,TILE,N,0,LANKA TILES PLC,624901
2009,DIPD,N,0,DIPPED PRODUCTS PLC,5427619
2009,NHL,B,0,NAWALOKA HOSPITALS PLC,0
2009,HNB,R,1,HATTON NATIONAL BANK PLC,0
2009,CIND,R,0,CENTRAL INDUSTRIES PLC,0
2009,TKYO,X,0,TOKYO CEMENT COMPANY (LANKA) PLC,52117900
2009,CARS,N,0,CARSON CUMBERBATCH PLC,16422870
2009,LCEY,N,0,LANKEM CEYLON PLC,148374
