Sector Domestic & Foreign Analysis - 2010,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",753792,34194,4348666180,425292320,140307792063,36347749906
"BEVERAGE, FOOD & TOBACCO",177128,10295,650885154,142808359,26888921969,8001656738
CONSTRUCTION & ENGINEERING,26092,749,34041367,8686697,5514899452,2295886450
CHEMICALS & PHARMACEUTICALS,65965,2757,595104629,15436501,8161462318,636528097
FOOTWEAR & TEXTILES,87650,2257,97859258,5580900,7126626033,503222087
HOTELS & TRAVELS,359840,11597,1600196715,156218435,41929829715,5022046733
INVESTMENT TRUSTS,300990,7504,177055522,9701817,32655746977,1460585304
LAND & PROPERTY,262868,6901,712955321,68646616,18207680596,1404407165
MANUFACTURING,468410,15647,2863950461,174879754,54757340175,5757994560
MOTORS,18027,526,14538947,1152096,3700042606,454116139
OIL PALMS,7190,225,536206,353009,1867585592,279971805
STORES & SUPPLIES,4001,41,1897010,25270,992663602,14744680
SERVICES,17019,124,62556068,448100,644569060,8301195
TRADING,78818,1977,479419083,27100219,9909008432,896913050
PLANTATIONS,132553,6374,188176242,15949934,8702550607,737947268
DIVERSIFIED HOLDINGS,219720,17290,789685262,220122093,80025059318,36729159786
POWER & ENERGY,94952,3487,400225811,23879883,6113296206,385662682
HEALTH CARE,78612,1843,1044932069,40041272,8837529340,297491942
INFORMATION TECHNOLOGY,30505,1156,94947830,11858314,1334763175,138408520
TELECOMMUNICATION,40913,5137,600565010,357382901,6575802873,3739957026
