"Market Capitalization of Listed Companies as at December , 2021",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
PLC,PLC.N0000,PEOPLES LEASING,10.7,1887195002,20192986521.4
PLR,PLR.N0000,PRIMERESIDENCIES,11.2,937500000,10500000000
PMB,PMB.N0000,PEOPLE'S MERCH,6.8,405301750,2756051900
RAL,RAL.N0000,RENUKA AGRI,5.5,561750000,3089625000
RCH,RCH.N0000,RENUKA HOTELS,101,40297530,4070050530
RCL,RCL.N0000,ROYAL CERAMIC,78.1,1107893840,86526508904
REEF,REEF.N0000,CITRUS LEISURE,8.9,267229723,2378344534.7
REG,REG.N0000,REGNIS,66.7,22535726,1503132924.2
RENU,RENU.N0000,RENUKA CITY HOT.,353.5,7000000,2474500000
REXP,REXP.N0000,RICH PIERIS EXP,846.25,11163745,9447319206.25
RFL,RFL.N0000,RAMBODA FALLS,22,20000000,440000000
RGEM,RGEM.N0000,RADIANT GEMS,21,2400000,50400000
RHL,RHL.N0000,RENUKA HOLDINGS,19.4,155810595,3022725543
RHL,RHL.X0000,RENUKA HOLDINGS,13.1,22499452,294742821.2
RHTL,RHTL.N0000,FORTRESS RESORTS,13.4,110886684,1485881565.6
RICH,RICH.N0000,RICHARD PIERIS,24.6,2035038275,50061941565
RIL,RIL.N0000,R I L PROPERTY ,14.3,800000000,11440000000
RPBH,RPBH.N0000,ROYAL PALMS,27.4,50000000,1370000000
RWSL,RWSL.N0000,RAIGAM SALTERNS,8,282207320,2257658560
SAMP,SAMP.N0000,SAMPATH,52.1,1144373955,59621883055.5
SCAP,SCAP.N0000,SOFTLOGIC CAP,8.8,977187200,8599247360
SDB,SDB.N0000,SANASA DEV. BANK,43,160698832,6910049776
SDF,SDF.N0000,SARVODAYA DEVFIN,19.4,149596052,2902163408.8
SELI,SELI.N0000,SELINSING,700,5678247,3974772900
SEMB,SEMB.N0000,S M B LEASING,2.3,6470375048,14881862610.4
SEMB,SEMB.X0000,S M B LEASING,0.7,3081603712,2157122598.4
