Crossings 2019 (January to December),,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2019-4,2019-11-13 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,154,1419943,218671222
2019-4,2019-11-13 00:00:00,NATIONS TRUST BANK PLC,NTB.N0000,79,500000,39500000
2019-4,2019-11-13 00:00:00,SAMPATH BANK PLC,SAMP.N0000,170,200000,34000000
2019-4,2019-11-14 00:00:00,C T HOLDINGS PLC,CTHR.N0000,172,200000,34400000
2019-4,2019-11-15 00:00:00,ACCESS ENGINEERING PLC,AEL.N0000,22,1000000,22000000
2019-4,2019-11-15 00:00:00,VIDULLANKA PLC,VLL.N0000,4.6,20000000,92000000
2019-4,2019-11-18 00:00:00,CARGILLS (CEYLON) PLC,CARG.N0000,195,150000,29250000
2019-4,2019-11-18 00:00:00,CARGILLS (CEYLON) PLC,CARG.N0000,195,150000,29250000
2019-4,2019-11-18 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,101,500000,50500000
2019-4,2019-11-18 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,101,500000,50500000
2019-4,2019-11-18 00:00:00,HATTON NATIONAL BANK PLC,HNB.X0000,143,150000,21450000
2019-4,2019-11-18 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,164,230000,37720000
2019-4,2019-11-18 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,163,135000,22005000
2019-4,2019-11-19 00:00:00,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1120,90000,100800000
2019-4,2019-11-19 00:00:00,MELSTACORP PLC,MELS.N0000,44,500000,22000000
2019-4,2019-11-19 00:00:00,MELSTACORP PLC,MELS.N0000,44,1000000,44000000
2019-4,2019-11-19 00:00:00,SOFTLOGIC HOLDINGS PLC,SHL.N0000,16.5,2000000,33000000
2019-4,2019-11-20 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,103.2,200000,20640000
2019-4,2019-11-20 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,1337727,214036320
2019-4,2019-11-20 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,165593,26494880
2019-4,2019-11-20 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,334307,53489120
2019-4,2019-11-20 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,160,334407,53505120
2019-4,2019-11-22 00:00:00,MELSTACORP PLC,MELS.N0000,45,1500000,67500000
2019-4,2019-11-25 00:00:00,AITKEN SPENCE PLC,SPEN.N0000,48,1000000,48000000
2019-4,2019-11-25 00:00:00,SAMPATH BANK PLC,SAMP.N0000,167.5,250000,41875000
2019-4,2019-11-26 00:00:00,CEYLON COLD STORES PLC,CCS.N0000,830,49000,40670000
2019-4,2019-11-26 00:00:00,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1120,22301,24977120
2019-4,2019-11-27 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,13,5000000,65000000
2019-4,2019-11-27 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,13,18218821,236844673
2019-4,2019-11-27 00:00:00,DIALOG AXIATA PLC,DIAL.N0000,13,10033800,130439400
2019-4,2019-11-28 00:00:00,AITKEN SPENCE PLC,SPEN.N0000,50,401000,20050000
