Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Retailing,Software & Services,Telecommunication Services,Transportation,Utilities
2016-05-26 00:00:00,924.93,945.53,918.82,933.8,964.12,412.06,917.82,1001.82,862.52,950.88,1171.56,1000,999.47,951.01,921.58,997.55,950.61,,967.93,932.02,952.61
2016-05-27 00:00:00,898.12,943.03,918.88,933.8,963.13,411.53,927.01,993.43,862.52,954.83,1164.89,1000,991.95,947.85,921.58,994.41,948.08,,960.52,932.02,949.07
2016-05-30 00:00:00,884.72,938.03,917.51,933.8,954.59,410.79,919.33,988.68,862.77,955.78,1160.13,1000,993.44,940.18,921.58,981.32,944.51,,953.68,932.02,949.83
2016-05-31 00:00:00,872.65,933.83,913.71,926.11,948.24,409.97,918.46,983.92,862.12,961.63,1157.83,1000,992.3,939.47,921.58,969.61,942.76,,955.79,932.02,944.95
2016-06-01 00:00:00,896.78,933.28,915.87,922.95,959.41,412.37,910.46,985.51,875.45,961.78,1154.5,1000,989.79,943.83,921.58,969.16,939.85,,929.91,932.02,948.95
2016-06-02 00:00:00,886.06,932.74,914.57,921.03,964.53,410.03,908.75,974.19,879.69,952.01,1142.37,1000,992.2,948.11,921.58,964.6,940.17,,939.4,932.02,948.62
2016-06-03 00:00:00,873.99,933.22,911.79,919.54,976.87,407.73,912.65,969.2,874,954.54,1137.92,1000,988.99,953.91,921.58,967.8,945.97,,919.88,932.02,946.12
2016-06-06 00:00:00,873.99,934.2,909.62,919.54,990.77,405.41,911.13,974.95,874.41,950.56,1146.52,1000,994.24,956.47,921.58,969.88,948.69,,934.64,932.02,951.45
2016-06-07 00:00:00,884.72,936.6,912.87,919.92,992.37,406.78,910.8,972.19,874,951.28,1149.63,1000,994.67,953.14,921.58,968.13,937.36,,931.48,932.02,951.12
2016-06-08 00:00:00,884.72,936.72,911.96,941.6,1010.08,405.88,910.48,985.51,874.21,950.32,1154.82,1000,993.07,956.34,921.58,969.68,938.77,,934.64,932.02,945.74
2016-06-09 00:00:00,871.31,936.18,913.13,958.9,994.55,405.51,909.37,969.2,884.57,952.02,1153.03,1000,991.03,957.91,921.58,970.99,932.8,,936.75,932.02,952.09
2016-06-10 00:00:00,871.31,935.88,915.46,957.83,990.72,406.38,910.86,958.06,878.08,951.6,1127.79,1000,993.49,957.09,921.58,974.11,938.58,,945.73,932.02,946.56
2016-06-13 00:00:00,864.61,936.01,917.99,957.83,991.26,403.25,906.42,954.48,870.32,956.67,1132.96,1000,990.86,967.64,921.58,964.8,933.84,,950.49,932.02,946.56
2016-06-14 00:00:00,864.61,934.94,916.47,955.93,990.75,401.8,907.15,948.32,869.92,953.21,1129.06,1000,989.68,965.16,931.58,957.1,919.54,,935.7,932.02,943.62
2016-06-15 00:00:00,857.91,930.63,912.74,955.18,984.39,401.11,903.96,950.49,857.96,952.05,1123.03,1000,987.04,956.94,973.68,951.64,915.73,,940.46,932.02,948.77
2016-06-16 00:00:00,844.5,917.75,898.02,953.88,968.93,398.79,891.25,933.01,859.42,946.16,1105.19,1000,981.41,947.6,999.47,941.66,915.23,,927.26,932.02,933.64
2016-06-17 00:00:00,831.1,924.42,908.56,971.18,977.48,400.41,899.14,941.34,864.78,948.72,1103.85,1000,986.99,939.44,999.47,948.79,910.92,,925.15,932.02,934.4
2016-06-20 00:00:00,808.31,923.12,908.35,972.42,982.96,399.31,889.54,938.17,864.37,950.22,1117.03,1000,988.55,938.23,999.47,946.32,903.87,,927.26,932.02,927.7
2016-06-21 00:00:00,831.1,921.08,905.47,972.42,977.75,396.29,878.98,935,864.37,950.48,1120.44,1000,984.99,935.5,999.47,953.5,902.33,,927.26,932.02,940.55
2016-06-22 00:00:00,831.1,914.02,899.31,972.42,969.41,394.76,885.41,928.61,863.97,947.57,1104.73,1000,984.77,928.6,999.47,938.75,895.92,,920.94,932.02,939.92
