Sector Trading Statistics Monthly 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Manufacturing,19842,58779978,2182520067,37,35,15277,78873290,2231371458,37,35,19823,90545510,2145114889,37,34,25562,74301309,2219376249,37,34,23710,95365902,2552878973,37,35,17279,65593923,2240318103,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30147,199854191,3333695747,37,35,36151,163587243,5428833732,37,35,21034,67222425,2620407449,37,34,14645,45390122,1482984532,37,34,11207,43732597,1500982821,37,35,7085,28033865,1457529562,37,34
Motors,795,131515,23893909,6,6,910,268392,199966779,6,6,617,211161,21376595,6,6,474,381539,36038106,6,6,997,374663,159005927,6,6,643,178593,65859108,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,319536,29468209,6,6,921,580983,59581583,6,6,439,178325,19555639,6,6,493,499367,48476893,6,6,365,130740,16052814,6,6,278,43256,4642126,6,6
Oil Palms,236,4634,2103378,5,5,130,2488,1106972,5,5,305,170107,59844119,5,5,321,58054,21405045,5,5,282,9320,3955993,5,5,166,132899,38662880,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,3704,2546641,5,5,220,4402,1568737,5,5,203,29646,8819722,5,5,279,9660,3525796,5,5,194,4286,2361518,5,5,118,2585,1138954,5,5
Power & Energy,4070,17650079,256135454,8,8,3261,15208364,171620862,8,8,3798,40312293,608808446,8,8,3942,12909224,182480147,8,8,4808,16850646,248935576,8,8,2860,12530807,158019619,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328,94125706,734790012,8,8,8310,31418527,894783038,8,8,4035,15053387,187634856,8,8,2643,93035316,360689980,8,8,2400,10127030,171887929,8,8,2093,4236127,67782519,8,8
Plantations,1284,1112048,13553437,19,17,1616,3660891,69445612,19,17,1386,1585705,27357475,19,17,1450,1425672,18259854,19,17,1783,1736392,27946679,19,17,1495,1226828,16959844,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354,16264650,318872305,19,17,1927,2465441,34653756,19,17,1449,1561509,22332953,19,17,1404,4081485,67983583,19,17,1398,5040009,75862958,19,17,740,666778,9046740,19,17
Stores & Supplies,263,115232,24745007,4,4,143,64007,9871038,4,4,223,29909,5668577,4,4,137,1419,592051,4,4,198,8585,5537706,4,4,202,6885,3863761,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,5469,2831239,4,4,460,40214,24012922,4,4,316,18884,16260073,4,4,209,7425,6780715,4,4,152,9836,4162948,4,4,103,6260,2088049,4,4
Services,756,2072332,9047721,8,8,623,2255862,8319590,8,8,671,5041101,15237805,8,8,642,3100978,9875336,8,8,527,7514045,24040410,8,8,553,893126,8232913,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,1489359,57259076,8,8,664,2747261,9920116,8,8,1101,5371407,16522779,8,8,434,859436,4493359,8,8,320,1459836,4557047,8,8,240,519569,1666722,8,8
Telecommunication,1077,82208776,868801431,2,2,709,3830384,68471019,2,2,753,15065422,159029858,2,2,611,4860817,54917962,2,2,1310,52161714,598501445,2,2,697,16112798,179731807,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,79463601,874980844,2,2,980,18008983,202888723,2,2,865,24950384,289174734,2,2,756,32640299,380853026,2,2,752,10073336,110945997,2,2,505,77584243,815429386,2,2
Trading,1588,7044333,55672409,8,8,1223,4771684,30860151,8,8,1715,18626364,982180769,8,8,4580,107473971,244931796,8,8,2311,10148632,96710990,8,8,1672,15512890,427403353,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,9853214,68211017,8,8,2828,13146407,363436533,8,8,1968,12156195,79849444,8,8,1155,5881068,85351179,8,8,888,4571803,46641152,8,8,594,1707689,9376773,8,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
